id,gid,name,sort_name,type,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,comment
34,5f886d01-5c12-3abb-b8be-d758b282ab05,Burkina Faso,Burkina Faso,1,0,2013-05-27 14:40:52.503929+02,,,,,,,f,""
8,aca6cbc7-4f3b-3020-8de3-c21718fe24f1,Antarctica,Antarctica,1,0,2013-05-27 14:41:08.497395+02,,,,,,,f,""
17,65f4f7a6-d3c1-3a6b-a726-85e147d555b7,Bahrain,Bahrain,1,0,2013-05-27 14:45:33.869648+02,,,,,,,f,""
72,6a264f94-6ff1-30b1-9a81-41f7bfabd616,Finland,Finland,1,0,2013-05-27 14:46:50.235044+02,,,,,,,f,""
19,e5d8d205-81d3-3cd3-8956-d5aaa0c0173f,Barbados,Barbados,1,0,2013-05-27 14:48:52.741133+02,,,,,,,f,""
76,8b681e01-6c95-3b24-ae60-5cdbcb1d7dce,French Polynesia,French Polynesia,1,0,2013-05-27 14:51:51.903973+02,,,,,,,f,""
47,02b60d8d-7164-339d-868d-22d147d9f74a,Colombia,Colombia,1,0,2013-05-27 14:52:43.714099+02,,,,,,,f,""
66,2005d841-29df-3445-8b5c-c981de756bd3,Eritrea,Eritrea,1,0,2013-05-27 14:54:03.331484+02,,,,,,,f,""
39,41d328a3-01da-35c2-b26e-69c56d7121d1,Cape Verde,Cape Verde,1,0,2013-05-27 14:54:54.258415+02,,,,,,,f,""
51,ba544658-8266-36cb-ac0e-3bdfbf52cb00,Costa Rica,Costa Rica,1,0,2013-05-27 14:55:48.611609+02,,,,,,,f,""
25,2cbd5484-647d-3752-8acd-933ced4f9a24,Bhutan,Bhutan,1,0,2013-05-27 14:56:15.332282+02,,,,,,,f,""
1949,aea4ef78-bbd1-4b0a-9cf4-c97020e22887,Borovnica,Borovnica,2,0,2013-06-05 08:46:34.631128+02,,,,,,,f,""
54,b06c4e86-97f7-3419-84a9-a23c60ea0b22,Cuba,Cuba,1,0,2013-05-27 14:57:44.334595+02,,,,,,,f,""
37,bf132644-e3ee-3bfc-9323-7f82824e4945,Cameroon,Cameroon,1,0,2013-05-27 14:58:14.054761+02,,,,,,,f,""
58,aa560de1-9e56-38ab-8d20-6133be7f3f2a,Djibouti,Djibouti,1,0,2013-05-27 15:02:27.765878+02,,,,,,,f,""
22,6bf45af6-f1bf-357c-91b5-9593a9c32cb0,Belize,Belize,1,0,2013-05-27 14:58:53.039723+02,,,,,,,f,""
28,e5e11b08-d26d-341c-af28-69d3c26607f7,Botswana,Botswana,1,0,2013-05-27 15:04:10.715563+02,,,,,,,f,""
79,52641fae-20e3-3698-9fa9-1849f2c79ab8,Gambia,Gambia,1,0,2013-05-27 15:05:29.567379+02,,,,,,,f,""
60,696cb3e0-5084-30ab-9916-65ece70adbf6,Dominican Republic,Dominican Republic,1,0,2013-05-27 15:07:37.926264+02,,,,,,,f,""
75,bc6f4b9a-3b76-33ca-bde3-2ae452afe66a,French Guiana,French Guiana,1,0,2013-05-27 15:09:20.207295+02,,,,,,,f,""
50,ef1ab25c-717b-30a8-8943-f9937aad8d1f,Cook Islands,Cook Islands,1,0,2013-05-27 15:16:20.690009+02,,,,,,,f,""
3,28242750-534a-326b-8ed6-1b03dfb88cd0,Algeria,Algeria,1,0,2013-05-27 15:19:53.861523+02,,,,,,,f,""
24,df3bbd94-6a4c-3fc3-bb6e-cd701623db8a,Bermuda,Bermuda,1,0,2013-05-27 15:21:13.13578+02,,,,,,,f,""
23,1f72ee74-2d3f-3a40-846b-e3d780b73dd2,Benin,Benin,1,0,2013-05-27 15:21:48.147731+02,,,,,,,f,""
5,e01da61e-99a8-3c76-a27d-774c3f4982f0,Andorra,Andorra,1,0,2013-05-27 15:24:52.16131+02,,,,,,,f,""
4558,59d1b4b5-190d-4025-afae-7198732723ea,Banten,Banten,2,0,2013-06-05 08:29:09.63922+02,,,,,,,f,""
55,a75b525f-8c01-31f6-975e-4a32a2b001d5,Cyprus,Cyprus,1,0,2013-05-27 15:27:25.827473+02,,,,,,,f,""
20,660e3c48-b301-3c8c-9708-0f71d5d094d6,Belarus,Belarus,1,0,2013-05-27 15:28:17.680898+02,,,,,,,f,""
9,2a8cc14f-8d47-389b-b54d-e94312b23d27,Antigua and Barbuda,Antigua and Barbuda,1,0,2013-05-27 15:33:01.557289+02,,,,,,,f,""
49,185bc3c4-4c5a-3f69-9384-7c280dfdf072,Congo,Congo,1,0,2013-05-27 15:33:26.945494+02,,,,,,,f,""
35,bd96f09c-c2a8-3996-b52f-291521b688c0,Burundi,Burundi,1,0,2013-05-27 15:37:01.521955+02,,,,,,,f,""
30,f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil,Brazil,1,0,2013-05-27 15:41:42.305399+02,,,,,,,f,""
1,aa95182f-df0a-3ad6-8bfb-4b63482cd276,Afghanistan,Afghanistan,1,0,2013-05-27 15:39:07.101747+02,,,,,,,f,""
64,f2fa4bfb-97aa-3db4-8d49-cc64969ce1a7,El Salvador,El Salvador,1,0,2013-05-27 15:45:13.036353+02,,,,,,,f,""
7,eed9e8bb-b48f-30af-95f5-f178762ee515,Anguilla,Anguilla,1,0,2013-05-27 15:43:29.596932+02,,,,,,,f,""
45,5bc803ff-c3f9-3c36-a7d6-80bc1ab4a34e,Christmas Island,Christmas Island,1,0,2013-05-27 15:44:20.053903+02,,,,,,,f,""
40,5dd25184-711c-3e6a-b089-572cd095f287,Cayman Islands,Cayman Islands,1,0,2013-05-27 15:46:29.19575+02,,,,,,,f,""
6,2afd5d6a-5fee-3836-8783-44d0ec9ac115,Angola,Angola,1,0,2013-05-27 15:47:19.728195+02,,,,,,,f,""
11,6474fa20-e0d6-3ef2-95ce-a6f73408cd5e,Armenia,Armenia,1,0,2013-05-27 15:48:36.887064+02,,,,,,,f,""
46,3df32a28-e4b2-3c27-a85e-328e3f978bc5,Cocos (Keeling) Islands,Cocos (Keeling) Islands,1,0,2013-05-27 15:52:03.585119+02,,,,,,,f,""
48,f8002d93-3b43-3bb7-84dd-4766ff7e5b3b,Comoros,Comoros,1,0,2013-05-27 16:00:52.320006+02,,,,,,,f,""
68,96699ab4-4bbf-332e-b037-b0119821f792,Ethiopia,Ethiopia,1,0,2013-05-27 16:01:27.105081+02,,,,,,,f,""
53,7d30afff-e425-356a-873e-17ae9745b31d,Croatia,Croatia,1,0,2013-05-27 16:01:56.368039+02,,,,,,,f,""
59,9898ec17-2174-3a61-9e3b-3f51b3ee4de1,Dominica,Dominica,1,0,2013-05-27 16:04:29.908581+02,,,,,,,f,""
10,0df04709-c7d8-3b55-a6ea-f3e5069a947b,Argentina,Argentina,1,0,2013-05-27 16:05:48.558955+02,,,,,,,f,""
62,967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador,Ecuador,1,0,2013-05-27 15:54:42.343004+02,,,,,,,f,""
80,7e081aa0-817b-3ae0-9fe2-4bb4e3b3cc95,Georgia,Georgia,1,0,2013-05-27 16:06:39.501383+02,,,,,,,f,""
7571,fabee7b7-9123-4f22-86fc-33d1a01478f5,Braunfels,Braunfels,3,0,2013-05-29 00:48:41.351021+02,,,,,,,f,""
230,8562c2e5-eabb-3fad-96f2-f536a93a2957,British Virgin Islands,"Virgin Islands, British",1,0,2013-05-29 02:26:40.698634+02,,,,,,,f,""
69,baa270d6-bb10-38d1-87bd-42a82b4efa9c,Falkland Islands,Falkland Islands,1,0,2013-05-29 11:01:28.335799+02,,,,,,,f,""
8060,bf4ebf62-f9b3-4376-8a07-92ffb499cddf,Maldon,Maldon,3,0,2013-05-30 18:37:12.272511+02,,,,,,,f,""
8187,f71eb55a-7ac2-431c-bfa8-1779de8b26bb,Serik,Serik,3,0,2013-05-30 21:13:09.740436+02,,,,,,,f,""
8195,9c983568-4241-403a-ba2d-d3e52f38c8df,Milford,Milford,3,0,2013-05-30 21:14:40.838183+02,,,,,,,f,""
8375,95ac13f9-b5a6-47c8-b354-5817465fefb8,Dobříš,Dobříš,3,0,2013-05-30 21:57:03.470447+02,,,,,,,f,""
8558,c0e35db4-0214-4bc7-ac3a-57e59aefe216,Hill,Hill,3,0,2013-06-01 17:40:37.320861+02,,,,,,,f,""
41,863f49fc-16d0-3fa8-beae-242fc8ab114b,Central African Republic,Central African Republic,1,0,2013-06-05 07:06:53.479845+02,,,,,,,f,""
13703,5b7d6fe3-9f1d-4436-ae4d-7be08084fdd6,Montecatini Val di Cecina,Montecatini Val di Cecina,4,0,2013-07-21 18:53:54.496144+02,,,,,,,f,""
14309,809096dd-8f87-48a9-a35b-97bfcfb2eda9,Casale Monferrato,Casale Monferrato,4,0,2013-07-21 21:09:26.057882+02,,,,,,,f,""
14324,df4c4543-2c9e-423a-9b7e-3aeffe7c0d49,Palazzo Pignano,Palazzo Pignano,4,0,2013-07-21 21:12:42.690894+02,,,,,,,f,""
14332,e0daf36c-19cb-452a-aa5b-6d1e1aefd1ac,Maccastorna,Maccastorna,4,0,2013-07-21 21:14:24.568367+02,,,,,,,f,""
14883,1a987c3e-a8e2-4064-832e-56f8f06c531a,Cerretto Langhe,Cerretto Langhe,4,0,2013-07-21 23:19:10.040041+02,,,,,,,f,""
19646,d82eb16e-eeae-4a71-84ac-5f27c2cd1eb9,"Troia, Apulia","Troia, Apulia",4,0,2013-07-22 11:11:09.791246+02,,,,,,,f,""
15450,4f5a694b-413f-43ff-bdeb-9450f60a1e50,Configni,Configni,4,0,2013-07-22 00:48:09.368711+02,,,,,,,f,""
99,d31a9a15-537f-3669-ad53-25753ddd2772,India,India,1,0,2013-05-27 15:20:45.066389+02,,,,,,,f,""
129,305d19c7-c040-349c-8d5f-6ac75d2d2a09,Malaysia,Malaysia,1,0,2013-05-27 15:27:00.060491+02,,,,,,,f,""
100,d3a68bd0-7419-3f99-a5bd-204d6e057089,Indonesia,Indonesia,1,0,2013-05-27 15:29:59.731299+02,,,,,,,f,""
90,a58af0f8-b238-3da2-a57b-4aa0ff4ab574,Guinea,Guinea,1,0,2013-05-27 14:38:11.409894+02,,,,,,,f,""
128,b4d3ff41-ead2-300f-9c11-f73f8ad39678,Malawi,Malawi,1,0,2013-05-27 15:12:22.373828+02,,,,,,,f,""
132,050c94f7-1413-3a34-bb90-4a94f3bb2084,Malta,Malta,1,0,2013-05-27 16:04:55.298367+02,,,,,,,f,""
109,92d52542-3363-351c-a8b6-d991e0bccb8f,Kazakhstan,Kazakhstan,1,0,2013-05-27 14:59:53.107482+02,,,,,,,f,""
87,338346f8-4dc2-38e8-a009-5a3e1585348f,Guadeloupe,Guadeloupe,1,0,2013-05-27 15:17:42.705713+02,,,,,,,f,""
155,f27e792b-ddd2-3a70-bdd4-41fb11534b57,Niger,Niger,1,0,2013-05-27 14:29:03.299786+02,,,,,,,f,""
93,cf25d306-7da5-3878-a2b1-a0370f847308,Haiti,Haiti,1,0,2013-05-27 14:22:09.525494+02,,,,,,,f,""
161,7ccdff29-2e00-3e50-9520-b9ea1e918bc2,Oman,Oman,1,0,2013-05-27 14:22:34.648577+02,,,,,,,f,""
164,6f85633b-dff4-3fb4-babd-fb89b3628041,Panama,Panama,1,0,2013-05-27 14:24:42.68799+02,,,,,,,f,""
145,325ce9a0-d58f-3564-b24e-647b33098767,Mozambique,Mozambique,1,0,2013-05-27 14:25:09.054679+02,,,,,,,f,""
143,290ea438-1cb6-35e1-9755-6ab123214293,Montserrat,Montserrat,1,0,2013-05-27 14:26:25.710281+02,,,,,,,f,""
149,8815c87e-cf3f-362c-a5c6-05ce853a4c79,Nepal,Nepal,1,0,2013-05-27 14:27:43.489838+02,,,,,,,f,""
88,43dd540a-78cd-319f-bab9-214b5430f3f2,Guam,Guam,1,0,2013-05-27 14:28:09.532234+02,,,,,,,f,""
163,9d800529-1ef8-39bb-9e42-1fa74f2eac97,Palau,Palau,1,0,2013-05-27 14:29:28.716821+02,,,,,,,f,""
136,bb019165-42ef-3470-bcb8-36d1b45e4bc1,Mauritius,Mauritius,1,0,2013-05-27 14:30:49.355737+02,,,,,,,f,""
118,8138206e-5786-3f86-a53b-19a7303e7419,Lebanon,Lebanon,1,0,2013-05-27 14:32:05.15589+02,,,,,,,f,""
134,b939dcaa-4729-34e0-a398-d22fba4407cd,Martinique,Martinique,1,0,2013-05-27 14:34:18.8083+02,,,,,,,f,""
83,dd59627f-9549-3408-9a4a-65f7ba546290,Gibraltar,Gibraltar,1,0,2013-05-27 14:43:19.860793+02,,,,,,,f,""
91,4f01a1af-02ca-3b28-a64f-f38c36c08879,Guinea-Bissau,Guinea-Bissau,1,0,2013-05-27 14:45:59.227073+02,,,,,,,f,""
85,e9bf9b1c-5cb4-3487-88e1-19da70caa9c9,Greenland,Greenland,1,0,2013-05-27 14:45:08.080296+02,,,,,,,f,""
123,0785dc14-96af-3dc4-bde4-dcdfc2e2d0d6,Lithuania,Lithuania,1,0,2013-05-27 14:46:24.683657+02,,,,,,,f,""
135,657e69c5-cda0-3592-9d39-85b55610bc40,Mauritania,Mauritania,1,0,2013-05-27 14:47:36.013557+02,,,,,,,f,""
148,7784f515-5886-3831-9b33-a7f665795d7f,Nauru,Nauru,1,0,2013-05-27 14:49:41.767975+02,,,,,,,f,""
120,d66e68e6-6410-3d34-a8aa-9242045ed593,Liberia,Liberia,1,0,2013-05-27 14:51:23.426572+02,,,,,,,f,""
154,d2b87acd-06ce-3c71-b3ff-a35d914bbabe,Nicaragua,Nicaragua,1,0,2013-05-27 14:53:34.591631+02,,,,,,,f,""
232,d5970cc5-1a1f-3a47-83c5-8890f5a61ec3,Wallis and Futuna,Wallis and Futuna,1,0,2013-05-27 14:57:15.7479+02,,,,,,,f,""
2205,b4b06323-19a2-412d-8d36-b0a01ed69b17,Agio Oros,Agio Oros,2,0,2013-06-05 09:56:28.856307+02,,,,,,,f,""
82,cf48f4b4-28f0-39ab-9104-650324a1d1c8,Ghana,Ghana,1,0,2013-05-27 15:03:18.933378+02,,,,,,,f,""
147,cd4fadac-d701-3401-8516-420de2cb4e5c,Namibia,Namibia,1,0,2013-05-27 15:05:02.773324+02,,,,,,,f,""
127,f3a30678-3d23-3f42-8056-d32ebe58c66d,Madagascar,Madagascar,1,0,2013-05-27 15:05:55.369965+02,,,,,,,f,""
130,a195ee41-7f39-3a60-83ca-4a6f91cd4d2e,Maldives,Maldives,1,0,2013-05-27 15:06:21.067202+02,,,,,,,f,""
152,404fc992-ba17-39ac-a283-20f0b7cbbb60,New Caledonia,New Caledonia,1,0,2013-05-27 15:11:02.605001+02,,,,,,,f,""
146,fb1fb575-39ee-34d8-a744-6a880700fd73,Myanmar,Myanmar,1,0,2013-05-27 15:13:38.707914+02,,,,,,,f,""
97,312bc5bb-7e43-3e63-81c6-b4d712b37b2c,Hungary,Hungary,1,0,2013-05-27 15:14:04.583281+02,,,,,,,f,""
95,0c3ea915-4e49-34fc-b702-debb216fd7fa,Honduras,Honduras,1,0,2013-05-27 15:14:30.431083+02,,,,,,,f,""
137,00ff2645-3ec9-36d6-9ea9-757363641c83,Mayotte,Mayotte,1,0,2013-05-27 15:16:48.378253+02,,,,,,,f,""
158,a2b3b8cb-79e8-3c26-8a2a-3ccc7dd80cda,Norfolk Island,Norfolk Island,1,0,2013-05-27 15:18:12.416989+02,,,,,,,f,""
162,7c87112d-504d-31f1-8147-11ff45fc3bfd,Pakistan,Pakistan,1,0,2013-05-27 15:23:07.519439+02,,,,,,,f,""
159,9a84fea2-1c1f-3908-a44a-6fa2b6fa7b26,Northern Mariana Islands,Northern Mariana Islands,1,0,2013-05-27 15:25:17.62556+02,,,,,,,f,""
144,b84d8617-249a-3a06-849d-fc5c25e2249b,Morocco,Morocco,1,0,2013-05-27 15:30:24.927017+02,,,,,,,f,""
138,3e08b2cd-69f3-317c-b1e4-e71be581839e,Mexico,Mexico,1,0,2013-05-27 15:41:13.615269+02,,,,,,,f,""
86,217e2eb3-0a3a-3b59-9eaa-a7465c1417ff,Grenada,Grenada,1,0,2013-05-27 15:29:08.488077+02,,,,,,,f,""
92,c4a33ce9-580e-3d57-9c32-f75daf2f75ef,Guyana,Guyana,1,0,2013-05-27 15:42:07.61653+02,,,,,,,f,""
141,6f26d528-4467-3ecb-b105-10daf3466b40,Monaco,Monaco,1,0,2013-05-27 15:43:54.837325+02,,,,,,,f,""
89,01448ddc-6ee3-3fa4-b136-507d984e31ee,Guatemala,Guatemala,1,0,2013-05-27 15:45:38.502224+02,,,,,,,f,""
110,023da4a0-acee-3fb1-b91e-5de74ccf787b,Kenya,Kenya,1,0,2013-05-27 15:46:03.489236+02,,,,,,,f,""
102,b0525ccb-15e9-3c56-81fa-471db3b31cfa,Iraq,Iraq,1,0,2013-05-27 15:49:54.19714+02,,,,,,,f,""
119,c5011696-e744-3946-a2c1-e3fe7e6dde37,Lesotho,Lesotho,1,0,2013-05-27 15:50:46.723986+02,,,,,,,f,""
139,aabae773-4997-37ba-950a-394c06847631,"Micronesia, Federated States of","Micronesia, Federated States of",1,0,2013-05-27 15:50:19.929426+02,,,,,,,f,""
124,563d21b7-4a8e-35e2-83a7-7804baefbfa7,Luxembourg,Luxembourg,1,0,2013-05-27 15:51:12.674706+02,,,,,,,f,""
111,2b425457-0a4f-3282-9d2f-0a0e0f7db2e5,Kiribati,Kiribati,1,0,2013-05-27 15:53:51.567298+02,,,,,,,f,""
117,66eb3e73-d69e-3581-9a23-a73b4c64c8dd,Latvia,Latvia,1,0,2013-05-27 15:55:08.684304+02,,,,,,,f,""
165,2366f623-b236-3073-bbfe-c26d6d6f195f,Papua New Guinea,Papua New Guinea,1,0,2013-05-27 15:56:53.512096+02,,,,,,,f,""
115,188b4a6b-a4d8-3864-ba46-8446c7b658b4,Kyrgyzstan,Kyrgyzstan,1,0,2013-05-27 15:59:20.402092+02,,,,,,,f,""
142,84360c54-1763-3146-ae38-a439c72fd4ea,Mongolia,Mongolia,1,0,2013-06-05 07:02:41.088234+02,,,,,,,f,""
231,f33958ac-4198-3ce8-a751-1c44d9b4063a,U.S. Virgin Islands,"Virgin Islands, U.S.",1,0,2013-05-29 02:26:45.04415+02,,,,,,,f,""
103,390b05d4-11ec-3bce-a343-703a366b34a5,Ireland,Ireland,1,0,2013-05-27 16:05:21.98788+02,,,,,,,f,""
131,c35e6d5e-9011-32e5-a23f-9e7639b7350c,Mali,Mali,1,0,2013-06-05 07:02:52.573905+02,,,,,,,f,""
13704,b67ab820-a437-455e-8142-b4157da00369,Palaia,Palaia,4,0,2013-07-21 18:54:06.753211+02,,,,,,,f,""
14310,1448b4b2-e8b5-4803-bedd-df23b61da00f,Graffignano,Graffignano,4,0,2013-07-21 21:09:37.673902+02,,,,,,,f,""
14315,1209b67b-3695-4507-a161-42180cbdd37f,Celleno,Celleno,4,0,2013-07-21 21:10:41.154562+02,,,,,,,f,""
1990,f6e9cc41-8291-4f0d-801e-f50ddc9a5852,Kobarid,Kobarid,2,0,2013-05-20 17:36:21.995024+02,,,,,,,f,""
14884,a9d3aced-64d6-4ec0-9cf2-46fada2141f0,Cervere,Cervere,4,0,2013-07-21 23:19:25.434103+02,,,,,,,f,""
15451,ef933e59-92dd-479d-8c66-1ded7a931597,Fara in Sabina,Fara in Sabina,4,0,2013-07-22 00:48:20.986403+02,,,,,,,f,""
178,b1439904-121a-38fb-8708-0573cb42e2ef,Saint Kitts and Nevis,Saint Kitts and Nevis,1,0,2013-05-27 15:27:51.708819+02,,,,,,,f,""
182,d4dd44b6-fa46-30f5-b331-ce9e88d06242,San Marino,San Marino,1,0,2013-05-27 15:56:00.446251+02,,,,,,,f,""
4559,e966adee-5492-47cd-9241-217b15bd7587,Gorontalo,Gorontalo,2,0,2013-05-22 14:07:52.727527+02,,,,,,,f,""
229,0158e991-c3c6-374a-9b9d-024bbaff6980,Vietnam,Vietnam,1,0,2013-05-16 11:18:57.637316+02,,,,,,,f,""
2001,e8b55bde-04ce-4243-b558-8174e444c62c,Laško,Laško,2,0,2013-05-20 17:38:24.570998+02,,,,,,,f,""
2004,50349007-721d-4186-b56c-fa83fe531ba8,Litija,Litija,2,0,2013-05-20 17:38:57.807032+02,,,,,,,f,""
207,c2676abd-2ac7-351a-94a9-a802b3434737,Tanzania,Tanzania,1,0,2013-05-15 20:20:23.264867+02,,,,,,,f,""
2038,c20da272-abe0-45d4-b78b-83ddce54cf82,Postojna,Postojna,2,0,2013-05-20 17:46:46.829496+02,,,,,,,f,""
2553,97a7a4f6-1f3b-4aea-ae1d-2219a30a2aa0,Kangwŏn-do,Kangwŏn-do,2,0,2013-05-20 21:17:58.880938+02,,,,,,,f,""
2074,ef1a64dc-0ac9-4e97-8d5d-35d97c2633ce,Trebnje,Trebnje,2,0,2013-05-20 17:53:49.502249+02,,,,,,,f,""
4695,184969d8-461e-43be-8728-288358ebe487,Roma,Roma,2,0,2013-05-22 14:47:02.870266+02,,,,,,,f,""
741,3ff94ab1-b838-4364-9941-8d2c128bbdf8,Nyíregyháza,Nyíregyháza,3,0,2013-05-24 00:27:51.291911+02,,,,,,,f,""
16174,3390914e-4692-432d-9e0b-0edf7edcb20a,Andora,Andora,4,0,2013-07-22 03:01:46.623609+02,,,,,,,f,""
185,122bb81f-191e-3798-8be2-4b54ffd7ffa4,Senegal,Senegal,1,0,2013-05-27 14:24:17.320966+02,,,,,,,f,""
186,be43ea01-053a-3b23-b03d-2df8317a57ff,Seychelles,Seychelles,1,0,2013-05-27 14:21:44.389202+02,,,,,,,f,""
215,98e38a45-b90e-3575-943e-23e26ce3a69f,Turkmenistan,Turkmenistan,1,0,2013-05-27 14:23:00.068317+02,,,,,,,f,""
205,41637cec-9a4f-389c-86d2-fc6abf3357b5,Taiwan,Taiwan,1,0,2013-05-27 14:23:51.700663+02,,,,,,,f,""
220,fe40c648-ba74-3e17-b768-58181d5ee563,United Arab Emirates,United Arab Emirates,1,0,2013-05-27 14:27:16.783324+02,,,,,,,f,""
187,2b547f54-a97c-3481-9625-7ad9a670b1e6,Sierra Leone,Sierra Leone,1,0,2013-05-27 14:28:34.8465+02,,,,,,,f,""
177,5921efcf-344c-3e55-829d-34fca714fcde,Rwanda,Rwanda,1,0,2013-05-27 14:31:39.882366+02,,,,,,,f,""
224,ea88d395-87c9-3c47-b49a-114cad41fd39,Uruguay,Uruguay,1,0,2013-05-27 14:33:53.479051+02,,,,,,,f,""
191,7fe4001e-eda5-3b5b-bbd8-0f773e76d09c,Solomon Islands,Solomon Islands,1,0,2013-05-27 14:34:48.15526+02,,,,,,,f,""
175,61ed84b8-5a10-30a7-8376-ccd51801d6d1,Romania,Romania,1,0,2013-05-27 14:39:53.318439+02,,,,,,,f,""
