città_id,città,stato_id
547,Tsuyama,50
510,Syktyvkar,80
163,Eskisehir,97
87,Botshabelo,85
471,Shenzhen,23
349,Myingyan,64
103,Carmen,60
313,London,20
55,Barcelona,104
396,Pangkal Pinang,45
338,Miyakonojo,50
51,Balurghat,44
31,Arak,46
431,Rio Claro,15
83,Blumenau,15
557,Usak,97
368,Novi Sad,108
178,Garland,103
65,Bellevue,103
96,Buenaventura,24
342,Monywa,64
435,Rockford,103
432,Rizhao,23
254,Kaliningrad,80
582,Yamuna Nagar,44
397,Papeete,36
353,Nador,62
302,Liaocheng,23
371,Nuuk,40
98,Cabuyao,75
250,Juárez,60
104,Cavite,75
482,Sivas,97
167,Faaa,36
585,Yaoundé,19
465,Sawhaj,29
125,Coatzacoalcos,60
567,Vicente López,6
505,Sumqayit,10
379,Omdurman,89
49,Balašiha,80
586,Yerevan,7
521,Tama,50
227,Iwakuni,50
391,Ozamis,75
286,Kursk,80
239,Jhansi,44
568,Vijayawada,44
320,Maikop,80
426,Rajkot,44
600,Ziguinchor,83
196,Halifax,20
540,Tongliao,23
412,Pontianak,45
360,Namibe,4
386,Otsu,50
159,Enshi,23
30,Araçatuba,15
541,Torreón,60
403,Pemalang,45
502,Suihua,23
425,Rae Bareli,44
595,Zapopan,60
414,Portoviejo,28
219,Iligan,75
274,Kolpino,80
328,Maringá,15
317,Luziânia,15
485,São Bernardo do Campo,15
130,Cuautla,60
303,Liepaja,54
575,Witten,38
421,Qalyub,29
581,Xinxiang,23
367,Niznekamsk,80
190,Águas Lindas de Goiás,15
139,Daxian,23
555,Urawa,50
292,Lancaster,103
288,La Paz,60
43,Avellaneda,6
47,Baiyin,23
275,Konotop,100
481,Sirjan,46
499,Sterling Heights,103
20,Almirante Brown,6
67,Benguela,4
226,Iwaki,50
102,Caracas,104
514,Tabriz,46
316,Lungtan,92
324,Mandi Bahauddin,72
450,San Felipe de Puerto Plata,27
278,Korolev,80
135,Dallas,103
417,Pune,44
428,Rancagua,22
230,Jaffna,88
467,Shahr-e Kord,46
142,Denizli,97
277,Korla,23
364,Newcastle,85
448,Sambhal,44
363,NDjamna,21
378,Olomouc,26
380,Omiya,50
131,Cuernavaca,60
46,Baicheng,23
90,Bratislava,84
415,Probolinggo,45
411,Ponce,77
175,Fuzhou,23
564,Valparai,44
180,Gaziantep,97
140,Dayton,103
26,Anápolis,15
24,Amroha,44
326,Maracaíbo,104
192,Hagonoy,75
389,Owo,69
376,Okayama,50
291,Laiwu,23
334,Merlo,6
181,Gijón,87
186,Graz,9
298,Lengshuijiang,23
524,Tandil,6
413,Poços de Caldas,15
91,Brescia,49
545,Tórshavn,32
305,Lima,74
120,Citrus Heights,103
314,Lublin,76
344,Mosul,47
517,Taguig,75
7,Aden,107
369,Novotšerkassk,80
493,South Hill,5
127,Coquimbo,22
84,Boa Vista,15
472,Shikarpur,72
483,Skikda,2
211,Hubli-Dharwad,44
244,Johannesburg,85
199,Hami,23
509,Surakarta,45
39,Atšinsk,80
253,Kakamigahara,50
32,Arecibo,77
341,Monclova,60
361,Nantou,92
503,Sullana,74
335,Mexicali,60
325,Mannheim,38
154,El Fuerte,60
489,Songkhla,94
453,San Lorenzo,73
114,Chiayi,92
116,Chungho,92
579,Xi´angtan,23
583,Yangor,65
392,Paarl,85
455,Sanaa,107
148,Duisburg,38
156,Elista,80
44,Bagé,15
270,Kirovo-Tšepetsk,80
201,Hanoi,105
530,Tartu,30
271,Kisumu,52
165,Ezeiza,6
370,Nuku´alofa,95
249,Junan,23
210,Huai´an,23
228,Iwatsuki,50
562,Valle de la Pascua,104
315,Lubumbashi,25
80,Binzhou,23
484,Smolensk,80
458,Santa Rosa,75
293,Laohekou,23
504,Sultanbeyli,97
123,Clarksville,103
520,Tallahassee,103
436,Ruse,17
409,Plock,76
445,Salamanca,60
488,Sokoto,69
256,Kamakura,50
362,Nanyang,23
576,Woodridge,8
150,Dzerzinsk,80
52,Bamenda,19
596,Zaria,69
45,Bahía Blanca,6
462,Sanya,23
385,Šostka,100
88,Bradford,102
71,Berhampore (Baharampur),44
333,Memphis,103
22,Ambattur,44
241,Jining,23
85,Boksburg,85
155,El Monte,103
86,Botosani,78
476,Shubra al-Khayma,29
73,Bhavnagar,44
11,Akron,103
551,Udine,49
268,Kimchon,86
410,Poá,15
258,Kamjanets-Podilskyi,100
16,al-Qatif,82
113,Cheju,86
149,Dundee,102
8,Adoni,44
75,Bhimavaram,44
515,Tabuk,82
528,Tarlac,75
109,Changzhou,23
329,Masqat,71
50,Balikesir,97
290,La Romana,27
121,Città del Vaticano,41
66,Belém,15
318,Madiun,45
550,Udaipur,44
169,Firozabad,44
401,Patras,39
257,Kamarhati,44
466,Serpuhov,80
464,Satna,44
231,Jaipur,44
187,Greensboro,103
287,Kuwana,50
475,Shivapuri,44
346,Munger (Monghyr),44
473,Shimoga,44
427,Rampur,44
496,Southport,102
72,Bern,91
143,Dhaka,12
590,Yuncheng,23
418,Purnea (Purnia),44
554,Uluberia,44
434,Ríobamba,28
194,Haiphong,105
529,Tarsus,97
463,Sasebo,50
285,Kurgan,80
48,Baku,10
82,Bislig,75
14,al-Manama,11
593,Zanzibar,93
236,Jastrzebie-Zdrój,76
33,Arlington,103
456,Santa Bárbara d´Oeste,15
355,Nagareyama,50
478,Siliguri (Shiliguri),44
382,Onomichi,50
147,Dos Quebradas,24
191,Gulbarga,44
306,Lincoln,103
358,Nakhon Sawan,94
531,Tšeboksary,80
3,Abu Dhabi,101
573,Warren,103
284,Kurashiki,50
433,Roanoke,103
168,Fengshan,92
162,Esfahan,46
393,Pachuca de Soto,60
560,Vaduz,55
59,Batna,2
56,Basel,91
294,Lapu-Lapu,75
449,San Bernardino,103
118,Ciomas,45
546,Tsaotun,92
308,Lipetsk,80
100,Cam Ranh,105
15,al-Qadarif,89
245,Joliet,103
327,Mardan,72
390,Oyo,69
599,Zhoushan,23
350,Mysore,44
242,Jinzhou,23
492,Sousse,96
21,Alvorada,15
25,Angra dos Reis,15
19,Allende,60
204,Hino,50
398,Parbhani,44
587,Yinchuan,23
107,Chandrapur,44
569,Vila Velha,15
160,Erlangen,38
512,Székesfehérvár,43
301,Lhokseumawe,45
5,Adana,97
9,Ahmadnagar,44
340,Molodetšno,13
501,Sucre,14
408,Pjatigorsk,80
108,Changhwa,92
209,Hsichuh,92
36,Ashqelon,48
177,Garden Grove,103
584,Yantai,23
347,Mwanza,93
198,Halle/Saale,38
566,Varanasi (Benares),44
542,Touliu,92
497,Springs,85
183,Goiânia,15
57,Bat Yam,48
105,Cayenne,35
161,Escobar,6
95,Bucuresti,78
461,Santo André,15
375,Okara,72
460,Santiago de los Caballeros,27
533,Tel Aviv-Jaffa,48
229,Izumisano,50
539,Tonghae,86
588,Yingkou,23
58,Batman,97
487,Sogamoso,24
337,Mit Ghamr,29
42,Aurora,103
589,York,102
172,Fukuyama,50
129,Cuauhtémoc,60
279,Kowloon and New Kowloon,42
570,Vilnius,56
115,Chisinau,61
447,Salzburg,9
296,Lausanne,91
137,Daugavpils,54
248,Juiz de Fora,15
62,Bayugan,75
299,Leshan,23
28,Aparecida de Goiânia,15
323,Mandaluyong,75
357,Naju,86
572,Vitória de Santo Antão,15
23,Amersfoort,67
300,Lethbridge,20
578,Xi´angfan,23
571,Vinh,105
399,Pathankot,44
439,Saarbrücken,38
374,Ogbomosho,69
519,Talavera,75
261,Kanchrapara,44
527,Tanza,75
388,Ourense (Orense),87
152,Effon-Alaiye,69
351,Naçala-Porto,63
195,Haldia,44
212,Huejutla de Reyes,60
451,San Felipe del Progreso,60
173,Funafuti,99
233,Jalib al-Shuyukh,53
556,Uruapan,60
247,Juazeiro do Norte,15
2,Abha,82
495,Southend-on-Sea,102
365,Nezahualcóyotl,60
440,Sagamihara,50
218,Ikerre,69
112,Chatsworth,85
63,Béchar,2
221,Imus,75
94,Brockton,103
122,Ciudad del Este,73
446,Salinas,103
310,Ljubertsy,80
304,Lilongwe,58
511,Syrakusa,49
276,Koriyama,50
543,Toulon,34
101,Cape Coral,103
384,Osmaniye,97
213,Huixquilucan,60
538,Tokat,97
184,Gorontalo,45
280,Kragujevac,108
559,Uttarpara-Kotrung,44
1,A Coruña (La Coruña),87
348,Mwene-Ditu,25
577,Wroclaw,76
441,Saint Louis,103
157,Emeishan,23
457,Santa Fé,6
119,Ciparay,45
490,Sorocaba,15
224,Isesaki,50
536,Tiefa,23
537,Tieli,23
474,Shimonoseki,50
99,Callao,74
54,Banjul,37
406,Phnom Penh,18
311,Loja,28
234,Jamalpur,12
561,Valencia,104
243,Jodhpur,44
498,Stara Zagora,17
35,Ashgabat,98
6,Addis Abeba,31
322,Manchester,103
111,Charlotte Amalie,106
377,Okinawa,50
289,La Plata,6
