<page title>,image stabilizer,light sensitivity,max image resolution,optical sensor,resolution,shutter speed,still image format,3d support,digital zoom,focus adjustment,lens aperture,max focal length,min focal length,optical zoom,colour,internal memory,storage media
Sony Alpha SLT-A37 + 18-55/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Fujifilm FinePix S1  New Zealand Prices - PriceMe,Optical,"100 - 12,800 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Sony Alpha SLT-A37 + 18-55/3.5-5.6 + 55-200/4.0-5.6  New Zealand Prices - PriceMe,,"100 - 16,000 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,,,,,,,,,
Nikon D7100 + Tamron 18-270 VC PZD  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6000x4000,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, NEF (RAW)",,,,,,,,,,
Samsung NX200 + 18-55/3.5-5.6 OIS  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 600D + 50/1.8  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Fujifilm FinePix S2960  New Zealand Prices - PriceMe,ISO anti-shake,,,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,,No,,,,,,,,,
Fujifilm FinePix S4200  New Zealand Prices - PriceMe,Optical,"64 - 6,400 ISO",4288x3216,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1,576mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Panasonic Lumix DMC-ZS30  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",4896x3672,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.3-6.4,480mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 5D Mark III  New Zealand Prices - PriceMe,Lens based only,"100 - 25,600 ISO",5760x3840,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Cybershot DSC-S2100  New Zealand Prices - PriceMe,With Image Stabilizer,"Auto (100-800), 100, 200, 400, 1600, 3200",4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1-1/1200s,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.1-F/5.6,105mm,33mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Pentax K-5 IIs  New Zealand Prices - PriceMe,,"100 - 12,800 ISO",4928x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Sony Alpha SLT-A57 + 18-55/3.5-5.6  New Zealand Prices - PriceMe,,"100 - 25,600 ISO",4912x3264,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,,,,,,,,,
Panasonic Lumix DMC-TZ20  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 6400,4320x3240,LiveMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.3-5.9,68.8mm,4.3mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung ST5500  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4344x3258,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.5-5.8,217mm,31mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix P340  New Zealand Prices - PriceMe,Optical,"100 - 6,400 ISO",4000x3000,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/1.8-5.6,120mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS M  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, RAW",,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,,,,,,,
Nikon 1 V1 + 10/2.8 + 10-30/3.5-5.6 VR  New Zealand Prices - PriceMe,,"100 - 3,200 ISO",3872x2592,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/4000s,"JPEG, NEF (RAW), RAW",,,,,,,,,,
Canon PowerShot SX700 HS  New Zealand Prices - PriceMe,Optical,"100 - 3,200 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.2-6.9,750mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon D7100 + 18-55/3.5-5.6 VR + 55-200/4.0-5.6 VR  New Zealand Prices - PriceMe,Lens based only,"100 - 6,400 ISO",6000x4000,CMOS,,30-1/8000s,"JPEG, NEF (RAW)",,,,,,,,,,
Fujifilm FinePix S2500HD  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.1-6.4,504mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon PowerShot A2300  New Zealand Prices - PriceMe,ISO anti-shake,"100 - 1,600 ISO",4608x3456,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/2.8-6.9,140mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Nikon Coolpix S9400  New Zealand Prices - PriceMe,,"125 - 3,200 ISO",4896x3672,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",,F/3.4-6.3,450mm,25mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Ricoh GR Digital Camera  New Zealand Prices - PriceMe,No,"100 - 25,600 ISO",4928x3264,,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,"JPEG, RAW",No,,,,,,,,,
Fujifilm FinePix AV130  New Zealand Prices - PriceMe,Without Image Stabilizer,ISO 3200,4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/2.9-5.2,96mm,32mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-W310  New Zealand Prices - PriceMe,Without Image Stabilizer,"ISO 100, ISO 1600, ISO 200, ISO 3200, ISO 400, ISO 800, Auto ISO",4000x3000,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.0-5.8,112mm,28mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Samsung SH100  New Zealand Prices - PriceMe,With Image Stabilizer,"80 - 3,200 ISO",4320x3240,CCD,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,No,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.3-5.9,153mm,33mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Sony Cybershot DSC-HX9V  New Zealand Prices - PriceMe,With Image Stabilizer,ISO 3200,4608x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",,JPEG,Yes,"The number of times the image can be enlarged with digital technology. Unlike the optical zoom, the digital zoom has no moving parts. Instead, it uses its digital brain to understand what it's ""looking at"", and digitally zooms in for a closer look.",Automatic focus,F/3.3-5.9,384mm,24mm,"The number of times the image can be enlarged with the optics of the camera. The optical zoom 'moves' you closer to the subject without sacrificing quality. The higher the optical zoom, the farther away you can be to take a photo and still get a clear, close-up image.",,,
Canon EOS 1D C  New Zealand Prices - PriceMe,,"100 - 51,200 ISO",5184x3456,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
Canon EOS M2  New Zealand Prices - PriceMe,,,,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",1/4000-30s,RAW JPG RAW + JPG,,,,,,,,,,
Nikon D810 + 24-85/3.5-4.5 G ED VR  New Zealand Prices - PriceMe,Lens based only,"64 - 12,800 ISO",7360x4912,CMOS,,30-1/8000s,"JPEG, NEF (RAW), RAW, TIFF",,,,,,,,,,
Panasonic Lumix DMC-GF6 + 14-42/3.5-5.6 + 45-150/4.0-5.6  New Zealand Prices - PriceMe,,"160 - 25,600 ISO",4592x3448,Live MOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",60-1/4000s,"JPEG, RAW",,,,,,,,,,
Canon EOS 70D + 17-85mm  New Zealand Prices - PriceMe,Lens based only,"100 - 12,800 ISO",5472x3648,CMOS,"The amount of detail that the camera can capture is called the resolution, and is measured in mega pixels (MP). The more mega pixels a camera has, the more details it can capture and the larger pictures can be without becoming blurry.",30-1/8000s,"JPEG, RAW",,,,,,,,,,
