3d,<page title>,af illuminator,aperture,battery,body type,brand,category,connector type,continuous shooting speed,depth,digital video format,digital zoom,display form factor,ean,exposure compensation,exposure modes,flash modes,flash range,flash type,focal length,gps,height,image format,image processor,image resolutions,image stabilizer,included accessories,installed memory,light sensitivity iso,max shutter speed,memory type,metering modes,microphone,min shutter speed,optical zoom,product name,product rating,recording functions,red eye reduction,resolution,screen resolution,screen size,screen type,self timer delay,sensor size,sensor type,special effects,touchscreen,user reviews,video resolution,weight,white balance,white balance presets,width,ae bracketing,autofocus,camera type,flash sync speed,focal length multiplier,image ratio,lens mount,lowest recommended price,manual focus,number of focus points,orientation sensor,remote control,sensor format,upc,viewfinder coverage,viewfinder magnification,viewfinder type,focal length equivalent to 35mm,live view,environmentally sealed,wireless,lowest price,isbn,isbn13
Yes,"Nikon COOLPIX AW110 digital camera prices, Shopping comparison for Nikon AW 110, Buy online in India - ShopMania",,F/3.9-4.8,Li-Ion,Compact,Nikon,Digital Cameras,Composite / HDMI / USB / mini HDMI,8.0,25 mm,AVC / MOV / WAV / iFrame / MPEG-4 / H.264,4x,Fixed,"0616932799235, 0639767681919, 0689466666496, 0845251050417, 0018208934591, 0689466666366, 0689466666533, 0639767681902, 0018208264117, 0689466666342, 7898560270321, 0018208264124, 0616932799150, 0018208258727, 0616932799204, 0616932799211, 0616932799242, 0639767681797, 0639767681780, 0639767681810, 0616932799181, 0689466666489, 0616932799174, 0846431091985, 0846431091992, 0616932799167, 0689466666519, 0846431091947, 0616932799228, 0689466666335, 0689466666427, 0689466666441, 0689466666458, 7898560270291, 7898560270314, 0689466666465, 0018208264131, 0689466666397, 0689466666403, 0689466666526, 0018208934683, 0689466666304, 0845251050394, 0845251050400, 0689466666502, 0639767682398, 7898560270307, 0018208132898, 0845251050431, 0639767681773, 0639767681889, 8033737551974, 0845251050455, 0018208264100","-/+ 2 EV range, in 1/3 EV steps",Backlight Compensation / Beach / Close-up / Dawn / Fireworks / Landscape / Movie / Museum / Night Portrait / Night Scene / Panorama / Party / Pet / Program / Scene / Snow / Sport / Sunset / Underwater / e-Portrait / 3D,Auto,5.20 m,,5 - 25 mm,Yes,65 mm,DCF / DPOF / JPEG / MPF / MPO / DCF 2.0,Expeed C2,640x480 / 1600x1200 / 2048x1536 / 2272x1704 / 3264x2448 / 4608x2592 / 4608x3456,Optical,AV cable / Carrying strap / Charger / USB cable,21 MB,Auto / 20 / 25 / 50 / 60 / 100 / 120 / 125 / 140 / 200 / 300 / 320 / 400 / 500 / 640 / 800 / 1200 / 1600 / 3200,1/1500,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,5x (more than 61%),Nikon COOLPIX AW110,0 out of 5,"HDR
/ Panorama
/ Sweep Panorama",,16 MP (more than 78%),614000 (more than 79%),"3"" (more than 62%)",OLED,2s / 10s,1/2.3,CMOS,,,Write a review,224x160 / 512x384 / 1280x720,193 g,,Underwater,110 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Tracking",,,,,,"Rs.15,306 - Indiatimes.com Show all prices »",,9.0,,,,"616932799235, 639767681919, 689466666496, 845251050417, 018208934591, 689466666366, 689466666533, 639767681902, 018208264117, 689466666342, 018208264124, 616932799150, 018208258727, 616932799204, 616932799211, 616932799242, 639767681797, 639767681780, 639767681810, 616932799181, 689466666489, 616932799174, 846431091985, 846431091992, 616932799167, 689466666519, 846431091947, 616932799228, 689466666335, 689466666427, 689466666441, 689466666458, 689466666465, 018208264131, 689466666397, 689466666403, 689466666526, 018208934683, 689466666304, 845251050394, 845251050400, 689466666502, 639767682398, 018208132898, 845251050431, 639767681773, 639767681889, 845251050455, 018208264100",,,Optical,28 - 140 mm,,Dustproof / Shockproof / Waterproof,Yes,,,
Yes,"Samsung MV800 digital camera prices, Shopping comparison for Samsung MV 800, Buy online in India - ShopMania",Yes,F/3.3-5.9,Li-Ion,Compact,Samsung,Digital Cameras,Composite / HDMI / USB / micro HDMI / mini USB,,18 mm,AVC / AVI / MPEG / MPEG-4 / H.264,5x,Folding,"8806071642222, 0662425820931, 0845251035216, 0845251030679, 0610696355256, 8806071645056, 8806071686950, 0610696355249","-/+ 2 EV range, in 1/3 EV steps",Custom / Macro / Program / Scene / e-Portrait,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.20 m,Built-in,4.7 - 23.5 mm,,56 mm,DCF / DPOF / JPEG / DCF 2.0,,640x480 / 1024x768 / 1920x1080 / 2592x1944 / 3648x2736 / 4608x2592 / 4608x3072 / 4608x3456,Optical,AV cable / Carrying strap / Charger / USB cable,10 MB,Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SD / SDHC / micro SD / micro SDHC,Average / Center-weighted / Multi / Spot,Yes,8s,5x (more than 61%),Samsung MV800,4 out of 5,"Panorama
/ Sweep Panorama",Yes,16.2 MP (more than 88%),288000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,Contrast / Retro / Saturation,Yes,Write a review,320x240 / 1280x720,121 g,Custom / Presets,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Tungsten,92 mm,,"Center
/ Contrast Detect
/ Face Detection
/ Multi-area
/ Touch
/ Tracking",,,,4:3 / 16:9,,"Rs.8,990 - Shopclues.com Show all prices »",,,,,,"662425820931, 845251035216, 845251030679, 610696355256, 610696355249",,,,26 - 130 mm,Yes,,,,,
,"Fujifilm SL280 digital camera prices, Shopping comparison for Fujifilm SL 280, Buy online in India - ShopMania",Yes,F/3.1-5.9,Li-Ion,DSLR,Fujifilm,Digital Cameras,Composite / HDMI / USB / mini HDMI,,,AVI / MPEG,6.7x,,4547410197426,"-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Custom / Manual / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,8 m,,4.3 - 120.4 mm,,,DCF / DPOF / JPEG,,640x480 / 1920x1080 / 2048x1360 / 2048x1536 / 3072x1728 / 3072x2048 / 3072x2304 / 4288x2416 / 4288x2864 / 4288x3216,,Charger / Lens cap / USB cable,,Auto / 64,1/4000,SD / SDHC / SDXC,Average / Multi / Spot,,,28x (more than 98%),Fujifilm SL280,0 out of 5,"Blink Detection
/ Face Detection
/ Sweep Panorama",Yes,14 MP (more than 67%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CCD,,,Write a review,320x240 / 1280x720,510 g,Automatic,"Daylight / Sunny / Fine / Flash / Fluorescent / Incandescent / Shade / Sunny
/ Tungsten",,,,,,,,,"Rs.12,999 - Homeshop18.com Show all prices »",,,,,,,,,,24 - 672 mm,,,,,,
,"Casio EX-Z370 digital camera prices, Shopping comparison for Casio EX Z 370, Buy online in India - ShopMania",,F/3.2-5.9,Li-Ion,Compact,Casio,Digital Cameras Digital Cameras,Composite / USB,,,AVI / MJPEG / WAV,4x,,,"-/+ 2 EV range, in 1/3 EV steps",Auto / Manual / Program / Scene,Auto / Off / On / Red Eye Reduction,,Built-in,4.9 - 19.6 mm,,,DCF / DPOF / JPEG,,640x480 / 2048x1536 / 2816x2112 / 3648x2736 / 4320x2432 / 4320x2880 / 4320x3240,,AV cable / Charger / USB cable,17 MB,64 / 100 / 200 / 400 / 800 / 1600,1/2000,SD / SDHC,Center-weighted / Multi,,,4x (more than 51%),Casio EX-Z370 Casio EX-Z370,0 out of 5 0 out of 5,,Yes,14 MP (more than 67%),230400 (more than 63%),"2.7""",,,1/2.3,CCD,Soft,,Write a review Write a review,848x480,,,Daylight / Sunny / Fine / Overcast / Shade / Tungsten,,,,,,,,,,Yes,,,,,,,,,,,,,,,
,"Olympus E-5 body digital camera prices, Shopping comparison for Olympus E 5 body, Buy online in India - ShopMania",Yes,F/2.8-4.0,Li-Ion,DSLR,Olympus,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,2.0,75 mm,AVI / MJPEG,,Rotating,"4545350032401, 0876544658744, 0876544658720, 0050332176348, 0846431028097, 0876544658737, 0082039554181","-/+ 5 EV range in 1/3, 1/2 or 1 EV steps",Aperture Priority / Auto / Custom / Manual / Program / Scene / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,18 m,Built-in / External,12 - 60 mm,,117 mm,DCF / DPOF / JPEG / RAW,TruePic V+,640x480 / 1024x768 / 1024x960 / 1280x960 / 1600x1200 / 2560x1920 / 3200x2400 / 4032x3024,Optical,AV cable / Body cap / Carrying strap / Charger / USB cable / 920000,,Auto / 100 / 125 / 160 / 200 / 250 / 320 / 400 / 500 / 640 / 800 / 1000 / 1250 / 1600 / 2000 / 2500 / 3200 / 6400 / 8000,1/8000,CompactFlash / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),,Olympus E-5 body Olympus E-5 body,4 out of 5 4 out of 5,Face Detection,Yes,12.3 MP (more than 65%),920000 (more than 80%),"3"" (more than 62%)",,2s / 12s,17.3x13.0mm,CMOS,Black & White / Contrast / Custom Effect / Monotone / Saturation / Sepia / Soft Focus / Vivid,,Write a review Write a review,1280x720,800 g,Automatic / Custom / Manual / Presets,"Cloudy / Daylight / Sunny / Fine / Flash / Fluorescent / Shade / Sunlight / Sunny
/ Tungsten / Underwater",143 mm,,"Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Phase Detect
/ Single",Body,1/250,2x,4:3 / 16:9,,,Yes,11.0,Yes,Yes,Four Thirds,"876544658744, 876544658720, 050332176348, 846431028097, 876544658737, 082039554181",100%,1.15x,Optical,,Yes,Weatherproof,,,,
,"Sony Cyber-shot DSC-WX200 digital camera prices, Shopping comparison for Sony Cybershot DSC WX 200, Buy online in India - ShopMania",,F/3.3-5.9,Li-Ion,Compact,Sony,Digital Cameras,Composite / USB / mini HDMI,10.0,22 mm,AVCHD / MJPEG / WAV,20x,,"4905524928327, 4905524928273","-/+ 2 EV range, in 1/3 EV steps",Beach / Food / High Sensitivity / Intelligent Auto / Landscape / Panorama / Program / Scene / Snow / Soft Skin / 3D,Auto / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,3.70 m,,4.45 - 44.5 mm,Yes,52 mm,DCF / DPOF / JPEG,Bionz,640x480 / 2592x1944 / 3648x2736 / 4896x3672,Optical,AV cable / Carrying strap / Charger / USB cable,48 MB,Auto / 25 / 100 / 200 / 12800,,Memory Stick Duo / Memory Stick Micro / Memory Stick PRO Duo / Memory Stick PRO Duo High Speed / Memory Stick XC-HG Duo / SD / SDHC / Memory Stick Micro M2,Center-weighted / Multi / Spot,Yes,4s,10x (more than 83%),Sony Cyber-shot DSC-WX200,0 out of 5,"Face Detection
/ HDR
/ Smile Detection",,18.2 MP (more than 94%),,"2.7""",LCD,2s / 10s,1/2.3,CMOS,,,Write a review,1440x1080,121 g,,"Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Sunlight / Sunny
/ Tungsten",92 mm,,,,,,,,"Rs.13,990 - Homeshop18.com Show all prices »",,,,,,,,,,,,,Yes,,,
Yes,"Panasonic DMC-GF3 digital camera prices, Shopping comparison for Panasonic DMC GF 3, Buy online in India - ShopMania",Yes,F/2.5 / F/3.5-5.6 / F/4.0-5.6 / F/4.0-5.8,Li-Ion,Mirrorless,Panasonic,Digital Cameras Digital Cameras,Composite / USB / mini HDMI,2.0,33 mm,AVCHD / MJPEG / QuickTime,2x,Fixed,"5025232637393, 5025232637737, 0876544833851, 0876544833837, 0876544830300, 0876544833813, 0885170051812, 0885170051744, 0885170051751, 0885170051775, 0885170051768, 0846431046275, 0885170051836, 0885170051805, 0885170051829, 0876544830317, 0876544830324, 5025232637478, 0876544833844, 0876544833820, 5025232637652, 0876544833868, 5025232637782, 0662425830923, 0662425830916, 0885170061729, 0846431049122, 0662425830886, 0662425830893, 0885170051874, 5025232637713, 5025232637614, 5025232637621, 5025232637522, 5025232637799, 5025232637447, 5025232637454","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Auto / Custom / Intelligent Auto / Manual / Program / Scene / Shutter Priority / 3D,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,6.30 m,Built-in,14 - 42 mm / 14 - 140 mm / 45 - 175 mm,,66 mm,DCF / DPOF / JPEG / MPO / RAW,Venus Engine FHD,640x480 / 1600x904 / 1504x1504 / 1600x1064 / 1600x1200 / 1920x1080 / 2048x1360 / 2048x1536 / 2112x2112 / 2816x1584 / 2816x1880 / 2816x2112 / 2992x2992 / 4000x2248 / 4000x2672 / 4000x3000,Optical,AV cable / Body cap / Charger / Hand strap / Stylus / USB cable,,Auto / 60 / 100 / 160 / 200 / 400 / 800 / 1600 / 3200 / 6400,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),3x,Panasonic DMC-GF3 Panasonic DMC-GF3,4 out of 5 4 out of 5,Face Detection,Yes,12.1 MP (more than 57%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,17.3x13.0mm,CMOS,Black & White / Contrast / Fisheye / Monochrome / Retro / Saturation / Sepia / Soft / Vivid,Yes,Write a review Write a review,320x240 / 848x480 / 1280x720 / 1920x1080,264 g,Automatic / Custom / Manual / Presets,Cloudy / Daylight / Sunny / Flash / Halogen / Incandescent / Indoor / Shade,109 mm,"-/+ 2 EV (3, 5 frames in 1/3, 2/3 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Selective Single-point
/ Single
/ Touch
/ Tracking",Kit,1/160,2x,1:1 / 3:2 / 4:3 / 16:9,,,Yes,23.0,,,Four Thirds,"876544833851, 876544833837, 876544830300, 876544833813, 885170051812, 885170051744, 885170051751, 885170051775, 885170051768, 846431046275, 885170051836, 885170051805, 885170051829, 876544830317, 876544830324, 876544833844, 876544833820, 876544833868, 662425830923, 662425830916, 885170061729, 846431049122, 662425830886, 662425830893, 885170051874",,,,28 - 84 mm,Yes,,,,,
Yes,"Olympus SP-610UZ digital camera prices, Shopping comparison for Olympus SP 610UZ, Buy online in India - ShopMania",Yes,F/3.3 / F/3.3-5.7 / F/3.6-5.7,NiMH,Compact,Olympus,Digital Cameras Digital Cameras,Composite / HDMI / USB / micro HDMI,1.1,73 mm,MJPEG / MPEG / MPEG-4 / H.264,4x,Fixed,"4545350033804, 0610696378323, 0610696378330, 0050332405349, 0876544702539, 0876544702515, 0610696378316","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Intelligent Auto / Program / Scene / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction,6.30 m,Built-in,5 - 110 mm,Yes,73 mm,DCF / DPOF / JPEG,TruePic III,640x480 / 1280x960 / 1600x1200 / 1920x1080 / 2048x1536 / 2560x1920 / 3264x2448 / 4288x2416 / 4288x3216 / 4320x3240,Optical,AV cable / Carrying strap / Lens cap / Neck strap / USB cable,59 MB,Auto / 64 / 80 / 100 / 200 / 400 / 800 / 1600 / 3200,1/2000,SD / SDHC / SDXC,Multi / Spot,Yes,4s,22x (more than 96%),Olympus SP-610UZ Olympus SP-610UZ,4 out of 5 4 out of 5,"Face Detection
/ Panorama",Yes,14 MP (more than 67%),230000,"3"" (more than 62%)",LCD,2s / 10s / 12s,1/2.3,CCD,Fisheye / Saturation / Soft / Soft Focus,,Write a review Write a review,320x180 / 320x240 / 1280x720,405 g,Automatic / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Indoor / Overcast / Shade / Tungsten,108 mm,,"Contrast Detect
/ Live View",,,,4:3 / 16:9,,,,11.0,,,,"610696378323, 610696378330, 050332405349, 876544702539, 876544702515, 610696378316",,,,28 - 616 mm,Yes,,,,,
,"Sony SLT-A57 kit 18-55mm digital camera prices, Shopping comparison for Sony SLT A 57 kit 18 55mm, Buy online in India - ShopMania",Yes,F/3.5-5.6 / F/4.0-5.6 / F/4.5-5.6,,DSLR,Sony,Digital Cameras,USB / mini HDMI,12.0,81 mm,AVCHD / MP4 / MPEG-4 / H.264,,Rotating,"0846431064941, 0610696373342, 0845251044430, 0610696373380, 0610696373410, 0639767657372, 0610696373397","-/+ 3 EV range, in 1/3 EV steps",Aperture Priority / Auto / Intelligent Auto / Shutter Priority,Auto / Fill-in / Off / On / Red Eye Reduction / Slow Speed Sync,10 m,,18 - 55 mm / 55 - 200 mm / 70 - 300 mm,,98 mm,DCF / JPEG / MPO / RAW,Bionz,2448x1376 / 2448x1624 / 3568x2000 / 3568x2368 / 4912x2760 / 4912x3264,,Body cap / Carrying strap / Charger / USB cable,,100 / 200 / 400 / 800 / 1600 / 3200 / 12800,1/4000,Memory Stick PRO Duo / Memory Stick PRO-HG Duo / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,30s (more than 65%),,Sony SLT-A57 kit 18-55mm,0 out of 5,"Face Detection
/ HDR
/ Panorama
/ Smile Detection
/ Sweep Panorama",Yes,16.1 MP (more than 84%),921000 (more than 84%),"3"" (more than 62%)",Xtra Fine TruBlack LCD,2s / 10s,23.5x15.6mm,CMOS,,,Write a review,1440x1080,618 g,,Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade,132 mm,,"Continuous
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Kit,1/160,1.5x,3:2 / 16:9,Minolta A / Sony A,"Rs.44,990 - Homeshop18.com Show all prices »",Yes,15.0,Yes,,APS-C,"846431064941, 610696373342, 845251044430, 610696373380, 610696373410, 639767657372, 610696373397",100%,1.04x,Electronic,,,,,,,
,"Olympus PEN E-PL5 body digital camera prices, Shopping comparison for Olympus PEN E PL 5 body, Buy online in India - ShopMania",Yes,F/3.5-5.6 / F/4.0-5.6,,Mirrorless,Olympus,Digital Cameras,USB,8.0,,AVI / MJPEG / MOV / MPEG-4 / H.264,,Folding,"0050332184183, 0050332184633, 0846431084864, 0689466583632, 0846431084857, 0846431084871, 0616932798535, 0616932798542","-/+ 3 EV range in 1/3, 1/2 or 1 EV steps",Aperture Priority / Program / Shutter Priority,Auto / Fill-in / Manual / Off / On / Red Eye Reduction / Slow Speed Sync,7 m,,14 - 42 mm / 14 - 150 mm / 40 - 150 mm / 45 - 150 mm,,,DCF / DPOF / JPEG / MPO / RAW,TruePic VI,1024x768 / 2560x1920 / 4608x3456,,AV cable / Charger / USB cable,,100 / 200 / 400 / 800 / 1600 / 3200 / 12800 / 16000 / 20000 / 25600,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,60s (more than 91%),10.7x (more than 88%),Olympus PEN E-PL5 body,4 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",,16.1 MP (more than 84%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 12s,17.3x13.0mm,CMOS,,Yes,Write a review,1280x720,325 g,Automatic / Custom / Kelvin / Manual / Presets,"Artificial
/ Cloudy / Flash / Fluorescent / Shade / Sunlight / Sunny
/ Tungsten / Underwater",,,"Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Selective Single-point
/ Single
/ Touch
/ Tracking",Body,1/250,2x,4:3,Micro Four Thirds,,Yes,35.0,Yes,,Four Thirds,"050332184183, 050332184633, 846431084864, 689466583632, 846431084857, 846431084871, 616932798535, 616932798542",100%,,,,Yes,,,"Rs.39,639 Show all prices »",,
,"Canon EOS 650D kit 18-55mm digital camera prices, Shopping comparison for Canon EOS 650D kit 18 55mm, Buy online in India - ShopMania",Yes,F/1.4 / F/3.5-5.6,Li-Ion,DSLR,Canon,Digital Cameras,Composite / HDMI / USB / mini HDMI,5.0,79 mm,MJPEG / MOV / H.264,,Rotating,"8714574585796, 4960999903453, 8714574585802, 4960999903477, 0639767686297, 0639767685979, 0689466591415, 0689466543216, 0689466593204, 8714574585789","-/+ 5 EV range, in 1/2 or 1/3 EV steps",Aperture Priority / Bulb / Close-up / Custom / Intelligent Auto / Landscape / Movie / Night / Night Portrait / Night Scene / Portrait / Program / Scene / Shutter Priority,Auto / Manual / Off / On / Red Eye Reduction,13 m,,18 - 55 mm,Yes,100 mm,DCF / DPOF / JPEG / RAW,Digic 5,480x480 / 640x480 / 720x400 / 720x480 / 1280x1280 / 1696x1280 / 1728x1728 / 1920x1080 / 1920x1280 / 2304x1728 / 2304x2304 / 2592x1456 / 2592x1728 / 3072x2304 / 3456x1944 / 3456x2304 / 3456x3456 / 4608x3456 / 5184x2912 / 5184x3456,Optical,AV cable / Body cap / Carrying strap / Charger / USB cable,,Auto / 20 / 25 / 50 / 100 / 200 / 400 / 800 / 1600 / 3200 / 4000 / 6400 / 12800 / 25600,1/4000,SD / SDHC / SDXC,Center-weighted / Multi / Partial / Spot,Yes,30s (more than 65%),,Canon EOS 650D kit 18-55mm,0 out of 5,HDR,Yes,18 MP (more than 90%),1040000 (more than 94%),"3"" (more than 62%)",Clear View II LCD,2s / 10s,22.3x14.9mm,CMOS,,Yes,Write a review,,575 g,,"Artificial
/ Cloudy / Daylight / Sunny / Flash / Fluorescent / Shade / Tungsten",133 mm,"-/+ 2 EV (3 frames in 1/3, 1/2 EV steps)","Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single",Kit,1/200,1.6x,1:1 / 3:2 / 4:3 / 16:9,Canon EF / Canon EF-S,,Yes,9.0,Yes,Yes,APS-C,"639767686297, 639767685979, 689466591415, 689466543216, 689466593204",95%,0.85x,Optical,,Yes,,,"Rs.56,995 Show all prices »",,
,"Casio EXILIM Zoom EX-Z90 digital camera prices, Shopping comparison for Casio Zoom EX Z 90, Buy online in India - ShopMania",,F/3.1-5.9,Li-Ion,Compact,Casio,Digital Cameras Digital Cameras,Composite / USB,,,AVI / MJPEG / MPEG / WAV,4x,Fixed,"0876544666756, 0876544666763","-/+ 2 EV range, in 1/3 EV steps",Aperture Priority / Auto / Manual / Program / Scene,Auto / Fill-in / Manual / Off / On / Red Eye Reduction,3 m,Built-in,6.3 - 18.9 mm,,,DCF / DPOF / JPEG,EXILIM Engine 4.0,640x480 / 2048x1536 / 2560x1920 / 3264x2448 / 4000x2240 / 4000x2656 / 4000x3000,,AV cable / Carrying strap / Charger / USB cable,36 MB,Auto / 64 / 100 / 200 / 400 / 800 / 1600 / 6400,1/2000,MultiMediaCard / SD / SDHC,Center-weighted / Multi / Spot,Yes,4s,3x,Casio EXILIM Zoom EX-Z90 Casio EXILIM Zoom EX-Z90,5 out of 5 5 out of 5,Face Detection,Yes,12.1 MP (more than 57%),230160 (more than 63%),"2.7""",LCD,2s / 10s,1/2.3,CCD,Contrast / Saturation / Vivid,,"Read reviews
Write a review Write a review",320x240 / 640x480 / 1280x720,121 g,,Cloudy / Daylight / Sunny / Fluorescent / Incandescent / Overcast / Shade / Sunlight / Tungsten,,,"Contrast Detect
/ Live View
/ Single",,,,3:2 / 4:3 / 16:9,,,Yes,,,,,"876544666756, 876544666763",,,,35 - 105 mm,Yes,,,,,
,"Nikon D610 body digital camera prices, Shopping comparison for Nikon D 610 body, Buy online in India - ShopMania",Yes,,Li-Ion,DSLR,Nikon,Digital Cameras,HDMI / USB,5.5,82 mm,AVC / MPEG-4 / H.264,,Fixed,"5054230145012, 8033737553138, 0018208940608, 0018208937424, 0001820893742, 0704660934063","-/+ 5 EV range in 1/3, 1/2, 2/3 or 1 EV steps",Bulb / Landscape / Movie / 3D,Off / On,12 m,Built-in,,Yes,113 mm,DCF / DPOF / JPEG / NEF / RAW / DCF 2.0,Expeed 3,2944x1968 / 3008x1688 / 3008x2008 / 3936x2624 / 3936x2944 / 4512x3008 / 6016x4016 / 6048x4032,,,,Auto / 20 / 25 / 50 / 100 / 200 / 4000 / 4800 / 6400 / 25600,1/4000,SD / SDHC / SDXC,Average / Center-weighted / Spot,,30s (more than 65%),,Nikon D610 body,0 out of 5,,,24 MP (more than 97%),921000 (more than 84%),"3.2"" (more than 97%)",LCD,2s,24 x 35.9mm,CMOS,Neutral / Vivid,,Write a review,640x424,760 g,,Sunlight,141 mm,,"Center
/ Continuous
/ Contrast Detect
/ Face Detection
/ Live View
/ Multi-area
/ Phase Detect
/ Selective Single-point
/ Single
/ Tracking",Body,,1x,3:2,Nikon F,"Rs.117,345 - Indiatimes.com Show all prices »",Yes,39.0,Yes,Yes,Full Frame,"018208940608, 018208937424, 001820893742, 704660934063",100%,0.7x,Optical,,Yes,,Yes,,,
,"Nikon AW100 digital camera prices, Shopping comparison for Nikon AW 100, Buy online in India - ShopMania",Yes,F/3.9 / F/3.9-4.8,Li-Ion,Compact,Nikon,Digital Cameras,Composite / USB / mini HDMI / mini USB,1.0,,AVI / MPEG / QuickTime / WAV / MPEG-4 / H.264,4x,Fixed,"0018208924868, 0018208924820, 0018208924776, 0689466447309, 0610696377548, 0610696377555, 0689466438369, 0876544828796, 0876544828789, 0876544828741, 0876544828765, 0689466447408, 0610696377531, 0689466447347, 0689466447392, 0018208262939, 0689466447415, 0689466447354, 0610696377524, 0610696377517, 0689466438390, 0689466447385, 0689466438383, 0689466447361, 0689466438376, 0689466447439, 0610696377494, 0610696377487, 0689466447378, 0689466447422, 0610696377500, 0845251030181, 0876544828758, 0876544828772, 0876544828734, 0610696377562, 0689466438345, 0876544837446, 0018208924783, 0639767653756, 0639767678568, 0639767678582, 0639767678575, 0018208263639, 0639767691673, 0639767681193, 0018208262922, 0018208262908","-/+ 2 EV range, in 1/3 EV steps",Auto / Custom / Program / Scene,Auto / Fill-in / Off / On / Slow Speed Sync,,Built-in,5 - 25 mm,Yes,65 mm,JPEG,Expeed C2,320x240 / 640x480 / 1024x768 / 1280x720 / 1920x1080 / 2048x1536 / 2592x1944 / 3264x2448 / 4000x3000 / 4608x2592 / 4608x3456,Optical,AV cable / Carrying strap / Charger / Neck strap / USB cable,83 MB,Auto / 100 / 125 / 200 / 400 / 800 / 1600 / 3200,1/2000,MultiMediaCard / SD / SDHC / SDXC,Center-weighted / Multi / Spot,Yes,4s,5x (more than 61%),Nikon AW100,4 out of 5,"Face Detection
/ HDR
/ Panorama
/ Sweep Panorama",Yes,16 MP (more than 78%),460000 (more than 68%),"3"" (more than 62%)",LCD,2s / 10s,1/2.3,CMOS,Contrast / Vivid,Yes,Write a review,320x240 / 1280x720 / 1920x1080,178 g,Custom / Presets,Cloudy / Daylight / Sunny / Flash / Fluorescent / Incandescent / Indoor / Outdoor / Sunlight / Tungsten / Underwater,110 mm,,Contrast Detect,,,,,,,,,,,,"018208924868, 018208924820, 018208924776, 689466447309, 610696377548, 610696377555, 689466438369, 876544828796, 876544828789, 876544828741, 876544828765, 689466447408, 610696377531, 689466447347, 689466447392, 018208262939, 689466447415, 689466447354, 610696377524, 610696377517, 689466438390, 689466447385, 689466438383, 689466447361, 689466438376, 689466447439, 610696377494, 610696377487, 689466447378, 689466447422, 610696377500, 845251030181, 876544828758, 876544828772, 876544828734, 610696377562, 689466438345, 876544837446, 018208924783, 639767653756, 639767678568, 639767678582, 639767678575, 018208263639, 639767691673, 639767681193, 018208262922, 018208262908",,,,28 - 140 mm,Yes,Dustproof / Shockproof / Waterproof,,"Rs.14,502 Show all prices »",,
