<page title>,camera body only,camera type,depth,effective megapixels,environmental protection,flash,gps enabled,height,image sensor,image stabilization,interface connection,lcd screen size,lens mount,maximum video capture resolution,memory card support,total pixels,url,warranty information,weight,width,wifi,brand name,builtin flash,camera modes,exposure control,maximum diopter adjustment,minimum diopter adjustment,number of batteries support,parent retsku,pictbridge,product model,viewfinder type,digital zoom,focal length,focal length 35mm equivalent,optical zoom,analog video out,autofocus points,battery builtin,battery include,battery model supported,battery rechargeable,gps,hd movie mode,iso sensitivity,language support,longest shutter speed,maximum frame rate,parent product type,product line,self timer,shortest shutter speed,white balance modes,installed memory,max aperture,green compliance,lens construction,normalizeddigital zoom,normalizedheight,normalizedoptical zoom,normalizedweight,product series,wide angle,software included,you are reviewing,product type,maximum image resolution,bulb setting,continuous shooting speed,exposure settings,focus features,frequency band,general features,image format,image sensor quantity,image sensor size,included components,iso equivalencies,max focal length,max horizontal image resolution,max vertical image resolution,max zoom,maximum shutter speed,metering characteristics,min aperture,min focal length,min focus distance,minimum shutter speed,normalizedinstalled memory,normalizednumber of image sensor pixels,number of resolution modes,number of scene modes,power source,video capture format,white balance,exposure compensation range,color,removable flash memory included,focal length conversion factor slr,shutter lag
"Vivitar ViviCam S325 16.1 Megapixel Compact Camera - Silver (2.4"" LCD - 3x Optical Zoom - 4890 X 3270 Image - 640 X 480 Video - PictBridge) Price Comparison at Buy.net",,Compact Camera,,16.1 Megapixel,,Red-eye Reduction,,,,,,2.4 in,,640 x 480,Secure Digital (SD) Card,,http://www.sakar.com,1 Year Limited,,,,Vivitar,Yes,,,No,No,1.0,,Yes,S325,No,4x,,,3 X,,,,,,,,No,,,,,,ViviCam,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vivitar ViviCam X137 Black Digital Camera (10.1 MP, SD/SDHC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,,10100000 pixels,,Built-in Flash,,,,,USB,2.4 in,,640 x 480 (VGA),Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card,,http://www.vivitar.com/products/1/digital-cameras/1057/vivicam-x137,1 year(s),,,,,,,,,,,,,,,4 X,,,,,,,,,,,,,,,,,,,,,32 MB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SX60 HS Black Digital Camera (16.1 MP, 65x Opt, SD Card Slot) Price Comparison at Buy.net",,,,,,,,,,,,,,,,,,,,,,Canon,Yes,Shooting Modes: Hybrid Auto Auto Creative Shot Sports SCN Creative Filters Movie,Program AE Aperture Priority Shutter Priority Manual,,,1.0,,Yes,SX60 HS,Electronic,,,21 mm to 1365 mm,,Yes,9.0,No,Yes,NB-10L,Yes,,Yes,ISO 3200,Vietnamese,15 Second,60 fps,Digital Camera,PowerShot,10 Second,1/2000 Second,Auto Daylight Shade Cloudy Tungsten Fluorescent Fluorescent H Flash Custom 1 Custom 2 Multi-Area White Balance White Balance Correction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon AW1 Silver 14.2 Megapixel Digital Camera - 27666 Price Comparison at Buy.net,,,,,,,,,,,,,,,,,,,,,,Nikon,Yes,Shooting Modes: Advanced Movie Mode Auto Photo Mode Best Moment Capture Mode Creative Mode Motion Snapshot Scene Modes: Auto Portrait Landscape Night Landscape Night Portrait Close-up Underwater,Program AE Shutter Priority AE Aperture Priority AE Manual,,,1.0,B00FACNXHK,Yes,AW1,,,,30 mm to 74 mm (Lens 1),,,135.0,No,Yes,EN-EL20,Yes,Yes,Yes,ISO 6400,Vietnamese,30 Second,1200 fps,,1,10 Second,1/16000 Second,Auto Incandescent Fluorescent Direct Sunlight Flash Cloudy Shade Preset Manual Underwater All Except Preset Manual with Fine Tuning,,,Yes,8 Elements in 6 Groups,,,,,,Yes,ViewNX 2 Short Movie Creator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S6800 White Digital Camera (16 MP, 12x Opt, SD/SDHC/SDXC Card Slot, 25 MB) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,,Built-in Flash,,2.3 in,CMOS,Optical,USB|Video - Out (Unspecified)|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),16760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26444/COOLPIX-S6800.html,1 year(s),5.2 oz,3.9 in,Yes,,,,,,,,,,,,4 X,4.5 mm to 54 mm,25 mm to 300 mm,12 X,,,,,,,,,,,,,,,,,,25 MB,3.3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panasonic I-PRO SmartHD WVST162 Network Camera - Color, Monochrome (MOS - Cable - Fast Ethernet) Price Comparison at Buy.net",,Surveillance/Network Camera,2.9 in,,,,,3.9 in,MOS,,,,,800 x 600,,,http://www.panasonic.com,,12.17 oz,3.9 in,,Panasonic,,,,,,,,,WV-ST162,,8x,1.95 mm,,,Yes,,,,,,,,,,1/30 Second,30 fps,Digital Camera,i-PRO SmartHD,,1/10000 Second,Auto,,,,,8.0,99.06,,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung Galaxy GC120 16.3 Megapixel Compact Camera - Cobalt Black (4.8"" Touchscreen LCD - 21x Optical Zoom - Optical IS - 4608 X 3456 Image - 1920 X 1080 Video - HDMI - HD Movie Mode) Price Comparison at Buy.net",Body Only,Compact Camera,0.8 in,16.3 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Red-eye Reduction,Yes,2.8 in,CMOS,Optical,USB|HDMI,4.8 in,,1920 x 1080,microSD Card|microSDHC Card|microSD Extended Capacity (microSDXC),17000000,http://www.samsungusa.com,1 Year,10.70 oz,5.1 in,Yes,,,,,,,,,,,,,4.10 mm to 86.10 mm,23 mm to 483 mm,21 X,,,,,,,,,,,,,,,,,,8 GB,2.8 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D5300 Black SLR Digital Camera Kit W/ 18-140 Mm VR Lens (24.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24.2 Megapixel,,Accessory Shoe|Built-in Flash,Yes,3.9 in,CMOS,Optical,"Audio - Line In (1/8"" Mini)|HDMI|USB",3.2 in,Nikon F,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,24.78 Megapixel,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1519/D5300.html,,16.9 oz,4.92 in,Yes,,,,,,,,,,,,,18-140,,7.8 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Alpha SLTA77VM Black SLR Digital Camera Kit W/ 18*135mm Lens (24.3 MP, 7.5x Opt, Memory Stick PRO Duo/Pro-HG Duo/PRO-HG HX Duo/SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,3.2 in,24.3 Megapixel,,Auto Flash|Flash ON|Flash OFF|High Speed Sync|Rear Curtain Sync|Red-eye Reduction|Slow Sync|Wireless Flash,,4.1 in,Exmor APS HD CMOS sensor,Optical,,3 in,A-mount,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick PRO Duo|Memory Stick PRO-HG Duo|Eye-Fi Card,24700000,http://www.sony.com,1 Year Limited,1.44 lbs,5.6 in,,,,,,,,,,,,,No,18 mm to 135 mm (Lens 1),27 mm to 202.50 mm (Lens 1),7.5 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon COOLPIX S9500 Black Digital Camera (18.1 MP, 22x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,1.2 in,18.1 Megapixel,,Auto Flash|Pre-flash,,2.4 in,CMOS,Optical,,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC),18900000,http://www.nikon.com,1 Year,7.23 oz,4.3 in,,,,,,,,,,,,,4x,4.50 mm to 99 mm,25 mm to 550 mm,22 X,,,,,,,,,,,,,,,,,,,,RoHS|WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon D3300 Black SLR Digital Camera Kit W/ 18-55 Mm Lens (24.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Digital SLR Camera,3 in,24200000 pixels,,Built-in Flash|Accessory Shoe,Yes,3.9 in,CMOS,Sensor Shift,USB|HDMI,3 in,Nikon F,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),24700000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Digital-SLR-Cameras/1532/D3300.html,1 year(s),15.1 oz,4.9 in,Yes,,,,,,,,,,,,,18 mm - 55 mm,27 mm - 82.5 mm,,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,Nikon D3300 Black SLR Digital Camera Kit w/ 18-55 mm Lens (24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix L820 Red Digital Camera (16 MP, 30x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Compact Camera,3.3 in,16 Megapixel,,Auto Flash|Pre-flash,,3.0 in,CMOS,Optical|Electronic,A/V (RCA Composite)|USB,3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,16800000,http://www.nikon.com,1 Year,1.04 lbs,4.3 in,,,,,,,,,,,,,4x,4 mm to 120 mm,22.50 mm to 675 mm,30 X,,,,,,,,,,,,,,,,,,65 MB,3 1/f,WEEE|RoHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus OM-D E-M5 Black Digital Camera Body Only (16.1 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body Only,Mirrorless Camera,1.7 in,16.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction|Slow Sync|Rear Curtain Sync|Flash Exposure Compensation|X-sync,,3.5 in,Live MOS,Optical,,3 in,Micro Four Thirds,1920 x 1080,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Eye-Fi Card,16900000,http://www.olympusamerica.com,1 Year,14.99 oz,4.8 in,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,WEEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen EVC355BK Black Digital Camera (microSD Card Slot) Price Comparison at Buy.net,,Point & Shoot Digital Camera,,,Water Proof,,,,,,USB,,,1366 x 768,microSD Card,,http://www.southerntelecom.com/,,,,,,,,,,,,,,,,4 X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony DSC-WX350/B Black Digital Camera (18.2 MP, 20x Opt, SD/SDHC/MS Duo Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.06 in,18200000 pixels,,Built-in Flash,,2.25 in,CMOS,Optical,USB|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Memory Stick Duo,21100000 pixels,http://store.sony.com/point-and-shoot-digital-still-camera-zid27-DSCWX350//cat-27-catid-All-Cyber-shot-Cameras,1 year(s),4.8 oz,3.88 in,Yes,,,,,,,,,,,,4 X,,28.5 mm to 1425 mm,20 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon 1 J3 Beige Digital Camera Kit W/ 10-30 Mm Lens (14.2 MP, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",Body with Lens Kit,Mirrorless Camera,1.1 in,14.2 Megapixel,,Auto Flash|Flash OFF|Flash ON|Slow Sync|Rear Curtain Sync|Red-eye Reduction|Flash Exposure Compensation,,2.4 in,CMOS,Optical,,3 in,Nikon 1-mount,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,15100000,http://www.nikon.com,1 Year,7.09 oz,4.0 in,,Nikon,Yes,Scene Modes:PortraitLandscapeNight LandscapeNight PortraitClose-upAuto,Program AEShutter PriorityAperture PriorityManual,No,No,1.0,,Yes,J3,No,No,10 mm to 30 mm (Lens 1),27 mm to 81 mm (Lens 1),3 X,,135.0,No,Yes,EN-EL20,Yes,No,Yes,ISO 6400,Vietnamese,30 Second,1200 fps,,,,1/16000 Second,AutoIncandescentFluorescentDirect SunlightFlashCloudyShadePreset ManualUnderwaterAll except preset manual with fine tuning,,,WEEE|RoHS,12 Elements in 9 Groups,,,,,1,,ViewNX 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Polaroid Z2300 Black Digital Camera (10 MP, 1x Opt, SD/SDHC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1.5 in,10000000 pixels,,Built-in Flash,,3.06 in,CMOS,,USB,2.5 in,,1280 x 720,Secure Digital (SD) Card|Secure Digital High Capacity (SDHC) Card,,http://www.polaroidstore.com/products/instant-cameras/10-megapixel-instant-print-digital-camera-z2300b-black.htm,1 year(s),9.31 oz,4.75 in,,,,,,,,,,,,,2.4 X,,,1 X,,,,,,,,,,,,,,,,,,32 MB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot SD780 IS 12.1 Megapixel Compact Camera - Silver (2.5"" LCD - 3x Optical Zoom - 4000 X 3000 Image - 1280 X 720 Video - HDMI - PictBridge - HD Movie Mode) Price Comparison at Buy.net",,Compact Camera,0.7 in,12.1 Megapixel,,Auto Flash|Flash OFF|Flash ON|Red-eye Reduction,,2.2 in,CCD,Optical,1 x USB|1 x HDMI|1 x Audio/Video Out|1 x DC Power In,2.5 in,Fixed,1280 x 720,Secure Digital High Capacity (SDHC) Card|MultiMediaCard (MMC)|MMCplus|HC MMCplus,12400000,http://www.usa.canon.com,1 Year Limited,4.06 oz,3.4 in,,,,,,,,,,,,,4x,5.90 mm to 17.90 mm,,3 X,,,,,,,,,,,,,,,,,,,3.2 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS Rebel T3i Black SLR Digital Camera Kit W/ 18-55mm Lens (18 MP, 3x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Digital SLR Camera,3.1 in,18 Megapixel,,Accessory Shoe|Built-in Flash,,3.9 in,CMOS,Optical,A/V (RCA Composite)|USB,3 in,Canon EF/EF-S,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card,18700000 pixels,http://www.usa.canon.com/cusa/support/consumer/eos_slr_camera_systems/eos_digital_slr_cameras/eos_rebel_t3i_18_55mm_is_ii_kit,1 year(s),18.2 oz,5.2 in,,,,,,,,,,,,,,,,3 X,,,,,,,,,,,,,,,,,,,3.5 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon Coolpix S3600 Black Digital Camera (20.1 MP, 8x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,0.8 in,"20,100,000 pixels",,Built-in Flash,,2.3 in,CCD,,"Video - Out (Unspecified)|USB|Audio - Line Out (1/8"" Mini)",2.7 in,,1280 x 720,Secure Digital High Capacity (SDHC) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital (SD) Card,"20,480,000 pixels",http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/26452/COOLPIX-S3600.html?btnstyle=true,1 year(s),4.5 oz,3.9 in,,,,,,,,,,,,,4 X,4.5 mm to 36.0 mm,25 mm to 200 mm,8 X,,,,,,,,,,,,,,,,,,25 MB,3.7 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nikon COOLPIX S6800 Black Digital Camera (16 MP, 12x Opt, SD/SDHC/SDXC Card Slot) Price Comparison at Buy.net",,Point & Shoot Digital Camera,1 in,16000000 pixels,,Built-in Flash,,2.3 in,CMOS,,USB|Video - Out (Unspecified)|HDMI,3 in,,1920 x 1080,Secure Digital High Capacity (SDHC) Card|Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC),16760000 pixels,http://www.nikonusa.com/en/Nikon-Products/Product/Compact-Digital-Cameras/COOLPIX-S6800.html,1 year(s),5.2 oz,3.9 in,Yes,,,,,,,,,,,,4 X,4.5 mm to 54.0 mm,25 mm to 300 mm,12 X,,,,,,,,,,,,,,,,,,25 MB,3.3 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-RX1R/B Black Digital Camera (24.3 MP, 2x Opt, Stick PRO Duo/Pro-HG Duo/PRO-HG HX Duo/SD/SDXC/SDHC Card Slot) Price Comparison at Buy.net",Body Only,Compact Camera,2.7 in,24.3 Megapixel,,Auto Flash|Flash ON|Flash OFF|Slow Sync|Wireless Flash,,2.6 in,Exmor CMOS,Optical,"USB|Remote Terminal|HDMI|Audio - Line In (1/8"" Mini)",3 in,,1920 x 1080,Secure Digital (SD) Card|Secure Digital Extended Capacity (SDXC)|Secure Digital High Capacity (SDHC) Card|Memory Stick Duo|Memory Stick PRO Duo|Memory Stick PRO-HG Duo|Eye-Fi Card,24700000,http://www.sony.com,1 Year,1.06 lbs,4.5 in,,,,,,,,,,,,,14x,,37 mm,2 X,,,,,,,,,,,,,,,,,,,2 1/f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
