<page title>,aperture range,audio formats,auto focus,camera resolution,digital zoom,focal length,image format,image stablizer,iso rating,lens type,manual focus,maximum shutter speed,minimum shutter speed,optical zoom,other focus features,self timer,video format,white balancing,color filter,conitnous shots,delete function,dust reduction,face detection,hdmi,image ratio wh,macro mode,max resolution,microphone,operating system,pictbridge,processor,sensor size,sensor type,shooting modes,tv out,usb cable,video resolution,built in flash,external flash,flash modes,metering,sync terminal,view finder,red eye reduction,supported languages,wifi,battery type,dimensions,flash range,memory card type,power supply,type,upgradable memory,weight,picture angle,internal memory
"Samsung DV150F Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.5 (W) - F6.3 (T),,"Yes, Contrast Detect, Multi-Area, Selective Single Point, Tracking, Face Detection",16.6 MP,4x,4.5 - 22.5 mm (35 mm Equivalent to 25 - 125 mm),"JPEG (DCF), EXIF 2.21, GIF","Yes, Digital Image Stabilization",80 - 3200,Samsung Zoom Lens,,1/2000 sec,8 sec,5x,"Focus System ( TTL Auto Focus (Centre AF, Multi AF, Object Tracking AF, Face Detection AF) )","Yes, Off, 10 sec, 2 sec, Double","MPEG-4, H.264, MP4","White Balance Presets (5), Custom White Balance, Auto WB, Daylight, Cloudy, Fluorescent_H, Fluorescent_L, Tungsten, Custom",,"Yes, Single, Continuous, Motion Capture, AEB",Yes,,Yes,,,"Yes, 5 cm 80 cm (W), 100 cm 250 cm (T)",,,Windows XP SP2 / Vista / 7,,,,,"Smart Auto, Program, Scene, Photo Filter, Split Shot, Motion Photo, Close-up, Magic Frame, Live Panorama, Beauty Shot, Night Shot",,,,Yes,No,"Auto, Auto & Red-eye reduction, Fill-in flash, Slow sync, Flash Off, Red-eye fix","Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,,,,,"0.2 - 4.2 m (W), 0.5 - 1.6 m (T)",,,,,,,
"Nikon D4S (Body Only) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",17 MP,,,"JPEG ( Fine, Normal & Basic Quality )",No,100 - 25600,Nikon F,Yes,1/8000 sec,30 Sec,,"Focal Length Multiplier (1x), No. of Focus Points (51)","Yes, 2-20 seconds, 1-9 exposures at intervals of 0.5, 1, 2, or 3 seconds","MPEG-4, H.264, MOV","White Balance Presets (12), Custom White Balance (12 Slots), Auto (2 types), incandescent, fluorescent (7 types), direct sunlight, flash, cloudy, shade, preset manual (up to 6 values can be stored, spot white balance measurement available during live view), choose color temperature (2500 K-10000 K), all with fine-tuning.",,"Yes, 11 fps",Yes,"Yes, Image sensor cleaning, Image Dust Off reference data (optional Capture NX 2 software required)",Yes,,,,4928 x 3280 Pixels,,,,Expeed 4,Full frame (36 x 23.9 mm),CMOS,,,,,No,"Yes, hotshoe, flash sync port","Front curtain sync, slow sync, rear-curtain sync, red-eye reduction, red-eye reduction with slow sync, slow rear-curtain sync, off, Auto FP High-Speed Sync supported","Yes, Multi-Pattern, Center-Weighted, Spot","Yes, 1/250 sec",,,23,,,,,,,,,,,
"Sony HXR MC1500P Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",,Dolby Digital (2 ch),"Yes, Full Range Auto Focus",2.65 MP,160x,2.9 - 34.8 mm (35 mm Equivalent to 36.5 - 438 mm),,"Yes, Active Optical SteadyShot Image Stabilization",,Sony G Lens,Yes,,,12x,Filter Diameter (37 mm),,"AVCHD, MPEG2","Auto, Outdoor (5800K), Indoor (3200K), One-push (Touch Panel)",,,,,,,"16:9, 4:3",,3072 x 2304 Pixels,,Picture Motion Browser Application Software,,,1/4 inch,Exmor R CMOS with ClearVid Pixel Array,,,,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,29.8 mm Wide Angle,
"Nikon DF (AF-S 50mm) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F1.8,,"Yes, Contrast Detect, Phase Detect, Multi-Area, Multi-Area, Center, Selective Single Point, Tracking, Single, Continuous, Face Detection, Live View",17 MP,,50 mm,"JPEG ( Fine, Normal & Basic Quality )",No,100 - 12800,Nikon F,Yes,1/4000 sec,30 Sec,,"Focal Length Multiplier (1x), No. Of Focus Points (39), Min. Aperture (F16.0), No. Of Diaphragm Blades (7), Lens Construction (7 Elements & 6 Groups), Min. Focus (0.45 mm), Max. Magnification (0.15x), Filter Thread (58 mm)","Yes, 2, 5, 10, or 20 secs",,"White Balance Presets (12), Custom White Balance (4 Spots)",,,,,Yes,,,,4928 x 3280 Pixels,,,,Expeed 3,36 x 23.9 mm,CMOS,,,,,No,"Yes, hot shoe or PC sync","Auto FP High-speed sync, front-curtain sync, rear-curtain sync, redeye reduction,","Yes, Multi-Pattern, Center-Weighted, Spot",,,,,,,,,,,,,,,
"Canon EOS 1100D (EF-S 18-55 mm IS II + EF-S 55-250mm IS II) Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.5 (W) - F5.6 (T),Linear PCM,"Yes, Contrast Detect, Phase Detect, Multi-Area, Selective Single Point, Single, Continuous, Face Detection, Live View",12.2 MP,,18 - 55 mm & 55 - 250 mm,"JPEG, RAW, DPOF",No,100 - 6400,Canon EF / EF-S,Yes,1/4000 sec,30 sec,,"Focal Length Multiplier (1.6x), No. Of Focus Points (9), Lens peripheral illumination correction, Metering Range (EV 0 - 18), AF-Assist Beam","Yes, 10 sec (2 sec with mirror lock-up)","MOV, MPEG-4 AVC / H.264","Auto, Preset (Daylight, Shade, Cloudy, Tungsten light, White fluorescent light, Flash)","Yes, Primary (RGB) Color filter","Yes, 0.8 fps",Yes,"Yes, Manual, Dust Delete Data appended",Yes,"Yes, Mini HDMI, Type-C",3:2,,4272 x 2848 Pixels,"Yes, Built-in Stereo","Windows XP SP2, Windows XP SP3, Windows Vista, Windows XP SP1, Mac OS X v10.5 - Mac OS X v10.6",Yes,DIGIC 4,22.0 x 14.7 mm,CMOS,"Auto, Program AE (P), Shutter Priority AE, Aperture Priority AE, Manual (M), Auto Depth-of-field, Portrait, Landscape, Close-up, Sports, Night portrait, No Flash, Creative Auto","Yes, Analog Video Output (NTSC, PAL)",Yes,1280 x 720 pixels,,,,"Yes, Multi-segment, center-weighted, spot","Yes, 1/200 sec","Yes, Fixed Articulated LCD, Optical (pentamirror) Viewfinder, Magnification (0.8x), Coverage (95%), Live View, Eye Point (21 mm), Quick-return type Mirror",Yes,25,Yes,,,,,,,,,17 mm Ultra Wide-angle,
"Fujifilm FinePix X10 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.0 (W) - F/2.8 (T),,"Yes, TTL Contrast AF",12 MP,2x,7.1 - 28.4 mm (35 mm Equivalent to 28 - 112 mm),"JPEG (EXIF 2.2), RAW, RAW + JPEG","Yes, Lens-shift",100 - 12800,Fujinon 4x Optical Zoom Lens,Yes,1/4000 sec,1 / 4 sec,4x,,"Yes, 2 and 10 sec",H.264 (MOV),"Auto, Preset : Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light, Underwater, Custom, Color Temperature Selection","Yes, Primary (RGB) Color Filter","Yes, 10 fps",,,Yes,,"4:3, 3:2, 16:9, 1:1",Yes,4000 x 3000 Pixels,,,,,8.8 x 6.6 mm,EXR CMOS,"SP: Natural Light, Natural Light & Flash, Portrait, Portrait Enhancer, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Underwater; MODE DIAL: EXR, AUTO, P, S, A, M, C1, C2, Movie, SP, Adv",,,,Yes,Yes,"Red-eye Removal Off: Auto, Forced Flash, Suppressed Flash, Slow Sync, Red-eye Removal On: Red-eye Reduction Auto, Red-eye Reduction and Forced Flash, Suppressed Flash, Red-eye Reduction and Slow Sync",,,,Yes,35,,,,"0.3 m - 7 m (W), 0.5 m - 5 m (T)",,,,,,,
"Fujifilm FinePix HS35 EXR Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F2.8 (W) - F5.6 (T),,"Yes, Contrast Detect, Multi-Area, Center, Tracking, Single, Continuous, Face Detection",16.0 MP,2x 60x,4.2 - 126 mm (35 mm Equivalent to 24 - 720 mm),,"Yes, Sensor Shift Image Stabilization",100 - 12800,Fujinon 30x optical zoom lens,Yes,1/4000 sec,30 sec,30x,"Normal Focus Range (45 cm - Infinity(W), 300 cm - Infinity(T)), Lens Construction (11 Groups, 15 Lenses)","Yes, 2 or 10 sec, Auto release, Auto shutter (Dog, Cat","MPEG-4, H.264","White Balance Presets (1), Custom White Balance","Yes, Primary (RGB) Color Filter","Yes, 11 fps",Yes,,Yes,,,"Yes, 7 cm 300 cm (W), 200 cm 500 cm (T)",,,,,,,,,,,1920 x 1080 pixels at 30 fps,"Yes, Pop-Up","Yes, via Hot-shoe EF-42/EF-20","Auto, On, Off, Red-eye, Slow Sync","Yes, Multi-Pattern, Center-Weighted, Spot",,,Yes,,,,,"0.3 - 7.1 m (W), 2.0 - 3.8 m (T)",,,,,,,
"Fujifilm Instax Mini 8 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F12.7,,,,,60 mm,,,,Fujinon Lens,,1/60 sec,,0.37x,"Focus Range (0.6m - Infinity), Lens Construction (2 Components & 2 Elements)",,,,,,,,,,,,,,,,,,,"Indoors, Night, Cloudy, Shade, Sunny, Slightly cloudy, Sunny and bright (F32)",,,,,,,,,,,,,,,,,,,,,,
"Fujifilm FinePix S6800 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F3.1 (W) - F5.9 (T),,"Yes, Single, Continuous, Center, Tracking, Multi, Area, TTL contrast AF, AF assist illuminator",16.2 MP,2x,4.3 - 129 mm (35 mm Equivalent to 24 - 720 mm),JPEG (Exif Ver 2.3 ),"Yes, CMOS Shift Type",100 - 12800,Fujinon 30x Optical Zoom Lens,,1/2000 sec,0.25 sec,30x,"Lens Construction (11 groups, 15 Lenses), Normal Focus Range (15cm to infinity(W), 3.0m to infinity(T))","Yes, 10 sec. / 2 sec. Delay",AVI (Motion JPEG),"Fine, Shade, Fluorescent light (Daylight), Fluorescent light (Warm White), Fluorescent light (Cool White), Incandescent light, Custom","Yes, Primary (RGB) Color filter","Yes, High (8.0 fps (max. 10 frames)), Medium (5.0 fps (max. 10 frames)), Low (3.0 fps (max. 10 frames))",Yes,,Yes,,,"Yes, 5 cm 300 cm (W), 180 cm 300 cm (T)",,,,,,,,"Pro Low-Light, HDR, Zoom Bracketing, Natural Light & with Flash, Natural Light, Portrait, Baby, Smile, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text, Individual Shutter 3D, Mode Dial (SR AUTO, AUTO, SP1, SP2, Panorama, Custom, P, A, S, M).",,,1920 x 1080 pixels at 60 fps,Yes,No,"Red-eye removal OFF (Auto, Forced Flash, Suppressed Flash, Slow Synchro), Red-eye removal ON (Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro)","Yes, TTL 256-zone metering, Multi, Spot, Average",,,Yes,35,,,,"0.4 - 7.0 m (W), 2.5 - 3.6 m (T)",,,,,,,
"Fujifilm FinePix S8500 Price In India, Bangalore, Hyderabad, Delhi, Chennai, Mumbai, Pune, Kolkatta",F/2.9 (W) - F/6.5 (T),Linear PCM / Stereo Sound,"Yes, TTL Contrast AF",16 MP,,4.3 - 198 mm (35 mm Equivalent to 24 - 1104 mm),"JPEG, EXIF 2.3, DCF, DPOF, MPO",,100 - 12800,,,1/1700 sec,1/4 sec,46x,,"Yes, 2 and 10 sec",H.264 (MOV),"Automatic Scene Recognition, Preset (Fine, Shade, Fluorescent Light (Daylight), Fluorescent Light (Warm White), Fluorescent Light (Cool White), Incandescent Light, Custom)","Yes, Primary (RGB) Color Filter","Yes, 10 Frames at 10 fps (H), 10 Frames at 5 fps (M), 10 Frames at 3 fps (L)",,,Yes,,"4:3, 3:2, 16:9, 1:1","Yes, 30 cm 300 cm (W), 200 cm 300 cm (T)",4608 x 3456 Pixels,,,,,1/2.3 inch,CMOS,"SR Auto, Auto, Adv, Program, Shutter Priority, Aperture Priority, Manual, Custom, Panorama, SP (Portrait, Baby, Smile, Landscape, Sport, Night, Night (Tripod), Fireworks, Sunset, Snow, Beach, Party, Flower, Text)",,,1920 x 1080 pixels at 60 fps,,,,,,,Yes,35,,,122.6 (W) x 86.9 (H) x 116.2 (D) mm,,,,Advance Point and shoot,,"577 g (without Battery and Memory Card), 670 g (with Battery and Memory Card)",24 mm Wide-angle,
