3d mode,<page title>,age filter code,age range maximum,age range minimum,alaska hawaii 1 day upcharge or override,alaska hawaii 2 day upcharge or override,alaska hawaii ground upcharge or override,alaska hawaii upcharge or override,anti shake mode,aperture,assembled dimension width,assembled dimension width uom,bpp bucket,bpp eligible,bubble control,builtin memory,camera color,camera pixel count,camera style,can be giftwrapped,chamber in,channel availability,choke,color,compatible battery,continuous advance fps,corp national status,customer purchase limit,date 1st available online,depth inches,digital zoom,effective megapixel count,electronic flash,exposure modes,fits,flash,focus modes,freight class,fulfillment option,gauge,hazmat warning,hdmi mini,height inches,image format,interest,keyfeatures,lcd display size inches,lcd viewer,length in,lens,lower 48 1 day upcharge or override,lower 48 ground upcharge or override,lower 48 upcharge or override,lower48 2 day upcharge or override,manufacturer age range,manufacturer part number,manufacturers age range maximum,manufacturers age range minimum,megapixels,model,movie mode,notify me when available,optical zoom,outlet,payrunnercarteligible,play_type,power supply type,preschool,product demo url,registerable,removable memory type,scene modes,self timer,sensitivity,sensor,shutter speed,sku,skuprice,sound,specification,still image resolution max,still picture capture,storage media type,style,taxable,trackinglinkbaseurl,trackinglinkuri,tru age range,tru skn,type,usb port,video movie capture,voltage,weight pounds,white balance,width inches,camera type,interchangeable lens camera format,display screen,focus mode,internal memory,memory type,pictbridge,pixel count,resolution,select camera style,select media,standard warranty,compatible with macintosh,compatible with windows pc,manufacturers warranty hardware,optical viewfinder,screen size,analog audio video mini,card slot,digital slr,filterwide angle capability,hdmi,image stabilization,kit,lens mount,batteries,batteries required,battery quantity 1,battery type 1,etoys shoprunner eligible,faos shoprunner eligible,iship eligible,payrunnerpdeligible,primary_category,skills,trus shoprunner eligible,upceanisbn,accessory shoe,battery charger,viewfinder,microphone,speakers,text attribute 1,text attribute 2,text attribute 3,text attribute 4,text attribute 5,waterresistant,promo financing available,lcd size in,touch screen,ac adapter,batteries needed,35mm equivalent zoom ratio,exposure compensation,external flash,flash modes,macro focus,maximum aperture,records video,sgpmoviemode,sgpopticalzoom,sgpresolution,still image file formats,wifi mode,country of origin,countryornowool,focus distance,metering,print modes,storage media,tru age filter,video output,touch panel lcd,aspect ratio,boy girl,brand name,camera resolution,dimensions,effective resolution,image formats,interfacesports,lens type,manufacturer,manufacturer website address,product type,total resolution,viewfinder type,finish,weight,image stabilizer,shooting modes,shutter speed range,charger,face detection,espn shoprunner eligible,fog shoprunner eligible,team shoprunner eligible,tsa shoprunner eligible,hd video,wifi networking,hdmi version,price range,aperture range,battery life,battery type,depth,focal length,height,interface,width,waterproof,body only,safety warnings,remote control,aa batteries,copyright,display resolution,display screen type,product details,toddler,brand,select,batteries included,content complete,manual controls,35mm digital slr lenses fits,fits camera made by,lens coverage,lens series,battery,camera flash,dimensions wxdxh,display,expansion slots,exposure metering,focus adjustment,integrated memory,lens aperture,lens system,light sensitivity,maximum shutter speed,memory,min focus range,minimum shutter speed,optical sensor resolution,optical zoom measurement,product description,red eye reduction,sensor resolution,supported battery,supported flash memory,technology,timer,unique features,imaginarium,product dimensions,product weight,lamp life,lamp power,laptop accessory type
Stills only,(not Provided) | Nikon Coolpix S3300 Digital Camera - Black Reviews - Buzzillions.com,"050,060 050 070 050,060,070,080 040,050 080",120 60 168 84 300,84 36 144 60 180,99.99,79.99,59.44 40.9 70.77 77.86 73.6 69.99,F,Yes,f/3.3-6.5 f/3.5-5.9,0,IN,3781960,Yes,New,26MB 42MB,Pink Purple Red,16 Megapixel,Point & Shoot with Zoom Lens,Yes,3.0,Online Only,"Fixed Choke, Improved Cylinder Fully Rifled Rem Choke 2",Black White Blue,EN-EL19 EN-EL12,1.3 6.9,X A,4,26-JUN-11 13-MAY-12 27-JUL-11 25-MAY-10 10-MAY-11 27-JUN-11 27-SEP-12 28-JUL-11 29-AUG-11 30-AUG-11,0.8 1.3,4,16,Built-in,Program Auto,Nikon,Built-in,Auto Center AF Face Priority Focus lock Manual Subject tracking,ANY TRU_SHPG,"SP SP,ISP",12 20,N,Side Output,2.3 2.5,JPEG,Outdoors,"12 Ga. 3"" Chamber 21"" Cantilever Barrel Matte Finish Polished Blue Finish",2.7 3.0,2.7 Inch 3 Inch,18.5 20 21 23 28,Zoom Lens,39.99,18 24 24.96 12 15.99 31.12,F,29.99,7 years and up 5 years and up 5 - 7 years 12 years and up 15 years and up 5 - 12 years 5 - 15 years 3 - 12 years,CPS3300SLVTRU 98201 26611 26601 26311 26301 26201 24311 24301 23581 23461 23312 23311 22031 22021,84 300 180 144,84 60 36 180 144,16,Wingmaster&reg; Standard Contour Special Purpose Deer Special Purpose Premier Deer Express&reg; Deer Express Deer Cantilever w/Scope Cantilever,MPEG4 MOV AVI Motion JPEG 960 x 540 320 x 240 1920 x 1080 1280 x 720 640 x 480,Yes,6x 6 18x 18,Yes,Yes,Outdoor,Camera Batteries,Yes,http://www.youtube.com/watch?v=_6zaK3pzVys,Yes,Secure Digital SDXC SDHC,Party/Indoor Pet Portrait Scene Auto Selector Sports Sunset Landscape Food Fireworks Dusk/Dawn Copy Close-up Night Landscape Beach/Snow Back Light 3D Photo Museum Night portrait Panorama Assist,10 Seconds 2 Seconds,ISO 125-3200 ISO 80-3200,CCD CMOS,1/2000-1 sec.,182155 211170 211178 211179 211180 211186 211187 211188 211189 211191 211192 211193 211194 238935 238936 238951 250793 211195,109.9900 114.9900 129.9900 139.9900 159.9900 175.9900 189.9900 199.9900 349.9900 44.9900 59.9900 74.9900 99.9900,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,018208263158 22031 23241 23251 23311 23312 23461 23581 24301 24311 26201 26211 26301 26311 26681 26691 26770 26851,Y,http://www.beachaudio.com http://www.gandermountain.com http://www.meijer.com,/catalog/ /modperl/track.cgi?VPWRREV_401175+/modperl/product/details.cgi?r=view&i=401175&aID=503AH /modperl/track.cgi?VPWRREV_401216+/modperl/product/details.cgi?r=view&i=401216&aID=503AH /modperl/track.cgi?VPWRREV_402873+/modperl/product/details.cgi?r=view&i=402873&aID=503AH /modperl/track.cgi?VPWRREV_402876+/modperl/product/details.cgi?r=view&i=402876&aID=510J1I /modperl/track.cgi?VPWRREV_402877+/modperl/product/details.cgi?r=view&i=402877&aID=510J1I /modperl/track.cgi?VPWRREV_402879+/modperl/product/details.cgi?r=view&i=402879&aID=510J1I /modperl/track.cgi?VPWRREV_402880+/modperl/product/details.cgi?r=view&i=402880&aID=510J1I /modperl/track.cgi?VPWRREV_402884+/modperl/product/details.cgi?r=view&i=402884&aID=510J1I /modperl/track.cgi?VPWRREV_402885+/modperl/product/details.cgi?r=view&i=402885&aID=503AH /modperl/track.cgi?VPWRREV_402888+/modperl/product/details.cgi?r=view&i=402888&aID=510J1I /modperl/track.cgi?VPWRREV_402890+/modperl/product/details.cgi?r=view&i=402890&aID=510J1I /product_info.php?products_id=156015&src=pwr,12 - 14 years 15 years and up 3 - 5 years 5 - 10 years 5 - 7 years 7 years and up,173269 183382 183390 183420 183428 183536 217104 741364 741429 742061 742069 752238 769272 769780 840450,2 - 7 x 32 scope Cantilever Scope Mount Rifle Sight Ventilated Rib,Mini-B,1280x720 1920x1080,3.7 V DC,0.47,Flash Fluorescent Incandescent Manual Auto Cloudy Daylight,3.8 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,Nikon COOLPIX P330 Digital Camera (Black) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,12.1,,,,5x,,,,,,,,,,,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,Electronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Olympus FE-3010 12 Megapixels Digital Camera - Magenta Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176876 Orange,139.9900,,Description,,,,FE3010,Y,http://www.meijer.com http://www.beachaudio.com,/catalog/ /product_info.php?products_id=209616&src=pwr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Panasonic Camera Point And Shoot Ratings | Canon PowerShot ELPH 520 HS Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/3.4 - 5.6,,,,,,,Black,10 Megapixel,Point & Shoot with Zoom Lens,,,,,Red,NB-9L,,,,,0.76,4,10.1,Built-in,,,On Off Slow Synchro Auto Built-in,,,,,,Side Output,2.12,,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,10.0,,,,12x,,,,,,,,microSDXC microSDHC microSD,,,ISO 100-3200,CMOS,,240329 Black 250799,334.9900 299.9900,Yes,Description,3648 x 2736,Yes,Micro SDHC,CANPS520HS 013803146752,Y,http://www.meijer.com,/catalog/,,,,Mini-B,1920x1080,,,Tungsten Bulb Fluorescent Custom Daylight Auto Cloudy,3.43,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon D5100 16 Megapixel Digital SLR and Lens Kit 2 Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,16,13073,,,3x,,,,,,,,,,Yes,,CMOS,,,,Yes,Description,,Yes,SD - SDHC - SDXC,,,,,,,,,1920x1080,,,,,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Pentax K20D Digital SLR Camera Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,D-LI50,3,,,,2.76,,14.6,Built-in,Manual Program AE Exposure Bracketing Exposure Lock,,Built-in Off Slow Synchro Accepts External Flash On Red-Eye Reduction,Multi-Point AF Continuous Center AF Manual,,,,,,4,RAW JPEG,,,2.7,2.7 Inch,,Not Included,,,,,,,,,14.6,,,,,,,,,,,,Secure Digital SDHC,,Yes 12 Seconds 2 Seconds,ISO 100-3200,,1/400-30 sec.,153388,699.9900,,Description,4672 x 3104,Yes,Secure Digital (SD),19381,Y,http://www.beachaudio.com http://www.meijer.com,/product_info.php?products_id=138485&src=pwr /catalog/,,,,(1) USB 2.0 High Speed,,,1.57,Flash Tungsten Bulb Manual Fluorescent Shade Color Temperature Setting Cloudy Auto Daylight,5.6,,,,,,,Compatible,"15 Megapixel,14 Megapixel",150ft,Interchangeable Lens SLR's,,,Yes,Yes,1 Year,Yes,RJ-45,,,Body Only,,,Sensor-Shift Image Stabilization,,Pentax KAF Pentax KAF2 Pentax KA,,,,,,,,,,,,,,D-BC50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multi-segment Spot Center Weighted,PictBridge,RJ-45,,PAL NTSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canon EOS 70D DSLR Camera with 18-135mm STM f/3.5-5.6 Lens Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Inch,,,,,,,,,,,20 Megapixels,Canon 70D,,,,,,,,,,,,,,,CMOS,,,,,Description,,,,,,,,,,,,,,,,,DSLR Cameras,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,How To Upload Pix Micro Pictures | Digital Blue Disney Princess Pix Micro Digital Camera - Petals Reviews - Buzzillions.com,050,84,60,,,,,,,0,IN,3781960,Yes,,,,,,Yes,,,,,,,X A,5,31-AUG-10 14-AUG-09,,,,,,,,,ANY,"SP SP,ISP",,N,,,,,,,,,,,,,,6 years and up,DS24022 DS10045,300,72,,,,,,,,,,,,Yes,,,,,,,,,,Description,,,,,,,,5 - 7 years,476434 717261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 batteries are required (not included) 1 AAA batteries are required (not included),Yes,1,AAA,Yes,Yes,,,,,Yes,851244008297,,,,,,Easy to use-great starter camera.,Digital Camera holds up to 40 photos. Holds up to 40 photos.,Disney Pix Software allows you to edit your photos. Status LCD.,"VGA resolution. Package includes: Disney Pix Micro Digital Camera, Disney Pix software CD, USB Cable, Wrist Strap and Quick Start Guide.","Package includes: Disney Pix Photo Editing Software, wrist strap, USB cable and User Guide.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sony 16.1-Megapixel Alpha NEX-5N Digital Camera Body - Black Reviews | Buzzillions.com,,,,,,,,,,,,,,,,Black,16 Megapixel,Mirrorless Interchangeable Lens Cameras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Inch,,Not Included,,,,,,,,,16,NEX5NB,,,,,,,,,,,,,,,CMOS,,,,,Description,,Yes,Memory Stick Pro Duo / SDHC / SDXC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Panasonic LUMIX DMC-ZS19 Digital Camera, Black Reviews | Buzzillions.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 Megapixels,,,,,,,,,,,,,,,,,,250796,299.9900,,Description,,,,885170074354,Y,http://www.meijer.com,/catalog/,,,,,,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodak M552 | Kodak EasyShare M552 Digital Camera (Gray) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Orange Gray Black Blue,14 Megapixel,Point & Shoot with Zoom Lens,,,,,,,,,,,,5x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,14,,,,5x,,,,,,,,,,Yes,,CCD,,,,Yes,Description,,Yes,SD - SDHC,,,,,,,,,1280x720,,,,,,,"2.7""",Auto,32 MB,Secure Digital (SD) Card,Compatible,,14 Megapixel,,,1 Year,,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reviews On Kodak C180 | Kodak C180 10.2MP Digital Camera - Reviews - Buzzillions.com,,,,,,,,,,,,,,,,Teal,,,,,,,Silver,,,,,,,5x,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,10.2,0004177109043,,,3x 5x,,,,,,,,,,,,,,163137 SILVER 175032,99.9900,Yes,Description,,Yes,SD Secure Digital or MMC Multimedia Card Secure Digital (SD),820852 2402658xx,Y,http://www.beachaudio.com http://www.meijer.com,/catalog/ /product_info.php?products_id=270913&src=pwr,,,,,VGA - Up to 640x480,,,,,,,"2.4""",Auto Focus,16MB,Secure Digital (SD) Card,Compatible,10 Megapixel,10.2Megapixel,Point & Shoot with Zoom Lens,,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fotos Com Cannon A3000is | Canon PowerShot A3000 IS Digital Camera Reviews - Buzzillions.com,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,4x,,Built-in,,,,,,,,,,,,,,,2.7 Inch,,Zoom Lens,,,,,,,,,10.0,4254B001,,,4x,,,,,,,,,,,,,,180144 174996,99.0000 149.9900,,Description,,Yes,Secure Digital (SD),A3000 XXCANPSA3000IS,Y,http://www.meijer.com,/catalog/,,,,,,,,,,,,"2.70""",Auto-focus,,MMCplus,,10 Megapixel,10 Megapixel,Point & Shoot with Zoom Lens,,1 Year Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,"(not Provided) | Panasonic Lumix DMC-TS5 Digital Camera, Blue Reviews - Buzzillions.com",,,,,,,,Yes,,,,,,,,,,,,,,,Red Orange,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch 2.7 Inch,,Zoom Lens,,,,,,,,,16 Megapixels,,,,4x,,,,,,,,,,,,CCD CMOS,,318802 Orange 318801 Red 280892,399.9900 179.9900,Yes,Description,,Yes,SD - SDHC - SDXC,QZ4519202122 QZ45161718 885170117013,Y,http://www.meijer.com,/catalog/,,,,,1280x720 1920x1080,,,,,Point & Shoot with Zoom Lens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samsung 20.3Mp NX20 Mirrorless Wi-Fi Digital Camera with 18-55mm Lens (Black) Reviews | Buzzillions.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 Megapixels,Samsung NX20,,,,,,,,,,,,,,,,,,,,Description,,,,,,,,,,,,,,,,,Compact System / Mirrorless Cameras,APS-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Ready,"Olympus SZ-30MR Digital Camera, 16 Megapixels, 24x Zoom Lens, 3.0 inch LCD Monitor, Full 1080p HD Movie, Wi-Fi Compatibility, Silver Reviews | Buzzillions.com",,,,,,,,Yes,f/3.0-6.9,,,,,,,,16 Megapixel,Point & Shoot with Zoom Lens,,,,,,LI-50B,1.7,,,,1.6,4x 4,,Built-in,,,Off Fill Built-in with Red Eye Reducer Auto,Spot Face Detection ESP Auto AF Tracking,,,,,Yes,2.7,JPEG,,,3.0,3 Inch,,Zoom Lens,,,,,,,,,16,228825,720p 180p 360p MPEG4 1080p,,24 24x,,,,,,,,Secure Digital SDHC SDXC,Handheld Twilight Beach/Snow Sports Night Scene Night portrait Self-Portrait Indoor Sunset Cuisine Landscape Fireworks Beauty Documents Portrait Pet,Yes 12 Seconds 2 Seconds,ISO 80-3200,CMOS,1/1700 sec.,,,Yes,Description,4608 x 3456,Yes,SD - SDHC - SDXC,,,,,,,,Mini-B,1920x1080,,0.5,Fluorescent Presets Tungsten Bulb Overcast Daylight Auto,4.2,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,,,,Dual Image Stabilization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F-2AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eye-Fi Card (Optional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(not Provided) | Kodak EasyShare Max Z990 12MP Digital Camera (Black) Reviews - Buzzillions.com,,,,,,,,Yes,,,,,,,,Black,12 Megapixel,Fixed Lens DSLR's,,,,,,,,,,,,5x 4x,,Built-in,,,,,,,,,,,,,,,3 Inch,,Zoom Lens,,,,,,,,,12.0,0004177177366,,,30x,,,,,,,,,,Yes,,,,,,Yes,Description,,Yes,SD - SDHC,,,,,,,,,1920x1080,,,,,,,"3""",Auto,128 MB,Secure Digital (SD) Card,Compatible,,12 Megapixel,,,1 Year,Yes,Yes,1 Year,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pentax K-7 SLR Digital Camera (Body Only) Reviews | Buzzillions.com,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Built-in,,,,,,,,,,,,,,,3 Inch,,Not Included,,,,,,,,,14.6,,,,,,,,,,,,,,Yes,,,,158715,1299.9500,Yes,Description,,Yes,Secure Digital (SD),17811,Y,http://www.meijer.com,/catalog/,,,,,1280x720,,,,,,,,,,,Compatible,"15 Megapixel,14 Megapixel",,Interchangeable Lens SLR's,,,Yes,Yes,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nikon CoolPix S1000pj Digital Camera with Built-in Projector Reviews | Buzzillions.com,,,,,,,,Yes,f/3.9-5.9,,,,,,36MB 32MB,Black,,,,,,,Black,EN-EL12 XtraPower EN-EL12,,,,,0.9,4x 4,12.1,Built-in,,,Built-in,,,,,,,2.5,,,,2.7,2.7 Inch,,Zoom Lens,,,,,,,,,12.1,0001820826186,Movie with sound,,5x 5,,,,,,,,Secure Digital SDHC,,,ISO 80-6400,,,165329,521.9900,,Description,"4,000 x 3,000",Yes,Secure Digital (SD),NKNS1000PJ,Y,http://www.meijer.com,/catalog/,,,,Mini-B,VGA - Up to 640x480,,.34,,4.0,,,"2.7""",Auto-focus,36MB,Secure Digital (SD) Card,,12 Megapixel,121Megapixel,Point & Shoot with Zoom Lens,,1 Year Limited,,,,,,,Secure Digital SDHC,,,,Hybrid - Combination lens shift VR and digital processing,,,,,,,,,,,,,,,,MH-65,,,,,,,,,,,,,EH-62F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slt A35 | Sony SLT-A35 Alpha 35 DSLR Digital Camera With 18-55mm Zoom Lens Reviews - Buzzillions.com,,,,,,,,Yes,f/3.5 - 5.6,,,,,,,Black,16 Megapixel,DSLR Cameras,,,,,,NP-FW50,5.5,,,,3.3,,16.2,Built-in,Sweep Panorama Program Auto Continuous Auto Aperture-Priority AE Shutter-Priority AE Manual Auto Advanced,,"Auto Rear Sync Slow Sync Fill Built-In, Auto pop-up flash Red-Eye Reduction Hi-speed Sync",Continuous AF Wide Area Auto selectable AF Spot 15 points (3 points cross type) Single-shot AF Predictive Focus Focus lock,,,,,Side Output,3.6,JPEG RAW,,,3.0,3 Inch,,Not Included,,,,,,,,,16,0002724282573,,,,,,,,,,,Secure Digital SDXC Memory Stick Pro Memory Stick PRO HG-Duo,Sunset Landscape Portrait Night View Night portrait Macro Sports Handheld Twilight,10 Seconds Yes 2 Seconds,ISO 100-25600,CMOS,1/4000 - 30,,,Yes,Description,4912 x 3264,Yes,Memory Stick Pro Duo / SDHC / SDXC,,,,,,,,Mini-B USB 2.0 High Speed,1920x1080,,1.2,Daylight Custom Shade Color Temperature Setting Cloudy Auto Incandescent Fluorescent Flash,4.9,,,,,,,Compatible,,,,,,Yes,Yes,1 Year,,,,,Body With Lens,55mm,,SteadyShot INSIDE,,Sony Alpha Mount,,,,,,,,,,,,,Yes,,,Stereo,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stills only,(not Provided) | Panasonic 14.1 MP Lumix Digital Camera Reviews - Buzzillions.com,,,,,,,,Yes,f/3.3-5.9,,,,,,18MB,Red Blue Silver Black,14 Megapixel,Point & Shoot with Zoom Lens,,,,,Black Red,DMW-BCG10 XtraPower ProMaster DMW-BCG10,,,,,1.31,4x 4,14.1,Built-in,Manual Aperture-Priority AE Program AE Shutter-Priority AE,,Auto Off On Forced Flash Built-in with Red Eye Reducer,Continuous AF Tracking AF AF (Auto Focus) Illuminator Touch AF/AE Macro Zoom Macro Normal Quick AF,,,,,Yes,2.27,JPEG,,,3.0,2.7 Inch 3 Inch,,Zoom Lens,,,,,,,,,14,0088517003320,320x240 1920 x 1080 640 x 480,,4x 16x 16,,,,,,,,Secure Digital SDXC SDHC,Panorama Assist Transform Soft Skin Sunset Night portrait Night Scenery High Sensitivity Handheld Night Scene Pet Food Sports Flash Burst Fireworks Dusk/Dawn Candle Baby Self-Portrait Scenery Party Portrait Starry Sky,2 Seconds 10 Seconds,ISO 1600-6400,CCD,60-1/4000,214729,399.9900,Yes,Description,4320x3240,Yes,SD - SDHC - SDXC,PANDMCZS10BLACK,Y,http://www.meijer.com,/catalog/,,,,USB 2.0,1280x720 1920x1080,,0.48,,4.13,,,"3""",Auto,18 MB,Secure Digital (SD) Card,Compatible,,14.1 Megapixel,,,1 Year Limited,,,,,,,SDXC SDHC Secure Digital,,,,Power O.I.S.,,,,,,,,,,,,,,,,,,Built-in Stereo,Built-in Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
