<page title>,camera type,color,display size,flash type,megapixels,optical sensor size,optical sensor type,returns policy,shooting modes,warranty labor,warranty parts,35mm equivalent focal length max,35mm equivalent focal length min,optical viewfinder type,contents,portsconnectors,power notes,actual weight,memory notes,physical dimensions,warranty details,audio input type,battery technology,digital video format,display form factor,display technology,flash memory form factor,light sensitivity,red eye reduction,shutter speed,still image format,video input type,battery run time max,digital zoom,optical zoom,focal length max,focal length min,special effects,compatibility notes,lens aperture,storage capacity,weight
"Buy Nikon COOLPIX AW120 Waterproof Digital Camera, 16MP, 5X Zoom, Cameras - Digital - Point & Shoot 26465 today at PC Connection",Compact,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn/Dusk Back light Close-up Snow Beach Party/Indoor Sunset Pet portrait Food Panorama assist Night Portrait Night landscape Underwater Museum Fireworks Show Black and white copy Landscape,Call for Warranty,Call for Warranty,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax WG-4 Digital Camera, 16MP, 4X Zoom, Lime Yellow Cameras - Digital - Point & Shoot 8587 today at PC Connection",Compact,,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Food Digital microscope Fireworks Show Dynamic Range (HDR) Handheld night shot Surf & Snow Underwater Digital IS Children Report Underwater movie Macro Sports Portrait Pet Flower Night scene Night Portrait,Call for Warranty,Call for Warranty,100.00 mm,25.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K-S1 Camera, Black, with Zoom Lens Kit Cameras - Digital - SLR 6436 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy General Electric Consumer A950 Digital Camera, 9.1MP, 5x Zoom, Cameras - Digital - Point & Shoot A950-RD today at PC Connection",Compact,Red,2.5 in,Built-in flash,9.1 megapixel(s),,CCD,This product is subject to our return policy. Please see our complete return policy for details.,,N/A,N/A,175.00 mm,35.00 mm,,,,,,,,,Microphone,,,,,,,,,,,,,,,,,,,,
"Buy Nikon Coolpix P7800 Black 12.2MP 3"" LCD Cameras - Digital - Point & Shoot 26427 today at PC Connection",Compact,Black,3 in,Pop-up flash,12.2 megapixel(s),"1/1.7""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Fireworks Show Dawn/Dusk Back light Landscape Black and white copy Sunset Beach Panorama assist Close-up Pet portrait Food Night landscape Party/Indoor Night Portrait Snow Portrait Sports Museum,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sakar VS536 Digital Camera, 16.1MP, 3.3x Zoom, Black Cameras - Digital - Point & Shoot VS536-BLACK today at PC Connection",Compact,Black,2.4 in,Built-in flash,16 megapixel(s),,,,,1 Year,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K50 Digital SLR Camera 16MP, Black (Body Only) Cameras - Digital - SLR 10883 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,16.3 megapixel(s),15.7 x 23.7mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight silhouette Sunset Food Night Portrait Stage Landscape Surf & Snow Children Night scene Pet Macro Museum Candle Forest Night snapshot Portrait Blue sky Moving object Night scene HDR,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D5200 Digital SLR Camera, Black (Body Only) Cameras - Digital - SLR 1501 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,24.1 megapixel(s),15.6 x 23.6mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Party/Indoor Beach/snow Autumn color Night Portrait Blossom Portrait Pet portrait Sports Close-up Sunset Candle Children Food Night landscape Dawn/Dusk Landscape,1 Year,1 Year,,,Eye-level pentamirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon COOLPIX AW120 Waterproof Digital Camera, 5X Zoom, Cameras - Digital - Point & Shoot 26468 today at PC Connection",Compact,Camouflage,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn/Dusk Beach Fireworks Show Close-up Snow Night Portrait Black and white copy Night landscape Underwater Museum Landscape Food Back light Panorama assist Sunset Pet portrait Party/Indoor,Call for Warranty,Call for Warranty,120.00 mm,24.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D5200 DX-format Digital SLR Kit with 18-55mm Lens, Red Cameras - Digital - Point & Shoot 1507 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D3200 Digital SLR Camera with AF-S DX NIKKOR 18-55mm Lens Cameras - Digital - SLR 25492 today at PC Connection,SLR camera,Black,3 in,Pop-up flash,24.2 megapixel(s),15.4 x 23.2mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Landscape Sports Close-up Children Portrait,Call for Warranty,Call for Warranty,82.50 mm,27.00 mm,Eye-level penta-dach mirror,"Camera Body, 18-55mm Lens, Rechargable Battery, Quick Charger, A/V Cable, USB Cable, Rubber Eyecap, Camera Strap, Eyepiece Cup, Body Cap, Shoe Cover, Software, Documentation",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Cyber-shot Digital Camera HX50V, 20.4MP, Black Cameras - Digital - Point & Shoot DSCHX50V/B today at PC Connection",Compact,Black,3 in,Pop-up flash,20.4 megapixel(s),"1/2.3""",Exmor R CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Snow Fireworks Show Gourmet Handheld twilight Soft skin Night Portrait Beach Advanced sports Softsnap High Sensitivity Anti-motion blur Pet Landscape Night scene Backlight correction HDR,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K-S1 Camera, Blue, with Zoom Lens Kit Cameras - Digital - SLR 6505 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D5300 DX-Format Digital SLR Body - Grey Cameras - Digital - SLR 1521 today at PC Connection,SLR camera,Gray,3.2 in,Built-in flash,24.2 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Beach/snow Portrait Night landscape Close-up Sunset Sports Children Party/Indoor Candle Pet portrait Blossom Food Autumn color Dawn/Dusk Landscape Night Portrait,Call for Warranty,Call for Warranty,,,Eye-level pentamirror,"Camera, Documentation","SD card slot
Type C mini-pin HDMI connector
Hi-speed USB
Stereo Microphone Input","One EN-EL14a Rechargeable Li-ion Battery or EN-EL14 Rechargeable Li-ion Battery
Battery Life (shots per charge) 600 shots (CIPA)",1.06 lb(s),,"3.9""h x 4.9""w x 3.0""d",,,Lithium ion,MOV MPEG-4 H.264,Built-in,LCD TFT,SDHC Card SD Card SDXC Card,ISO 100,Yes,1 - 1/4000,RAW JPEG,Digital camera,,,,,,,,,,
"Buy Sony Cyber-shot DSC-H300 Digital Camera, 20.1MP, 35x Zoom, Black Cameras - Digital - Point & Shoot DSCH300/B today at PC Connection",Compact,Black,3 in,Pop-up flash,20.1 megapixel(s),"1/2.3""",Super HAD CCD,"Due to manufacturer restrictions, all sales on this item are final.",High Sensitivity Softsnap Snow Night scene Landscape Soft skin Beach Night Portrait Fireworks Show Gourmet Pet,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,175 minute(s),,,,,,,,,
Buy Nikon D5300 DX-Format Digital SLR Body only - Black Cameras - Digital - SLR 1519 today at PC Connection,SLR camera,Black,3.2 in,Built-in flash,24.2 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Candle Blossom Beach/snow Sunset Sports Portrait Pet portrait Autumn color Party/Indoor Night Portrait Night landscape Food Landscape Dawn/Dusk Children Close-up,Call for Warranty,Call for Warranty,,,Eye-level pentamirror,"Camera, documentation","SD card slot
Type C mini-pin HDMI connector
Hi-speed USB
Stereo Microphone Input","One EN-EL14a Rechargeable Li-ion Battery or EN-EL14 Rechargeable Li-ion Battery
Battery Life (shots per charge) 600 shots (CIPA)",1.10 lb(s),,"3.9""h x 4.9""w x 3.0""d",,,Lithium ion,H.264 MOV MPEG-4,Built-in,TFT LCD,SDXC Card SD Card SDHC Card,ISO 100,Yes,1 - 1/4000,JPEG RAW,Digital camera,600 image(s),,,,,,,,,
Buy Pentax QS102 Camera with Zoom Lens Kit Cameras - Digital - Point & Shoot 6074 today at PC Connection,,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D5200 Digital SLR Camera with 18-55mm Lens, Black Cameras - Digital - SLR 1503 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,24.1 megapixel(s),15.6 x 23.6mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Dawn/Dusk Close-up Children Sports Pet portrait Blossom Landscape Portrait Candle Food Beach/snow Party/Indoor Night landscape Sunset Night Portrait Autumn color,1 Year,1 Year,82.50 mm,27.00 mm,Eye-level pentamirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Fujifilm FinePix JX660 Camera, 16MP, 5X Zoom, Black Cameras - Digital - Point & Shoot 16291015 today at PC Connection",Compact,Black,3 in,Built-in flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Snow Panorama assist Sunset Smile shutter Fireworks Show Night (tripod) Baby Text Beach Landscape Sports Flower Individual shutter 3D Natural Light Party/Indoor,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax K-S1 Camera, White, with Zoom Lens Kit Cameras - Digital - SLR 6471 today at PC Connection",,,,,,,,This product is subject to our return policy. Please see our complete return policy for details.,,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Pentax Q10 Compact Digital Interchangable Lens Camera, 12.4MP, 5 Cameras - Digital - SLR 12161 today at PC Connection",Mirrorless system,Silver,3 in,Pop-up flash,12.4 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Backlight silhouette Children Blue sky Museum Macro Candle Food Night scene Landscape Night Portrait Quick macro Stage Pet Portrait Sunset Night snapshot Forest Surf & Snow Night scene HDR Moving object,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon D3300 DSLR Camera, Black with 18-55mm Lens Cameras - Digital - SLR 1532 today at PC Connection",SLR camera,Black,3 in,Pop-up flash,24.2 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Sports Landscape Panorama assist Night Portrait Children Close-up Portrait,Call for Warranty,Call for Warranty,82.50 mm,27.00 mm,Eye-level pentamirror,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Nikon J3 Interchangable Lens Digital Camera, 14.2MP, Black with Cameras - Digital - SLR 27657 today at PC Connection",Mirrorless system,Black,3 in,Pop-up flash,14.2 megapixel(s),13.2 x 8.8mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Portrait Night landscape Night Portrait Landscape Close-up,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Panasonic Lumix DMC-TS5 Tough Digital Camera, 16.1MP, 9.3x Zoom, Cameras - Digital - Point & Shoot DMC-TS5S today at PC Connection",Compact,Silver,3 in,Built-in flash,16.1 megapixel(s),"1/2.33""",CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Sunset Baby2 Behind glass Baby1 Starry sky Night Portrait Handheld night shot Night scene Pet Dynamic Range (HDR) Scenery Soft skin Portrait High Sensitivity Food,1 Year,1 Year,128 mm,28 mm,,"Panasonic DMC-TS5S Tough Camera, Battery Pack, Battery Charger, AC Cable, USB Cable, Hand Strap, CD-ROM, Documentation",,Li-ion Battery Pack (3.6V / 1250mAh / 4.5Wh),0.47 lb(s),"10MB
SD / SDHC / SDXC Memory Card","2.65h x 4.30""w x 1.1""d",,,Lithium ion,AVCHD,Built-in,LCD,,ISO 1600 ISO 800 ISO 400 Auto mode ISO 200 ISO 3200 ISO 100,Yes,,JPEG,Digital camera,370 image(s),4 X,4.6 X,,,,,,,
"Buy Panasonic DMC-LX7 Digital Camera, 10.1MP, 7.5x Zoom, Black Cameras - Digital - Point & Shoot DMC-LX7K today at PC Connection",Compact,Black,3 in,Pop-up flash,10.1 megapixel(s),"1/1.7""",MOS,This product is subject to our return policy. Please see our complete return policy for details.,Baby2 Soft skin Multiple exposure Baby1 Handheld night shot Dynamic Range (HDR) Scenery 3D image Panorama assist Sports Sunset Portrait Pet Night Portrait Night scene Food,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D610 FX-Format Digital SLR Body                            Cameras - Digital - SLR 1540 today at PC Connection,SLR camera,Black,3.2 in,Pop-up flash,24.3 megapixel(s),24 x 35.9mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Landscape Portrait,Call for Warranty,Call for Warranty,,,Eye-Level Penta Prism,"Camera Body, Documentation","SD card slot
Type C mini-pin HDMI connector
Headphone Connector
Hi-speed USB
Stereo Microphone Input","EN-EL15 Lithium-ion Battery
Battery Life (shots per charge): 900 shots (CIPA)",1.70 lb(s),,"4.4""h x 5.6""w x 3.2""d",,,Lithium ion,MPEG-4 H.264,Built-in,TFT LCD,SD Card SDXC Card SDHC Card,ISO 50 ISO 100 ISO 6400,Yes,1 - 1/4000,JPEG,Digital camera,,,,35.9 badge(s),24 badge(s),Neutral Vivid,,,,
"Buy Nikon COOLPIX A Digital Camera, 16.2MP, Black Cameras - Digital - Point & Shoot 26423 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.2 megapixel(s),15.6 x 23.6mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Autumn color Silhouette Low key Night landscape High key Pet portrait Blossom Sunset Sports Beach/snow Portrait Party/Indoor Children Close-up Dawn/Dusk Food Landscape Night Portrait Candle,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony Alpha SLT-A58K Digital SLR Camera, 20.1MP with 18-55mm Lens Cameras - Digital - SLR SLTA58K today at PC Connection",SLR camera,,2.7 in,Pop-up flash,20.1 megapixel(s),15.6 x 23.5mm,Exmor APS HD CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Portrait Macro Sunset Sports Night Portrait Landscape Handheld twilight Night view,90 Days,1 Year,82.50 mm,27.00 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Nikon D5300 DX-Format Digital SLR with 18-140mm VR Lens - Black Cameras - Digital - SLR 13303 today at PC Connection,SLR camera,Black,3.2 in,Built-in flash,24.2 megapixel(s),15.6 x 23.5mm,CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Night Portrait Dawn/Dusk Blossom Party/Indoor Autumn color Close-up Candle Children Sunset Landscape Sports Food Portrait Night landscape Pet portrait Beach/snow,Call for Warranty,Call for Warranty,,,Eye-level pentamirror,"Camera, documentation","SD card slot
Type C mini-pin HDMI connector
Hi-speed USB
Stereo Microphone Input","One EN-EL14a Rechargeable Li-ion Battery or EN-EL14 Rechargeable Li-ion Battery
Battery Life (shots per charge) 600 shots (CIPA)",1.06 lb(s),,"3.9""h x 4.9""w x 3.0""d",,,Lithium ion,H.264 MPEG-4,Built-in,TFT LCD,SDXC Card SD Card SDHC Card,ISO 100,Yes,1 - 1/4000,RAW JPEG,Digital camera,600 image(s),,,,,,,,,
"Buy Nikon COOLPIX P530 Digital Camera, 42X Zoom, Black Cameras - Digital - Point & Shoot 26464 today at PC Connection",Compact,Black,3 in,Pop-up flash,16.1 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Bird watching Party/Indoor Landscape Snow Sports Night Portrait Sunset Multiple exposure Pet portrait Museum Portrait Night landscape Macro Moon Fireworks Show Food Black and white copy Dawn/Dusk Panorama assist Back light Close-up Beach,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Sony DSCW830 Digital Camera, 20.1MP, 8x Zoom, Black Cameras - Digital - Point & Shoot DSCW830/B today at PC Connection",Compact,Black,2.7 in,Built-in flash,20.1 megapixel(s),"1/2.3""",Super HAD CCD,"Due to manufacturer restrictions, all sales on this item are final.",Gourmet Softsnap Landscape Soft skin Fireworks Show Pet Snow Night scene Beach Night Portrait High Sensitivity,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buy Sony Alpha NEX-5T Camera Body Cameras - Digital - SLR NEX5T/B today at PC Connection,Mirrorless system,Black,3 in,Detachable flash,16.1 megapixel(s),15.6 x 23.5mm,Exmor APS HD CMOS,"Due to manufacturer restrictions, all sales on this item are final.",Night Portrait Portrait Macro Sunset Night view Sports Anti-motion blur Handheld twilight Landscape,Call for Warranty,Call for Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buy Canon PowerShot SX170 IS, Red Cameras - Digital - Point & Shoot 8676B001 today at PC Connection",Compact,Red,3 in,Pop-up flash,16 megapixel(s),"1/2.3""",CCD,This product is subject to our return policy. Please see our complete return policy for details.,Snow Fireworks Show Portrait Discreet Self Portrait + Self Timer Low light,Call for Warranty,Call for Warranty,448 mm,28 mm,,"PowerShot SX170 IS Digital Camera
Battery Pack NB-6LH
Battery Charger CB-2LY
Wrist Strap WS-800","Video Out:
NTSC/PAL (dedicated connector (female) with unified type of digital, audio and video)
Audio Out:
Stereo (dedicated connector (female) with unified type of digital, audio and video)
Other:
SD memory card slot; direct connection to Canon SELPHY, PIXMA Photo Printers & PictBridge compatible printers","Power Source:
Battery Pack NB-6LH, AC Adapter Kit ACK-40",8.04 lb(s),,"4.25""w x 2.80""h x 1.73""d",,,Alkaline,HDV720p,Built-in,LCD,,Auto mode ISO 100 ISO 1600,,15-1/3200 1 - 1/3200,JPEG,,,4 X,64 X,80 mm,5 mm,,"Storage Media: SD Memory Card, SDHC Memory Card, SDXC Memory Card
File Format: Design rule for Camera File System, DPOF (Version 1.1) compliant",F/3.5,32 GB,
"Buy Canon PowerShot ELPH 340 HS, Silver Cameras - Digital - Point & Shoot 9347B001 today at PC Connection",Point & Shoot camera,Silver,3 in,Built-in flash,16 megapixel(s),"1/2.3""",BSI-CMOS,This product is subject to our return policy. Please see our complete return policy for details.,Auto mode Super vivid Creative shot Low light Miniature effect Snow Toy camera effect Fisheye effect Portrait Poster effect Handheld night shot Smart shutter,1 Year,1 Year,300 mm,25 mm,,"camera, battery pack, battery charger, wrist strap, documentation","(1) Micro HDMI
(1) USB 2.0",NB-11LH Lithium Ion Battery,5.20 oz,,"2.3""h x 3.9""w x 0.9""d",,,Lithium ion,,,LCD,SDXC Card SDHC Card SD Card,,,15 - 1/2000 1 - 1/2000,,,,4 X,12 X,54 mm,4.5 mm,Black & White Sepia Vivid Neutral,"12x Optical Zoom helps ensure outstanding optical performance and versatility.
Built-in Wi-Fi allows wireless transferring of images and video to compatible mobile devices, select social networking sites and your Wi-Fi enabled computer, and lets you remotely shoot using your smartphone or tablet.
For easier Wi-Fi connectivity, built-in NFC (Near Field Communication) allows quick and simple pairing to a compatible Android device.
Creative Shot mode uses composition, color and lighting from your original image to create unique images with an artistic flair.
16.0 Megapixel High-Sensitivity CMOS sensor combined with the DIGIC 4+ Image Processor creates the Canon HS SYSTEM, which helps provide excellent low-light performance.
Capture stunning 1080p Full HD video with a dedicated movie button.
The convenient Mobile Device Connect Button allows you to connect to your compatible Android or iOS device for quick and easy sharing.
Hybrid Auto records quick video clips before each still and compiles them together to make a short highlight reel.
Smart AUTO intelligently selects the proper camera settings based on 32 predefined shooting situations.",,,
