<page title>,camera type,deal first added on,ean13,last updated,lcd screen size,manufacturer,megapixels,optical zoom,product name,product number mpn,retail price,upc,dimensions,ean14,weight,manufactured in,megapixel range,redeye reduction,feature
Canon PowerShot A460 5.0MP Digital Camera on sale for $120.98,,10-April-2007,0013803075892,09-October-2014,,Canon,,,Canon PowerShot A460 5.0MP Digital Camera with 4x Optical Zoom (Silver),1778B001,$229.95,013803075892,,00013803075892,2 lbs.,,6.0 - 6.9 Megapixels,,
Canon Powershot A3300 16MP Digital Camera on sale for $199.00,Point-and-Shoot,11-February-2013,0013803134667,09-October-2014,,Canon,,,Canon Powershot A3300 16MP Digital Camera with 5x Zoom (Black),5035B001,$159.00,013803134667,,,,,,,
Nikon Coolpix S01 10.1MP Digital Camera on sale for $59.98,Point-and-Shoot,9-December-2012,0018208263493,10-October-2014,,Nikon,,,Nikon Coolpix S01 10.1MP Digital Camera with 3x Zoom (White),,$179.00,018208263493,,,,,,,
Canon EOS Digital Rebel T3i 18MP SLR on sale for $729.00,,27-July-2012,0609728170592,09-October-2014,,Canon,,,Canon EOS Digital Rebel T3i 18MP SLR Camera with 18-55mm & 75-300mm Lens Kit,EOS_Rebel_T3i,$1199.92,609728170592,,,,,,,
Pentax Optio S50 5MP Digital Camera on sale for $206.80,,,,,,Pentax,,,Pentax Optio S50 5MP Digital Camera with 3x Optical Zoom,B0002XNT7G,$299.99,027075086661,,,1.5 lbs.,,,,
Canon PowerShot SD1300 IS Digital Elph on sale for $187.98,,25-March-2010,0013803119534,09-October-2014,,Canon,12.1 MP,4 x,Canon PowerShot SD1300 IS Digital Elph 12.1MP Camera with 4x Wide Angle O.I.S Zoom (Silver),SD1300IS Silver,$249.99,013803119534,,00013803119534,,,,,
Leica D-LUX 5 10.1MP Compact Digital on sale for $983.99,Point-and-Shoot,16-February-2012,4022243181519,09-October-2014,,Leica Camera,,,Leica D-LUX 5 10.1MP Compact Digital Camera with Super-Fast f/2.0 3.8x O.I.S. Zoom Lens,,$799.00,799429181512,,,,,,,
Nikon D40 6.1MP Digital SLR Camera Kit on sale for $459.00,SLR,1-March-2007,0018208254200,09-October-2014,2.5 inches,Nikon,6.1 MP,3 x,Nikon D40 6.1MP Digital SLR Camera Kit with 18-55mm f/3.5-5.6G ED II AF-S DX Zoom-Nikkor Lens,,$749.00,018208254200 018208254163,5 x 2.5 x 3.7 in.,00018208254200,4 lbs.,,,Yes,
Polaroid Z2300 10MP Digital Instant Print on sale for $178.00,Instant,18-December-2012,0815361016542,10-October-2014,,Polaroid,,,Polaroid Z2300 10MP Digital Instant Print Camera (White),Z 2300,$299.99,815361016542,,,,,,,
Fujifilm FinePix S4200 Digital Camera on sale for $495.43,,3-May-2012,,09-October-2014,,Fuji Photo Film,,,Fujifilm FinePix S4200 Digital Camera with 24x Zoom,,$279.99,,,,,,,,
Sony Cybershot DSCT300/B 10.1MP Digital on sale for $449.45,,6-April-2008,0027242726765,09-October-2014,,Sony,,,Sony Cybershot DSCT300/B 10.1MP Digital Camera with 5x Optical Zoom with Super Steady Shot (Black),DSCT300/B,$499.99,027242726765,7.3 x 6.6 x 2.2 in.,,7 lbs.,,10.0 - 10.9 Megapixels,,
Olympus SP-800UZ 14MP Digital Camera on sale for $197.98,Point-and-Shoot,18-June-2010,0050332173583,09-October-2014,3 inches,Olympus,14 MP,30 x,Olympus SP-800UZ 14MP Digital Camera with 30x Wide Angle Dual IS Zoom,SP-800UZ,$399.99,050332173583,,00050332173583,,,,Yes,
Sony Alpha NEX-7 Interchangeable Lens on sale for $1198.00,,11-December-2013,0662425833566,09-October-2014,,Sony,,,Sony Alpha NEX-7 Interchangeable Lens Digital Camera (Body Only) Package 1,,,662425833566,,,,,,,
Kodak EasyShare C300 3MP Digital Camera on sale for $159.99,,8-June-2005,0041778891971,09-October-2014,,Kodak,,,Kodak EasyShare C300 3MP Digital Camera,8891970,$129.95,041778891971,12 x 10 x 5 in.,00041778891971,1 lbs.,,,,
Sony Alpha SLT-A77 DSLR Digital Camera on sale for $899.99,,10-December-2013,0662425833450,09-October-2014,,Sony,,,Sony Alpha SLT-A77 DSLR Digital Camera (Body Only) Package 2,SLT-A77,,662425833450,,,,,,,
Sony Alpha SLT-A77 DSLR Digital Camera on sale for $1449.00,,10-December-2013,0662425833498,09-October-2014,,Sony,,,Sony Alpha SLT-A77 DSLR Digital Camera (Body Only) Package 6,SLT-A77,,662425833498,,,,,,,
"Samsung TL500 Digital Camera 10MP, 3x on sale for $242.99",Point-and-Shoot,19-November-2010,0044701012993,09-October-2014,3 inches,Samsung,10 MP,3 x,"Samsung TL500 Digital Camera 10MP, 3x Zoom, Ultra-Wide 24mm F1.8 Schneider KREUZNACH Lens",,$449.00,044701012993,,,,,,Yes,
Panasonic DMC-LX3 10.1MP Digital Camera on sale for $276.00,,24-November-2008,0037988988129,09-October-2014,,Panasonic,,,Panasonic DMC-LX3 10.1MP Digital Camera with 2.5x Wide Angle IS Zoom (Silver),DMC-LX3 Silver,$679.99,037988988129,,00037988988129,2 lbs.,Made in Japan,,,
Pentax K-01 16MP APS-C CMOS Compact on sale for $736.09,,9-December-2012,0662425827978,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera With 40mm Lens (White) + Extended Life Battery + 32GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + 3 Piece Pr,K-01 w/ 40mm Wh,$899.99,662425827978,,,,,,,
Olympus Stylus 730 7.1MP Digital Camera on sale for $378.45,,30-August-2006,0050332158245,09-October-2014,,Olympus,,,Olympus Stylus 730 7.1MP Digital Camera with Digital Image Stabilized 3x Optical Zoom (Silver),225840,$449.99,050332158245,,00050332158245,2 lbs.,,7.0 - 7.9 Megapixels,,Image Stabilization
Canon Powershot A2000IS 10MP Digital on sale for $345.48,,24-November-2008,0013803099850,09-October-2014,,Canon,,,Canon Powershot A2000IS 10MP Digital Camera with 6x Optical Image Stabilized Zoom,A2000IS,$349.99,013803099850,,00013803099850,2 lbs.,,,,
Lytro Light Field Camera on sale for $319.95,,6-November-2012,0854928003144,10-October-2014,,Lytro,,,"Lytro Light Field Camera (8GB, Electric Blue)",M01-100006-US,,854928003144,,,,,,,
Ultimate Gripster Bundle For Canon on sale for $52.90,,26-September-2010,0628586183223,09-October-2014,,ButterflyPhoto,,,Ultimate Gripster Bundle For Canon PowerShot SX130 IS Digital Camera Includes Gripster + 16GB High Speed SD Memory card + 4AA (2900 mAH) Rechargable NIMH Baterries And Charger + Deluxe Carrying Case + Clear LCD Screen Protectors,,,628586183223,,,,,,,
Nikon Coolpix S9100 12.1MP CMOS Digital on sale for $178.74,Point-and-Shoot,5-May-2011,0018208262489,09-October-2014,3 inches,Nikon,12.1 MP,18 x,Nikon Coolpix S9100 12.1MP CMOS Digital Camera with 18x ED Zoom Lens and Full HD 1080p Video (Black),S9100 Black,$329.00,018208262489,,,,,,,
Canon EOS 6D Digital SLR Camera 2 Lens on sale for $4624.94,,30-December-2013,0616316805583,09-October-2014,,GID,,,"Canon EOS 6D Digital SLR Camera 2 Lens Kit with IS 24-105mm, Canon 70-200mm IS II, 32 GB and More",EOS 6D,,616316805583,,,,,,,
Pentax K-01 16MP APS-C CMOS Compact on sale for $564.49,,9-December-2012,0662425827824,09-October-2014,,BVI,,,Pentax K-01 16MP APS-C CMOS Compact System Camera [Body] (Yellow) + Extended Life Battery + 32GB SDHC Class 10 Memory Card + USB Card Reader + Memory Card Wallet + Deluxe Case w/Strap + Shock Proof Deluxe Case + Mini HDMI to HDMI Cable + Accessory Saver B,K-01 YELLOW,$749.99,662425827824,,,,,,,
Sony Cyber-shot DSC-W330 14.1MP Digital on sale for $376.87,Point-and-Shoot,9-March-2010,0027242776548,09-October-2014,,Sony,14.1 MP,4 x,Sony Cyber-shot DSC-W330 14.1MP Digital Camera with 4x Wide Angle IS Zoom (Black),W330 Black,$169.99,027242776548,,00027242776548,,,,,
Pentax MX-1 12 MP Digital Camera on sale for $291.75,Point-and-Shoot,16-December-2013,0027075225183,09-October-2014,,Pentax,,,Pentax MX-1 12 MP Digital Camera with 4x IS Zoom (Black),MX-1 black,$399.95,027075225183,,,,,,,
Pentax K-x DSLR Camera on sale for $549.99,SLR,16-December-2009,0027075159617,09-October-2014,,Pentax,12.4 MP,3 x,Pentax K-x DSLR Camera with 12.4MP and 18-55mm f/3.5-5.6 AL Lens,K-x 18-55mm Whi,$749.99,027075159617,,00027075159617,,,,,
Canon PowerShot SX200IS 12MP Camera w/ on sale for $355.48,Point-and-Shoot,21-May-2009,0013803107845,09-October-2014,3 inches,Canon,12.1 MP,12 x,Canon PowerShot SX200IS 12MP Camera w/ 12x Wide Angle Optical IS Zoom (color: Blue),SX200IS Blue,$449.99,013803107845,,00013803107845,1 lbs.,,,Yes,
Flash Kit For The Panasonic Lumix DMC-G10 on sale for $114.90,,8-December-2010,,09-October-2014,,ButterflyPhoto,,,Flash Kit For The Panasonic Lumix DMC-G10 12.1 MP Digital Camera Includes Vivitar DF-293 TTL LCD Bounce Zoom Swivel DSLR AF Flash + Mini Tripod,,$199.95,,,,,,,,
Canon EOS 5D 12.8 MP Digital SLR Camera on sale for $2899.00,SLR,6-September-2005,0013803056853,09-October-2014,,Canon,,,Canon EOS 5D 12.8 MP Digital SLR Camera (Body Only),0296B002,$4900.00,013803056853,9 x 7 x 6.75 in.,00013803056853 00013803568530,3 lbs.,,,,
Fujifilm X-S1 12MP EXR CMOS Digital on sale for $363.89,Point-and-Shoot,3-December-2013,0074101012248,09-October-2014,,Fuji Photo Film,,,Fujifilm X-S1 12MP EXR CMOS Digital Camera with f2.8-5.6 Telephoto Lens and 26x Manual Zoom (24-624mm),,$699.00,074101012248,,,,,,,
Sony a5100 Mirrorless Digital Camera on sale for $548.00,SLR,18-September-2014,0027242882362,10-October-2014,,Sony,,,"Sony a5100 Mirrorless Digital Camera (Black, Body Only)",ILCE5100/B,$548.00,027242882362,,,,,,,
Sony Cybershot DSCW120 7.2MP Digital on sale for $499.00,,15-October-2008,0027242723986,09-October-2014,,Sony,,,Sony Cybershot DSCW120 7.2MP Digital Camera with 4x Optical Zoom with Super Steady Shot (Silver),DSCW120,$199.99,027242723986,3.5 x 2.25 x 0.88 in.,00027242723986,1 lbs.,,7.0 - 7.9 Megapixels,,
Nikon Coolpix S9 6MP Digital Camera on sale for $105.48,,31-August-2006,0018208255542,09-October-2014,,Nikon,,,Nikon Coolpix S9 6MP Digital Camera with 3x Optical Zoom,,$249.99,018208255542,7.7 x 5.7 x 3.3 in.,00018208255542,2 lbs.,,,,
Fujifilm X100 12.3 MP APS-C CMOS EXR on sale for $1158.29,,20-July-2012,0662425820085,09-October-2014,,Fuji,,,Fujifilm X100 12.3 MP APS-C CMOS EXR Digital Camera with 23mm Fujinon Lens and 2.8-Inch LCD w/32GB SDHC Memory + 2 Extended Life Batteries + USB Card Reader + Deluxe Case w/Strap + Full Size Tripod + Memory Card Wallet + Advanced Accessory Saver Bundle! I,"FINEPIX X100, 1",$1999.95,662425820085,,,,,,,
Konica Minolta Dimage X50 5MP Digital on sale for $208.49,,,0043325995613,,,Konica Minolta,,,Konica Minolta Dimage X50 5MP Digital Camera with 2.8x Optical Zoom,2734-301,$44995.00,043325995613,8.43 x 3.31 x 2.44 in.,00043325995613,1 lbs.,,5.0 - 5.9 Megapixels,,
Fujifilm X-E2 16.3MP Compact System on sale for $797.82,,11-December-2013,0074101023442,10-October-2014,,Fuji Photo Film,,,"Fujifilm X-E2 16.3MP Compact System Digital Camera (Body Only, Silver)",Fujifilm X-E2 B,$999.95,074101023442,,,,,,,
16GB Bundle For Canon PowerShot SX130 IS on sale for $30.90,,26-September-2010,0628586165441,09-October-2014,,ButterflyPhoto,,,16GB Bundle For Canon PowerShot SX130 IS Digital Camera Includes 16GB High Speed SD Memory card + USB 2.0 High Speed Card Reader + Deluxe Carrying Case + Mini Tripod + Clear LCD Screen Protectors + More,,$89.95,628586165441,,,,,,,
Nikon D40X 10.2MP Digital SLR Camera on sale for $999.95,SLR,6-April-2008,0018208254248,09-October-2014,,Nikon,,,Nikon D40X 10.2MP Digital SLR Camera (Body Only),,$772.99,018208254248,,00018208254248,3 lbs.,,10.0 - 10.9 Megapixels,,
Sony Alpha NEX-7 Interchangeable Lens on sale for $1249.00,,11-December-2013,0662425833610,09-October-2014,,Sony,,,Sony Alpha NEX-7 Interchangeable Lens Digital Camera (Body Only) Package 6,,,662425833610,,,,,,,
Sony Alpha SLT-A77 DSLR Digital Camera on sale for $847.00,,10-December-2013,0662425833443,09-October-2014,,Sony,,,Sony Alpha SLT-A77 DSLR Digital Camera (Body Only) Package 1,SLT-A77,,662425833443,,,,,,,
Fujifilm FinePix XP30 14 MP Waterproof on sale for $318.49,,28-March-2012,0662425801381,09-October-2014,,Fuji Photo Film,,,Fujifilm FinePix XP30 14 MP Waterproof Digital Camera with Fujinon 5x Optical Zoom Lens and GPS Geo-Tagging Function (Orange) 8GB SD HC Card Battery and More Accessory Saver Bundle,FUJI XP30 ORANG,$299.95,662425801381,,,,,,,
Sony a5100 Mirrorless Digital Camera on sale for $620.00,SLR,18-September-2014,0027242882379,10-October-2014,,Sony,,,Sony a5100 Mirrorless Digital Camera with 16-50mm Power Zoom Lens (Black),ILCE5100L/B,$698.00,027242882379,,,,,,,
INTOVA INWD-IC600 6.0MP Digital Camera on sale for $89.95,,9-May-2008,0855712000608,09-October-2014,,Intova,,,INTOVA INWD-IC600 6.0MP Digital Camera with Waterproof Housing -180FT,,$229.95,855712000608,,00855712000608,3 lbs.,,6.0 - 6.9 Megapixels,,Waterproof
Panasonic Lumix DMC-GF1 12.1MP Micro on sale for $1699.99,Point-and-Shoot,27-March-2010,0037988263851,09-October-2014,3 inches,Panasonic,12.1 MP,,Panasonic Lumix DMC-GF1 12.1MP Micro Four-Thirds Lens Digital Camera with LUMIX G 20mm f/1.7 Aspherical Lens,DMC-GF1C-K,$899.95,037988263851,,00037988263851,,Made in Japan,,Yes,
Sony Cybershot DSC-HX1 9.1MP Digital on sale for $799.99,Point-and-Shoot,26-August-2009,0027242767171,09-October-2014,3 inches,Sony,9.1 MP,20 x,"Sony Cybershot DSC-HX1 9.1MP Digital Camera with 20x IS Zoom and 3.0"" LCD",DSC-HX1,$499.99,027242767171,,00027242767171,,,,Yes,
Nikon D7000 Digital SLR Kit w/18-105mm on sale for $864.00,,2-December-2010,0018208254743,09-October-2014,,Nikon,16.2 MP,5.8 x,Nikon D7000 Digital SLR Kit w/18-105mm f/3.5-5.6 DX VR Nikkor Lens,D7000 18-105mm,$1499.95,018208254743,,,,,,,
Nikon D610 24.3MP FX-Format Digital SLR on sale for $1859.95,SLR,24-November-2013,0018208133055,10-October-2014,,Nikon,,,Nikon D610 24.3MP FX-Format Digital SLR Camera Kit with 24-85mm f/3.5-4.5G ED VR AF-S Lens,,$2599.95,018208133055,,,,,,,
Panasonic Lumix DMC-ZS15 12.1 MP Digital on sale for $293.99,,12-June-2012,0662425822560,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS15 12.1 MP Digital Camera with 16x Optical Zoom (Silver) BigVALUEInc Accessory Saver 16GB Bundle,DMC-ZS15K 8GB K,$369.95,662425822560,,,,,,,
Canon EOS M 18MP Mirrorless Camera on sale for $304.88,Point-and-Shoot,11-July-2014,0013803217452,09-October-2014,,Canon,,,Canon EOS M 18MP Mirrorless Camera with EF-M 18-55mm IS STM Lens,6609B074,$649.00,013803217452,,,,,,,
Olympus PEN E-P3 12MP Live MOS Camera on sale for $399.00,SLR,26-July-2012,0050332179509,09-October-2014,,Olympus,,,Olympus PEN E-P3 12MP Live MOS Camera with 14-42mm Interchangeable Zoom Lens (Silver),V204031SU000,$899.00,050332179509,,,,,,,
Panasonic Lumix DMC-ZS15 12.1 MP Digital on sale for $280.69,,12-June-2012,0662425823901,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS15 12.1 MP Digital Camera with 16x Optical Zoom (Black) + Extended Life BCG10 Battery + Deluxe Case w/strap + USB Card Reader + Accessory Saver Bundle!,DMC-ZS15K,$469.95,662425823901,,,,,,,
Sony Cybershot DSC-S600 6MP Digital on sale for $404.98,,5-January-2006,0027242678187,09-October-2014,,Sony,,,Sony Cybershot DSC-S600 6MP Digital Camera with 3x Optical Zoom,DSCS600,$204.99,027242678187,4 x 2 x 1.5 in.,00027242690431 00027242678187,1 lbs.,,,,
Canon EOS Rebel T3i T3-i 600D Digital SLR on sale for $529.95,,24-May-2012,0022099764434,09-October-2014,,ZEEMO,,,Canon EOS Rebel T3i T3-i 600D Digital SLR Camera (Body) + 32GB Deluxe Accessory Kit,,,022099764434,,,,,,,
Fujifilm FinePix S9200 16MP Digital on sale for $249.99,,15-March-2014,0074101023695,09-October-2014,,Fuji Photo Film,,,Fujifilm FinePix S9200 16MP Digital Camera,FinePix S9200,$329.95,074101023695,,,,,,,
Panasonic Lumix DMC-GH2 16.05 MP Live MOS on sale for $1882.89,,7-December-2011,0610074527824,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-GH2 16.05 MP Live MOS Interchangeable Lens Camera with 3-Inch Free-Angle Touch Screen LCD (Black Only) with WSP Mini tripod and Cleaning kit,DMC-HG2,$1399.95,610074527824,,,,,,,
Pentax Optio T20 7MP Digital Camera on sale for $349.95,,5-October-2006,0027075121751,09-October-2014,,Pentax,,,Pentax Optio T20 7MP Digital Camera with 3x Optical Zoom,19181,$528.95,027075121751,,00027075121751,2 lbs.,,7.0 - 7.9 Megapixels,,
Olympus Camedia D630 5MP Digital Camera on sale for $403.00,,8-March-2005,0050332154278,09-October-2014,,Olympus,,,Olympus Camedia D630 5MP Digital Camera with 3x Optical Zoom,225670,$349.99,050332154278,,00050332154278,3 lbs.,,5.0 - 5.9 Megapixels,,
Olympus Tough TG-610 Waterproof 14MP on sale for $299.99,,1-February-2012,0050332177505,09-October-2014,,Olympus,,,Olympus Tough TG-610 Waterproof 14MP Digital Camera with 5x Zoom (Blue),TG-610,,050332177505,,,,,,,
Sony Cyber-shot DSC-HX10V 18.2MP Digital on sale for $173.99,Point-and-Shoot,4-May-2012,0027242843936,10-October-2014,,Sony,,,Sony Cyber-shot DSC-HX10V 18.2MP Digital Camera with 16x Zoom,DSCHX10V/B,$329.99,027242843936,,,,,,,
Fujifilm FinePix S4200 14MP Digital on sale for $235.48,,20-July-2012,0074101012026,09-October-2014,,Fuji Photo Film,,,Fujifilm FinePix S4200 14MP Digital Camera with 24x Zoom,,$329.99,074101012026,,,,,,,
Panasonic Lumix DMC-ZS10 14.1MP Digital on sale for $199.50,Point-and-Shoot,2-July-2012,0885170033245,09-October-2014,,Panasonic,,,Panasonic Lumix DMC-ZS10 14.1MP Digital Camera with 16x IS Zoom and Built-In GPS (Blue),DMC-ZS10A,$349.99,885170033245,,,,,,,
Canon EOS Rebel SL1 DSLR Camera on sale for $716.59,digital-slr-camera,3-August-2013,0616932796227,09-October-2014,,Canon,,,Canon EOS Rebel SL1 DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS STM Lens with Canon EF-S 55-250mm f/4-5.6 IS II Lens for Digital SLR Cameras 32GB Package 2,8575B003 Packag,$1499.99,616932796227,,,,,,,
Nikon Coolpix L100 10MP Digital Camera w/ on sale for $217.49,Point-and-Shoot,21-May-2009,0018208261703,09-October-2014,3 inches,Nikon,10 MP,15 x,Nikon Coolpix L100 10MP Digital Camera w/ 15x VR Zoom,,$524.50,018208261703,,00018208261703,3 lbs.,,,,
Casio Exilim EX-FH100 10.1MP Camera on sale for $956.98,Point-and-Shoot,6-July-2010,0079767493660,09-October-2014,,Casio,10.1 MP,10 x,Casio Exilim EX-FH100 10.1MP Camera with 10x Ultra Wide Angle IS Zoom,FH100 Black,$399.99,079767493660,,00079767493660,,,,,
Canon PowerShot SD940 IS Digital ELPH on sale for $277.98,Point-and-Shoot,2-September-2009,0013803114973,09-October-2014,,Canon,12.1 MP,4 x,Canon PowerShot SD940 IS Digital ELPH 12.1MP Camera w/ 4x Wide Angle Optical IS Zoom (Silver),SD940IS Silver,$399.99,013803114973,,00013803114973,,,,,
Canon PowerShot SD780 IS Digital Elph on sale for $161.49,,11-July-2009,0013803109580,09-October-2014,,Canon,,,Canon PowerShot SD780 IS Digital Elph 12.1MP Digi Cam w/ 3x Optical IS Zoom (Black),SD780IS Black,$379.99,013803109580,,00013803109580,1 lbs.,Made in Japan,,,
Lens Kit Includes 52mm 3pc High on sale for $42.90,,8-December-2010,,09-October-2014,,ButterflyPhoto,,,"Lens Kit Includes 52mm 3pc High Resolution Multi Coated Filter Kit + HD 2X Telephoto Lens + 4 piece Close-up Filter Set Includes +1 +2 +4 +10 + More For The Panasonic Lumix DMC-G1, DMC-G10 12.1 MP Digital Camera",,$99.95,,,,,,,,
Kodak EasyShare Z5010 14MP Digital Camera on sale for $175.99,,27-July-2012,0041771342807,09-October-2014,,Kodak,,,Kodak EasyShare Z5010 14MP Digital Camera with 21x Zoom,,$189.95,041771342807,,,,Made in USA,,,
Leica V-LUX 20 Digital Camera on sale for $670.00,Point-and-Shoot,29-November-2011,0799429183912,09-October-2014,,Leica Camera,,,"Leica V-LUX 20 Digital Camera with 12.1mp, 12x Wide Angle Zoom",V-LUX 20,,799429183912,,,,,,,
Tripod Kit Includes 52 Inch Pro Tripod + on sale for $17.90,,8-December-2010,,09-October-2014,,ButterflyPhoto,,,Tripod Kit Includes 52 Inch Pro Tripod + LCD Clear Screen Protectors For The Panasonic Lumix DMC-G10 12.1 MP Digital Camera,,$29.95,,,,,,,,
Canon Powershot SD400 5MP Digital Elph on sale for $494.87,,23-February-2005,0013803052046,09-October-2014,,Canon,,,Canon Powershot SD400 5MP Digital Elph Camera with 3x Optical Zoom,0557B001,$419.99,013803052046,3.5 x 2.1 x 0.8 in.,,0.5 lbs.,,5.0 - 5.9 Megapixels,,
Nikon Coolpix P340 12.2 MP Digital Camera on sale for $346.95,Point-and-Shoot,6-May-2014,0018208264599,09-October-2014,,Nikon,,,"Nikon Coolpix P340 12.2 MP Digital Camera with 5x Zoom, Wi-Fi, and Full HD 1080p Video (Black)",,$379.95,018208264599,,,,,,,
