<page title>,an,battery model,cant find a,card format,colour,connectivity,exposure control,exposure modes,face detection technology,file formats,flash metering,flash type,focal length tele,focal length wide,image stabilisation,iso max,iso min,max aperture tele,max aperture wide,megapixels,minimum focus distance,movie mode,needs additional,optical zoom x,pictbridge,please add,requires,resolution,screen resolution pixels,screen size inches,sensor size,sensor type,shutter speed max,shutter speed min,size,the description needs,the information is,viewfinder type,weight g,hd movie mode,manufacturers link
Nikon Coolpix S3600 Digital Camera - Black (VNA551E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Black,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,3200,80,10.5,3.7,20.1,2 cm,720p HD,specifications,8.0,,more image angles,compatibility information,5152 x 3864,230000,2.7,1/1.23 Inch,CCD,1/1500 sec,4 sec,97 x 58 x 20 mm,further detail,incorrect,,125.0,720p,Click here
Nikon Coolpix A Digital Camera - Silver (VNA231E1) - Wex Photographic,image is incorrect,EN-EL20,related accessory,SD/SDHC/SDXC memory cards,Silver,"Hi-Speed USB, mini HDMI (Type C)","? 5.0EV, 1/3EV step",19 Scene Modes,Yes,"JPEG, RAW (NEF; a proprietary Nikon format) Movies: MOV (Video: H.264/MPEG-4 AVC, Audio: Linear stereo PCM)","Auto, On, Off, Red-Eye, Slow-sync",Built-in (pop-up),28.0,28.0,Yes,25600,100,2.8,2.8,16.2,10 cm,1080p,specifications,0.0,Yes,more image angles,compatibility information,4928 x 3264,921000,3.0,23.6 x 15.6 mm,CMOS,1/2000 sec,30 sec,111 x 64 x 40 mm,further detail,incorrect,TFT LCD,299.0,,Click here
Ricoh Theta Spherical Digital Camera (175760) - Wex Photographic,image is incorrect,Lithium Ion Rechargeable,related accessory,4GB internal memory,White,"USB, WiFi",,,,JPEG,,,0.0,0.0,,1600,100,0.0,0.0,0.0,10 cm,,specifications,0.0,,more image angles,compatibility information,,0,0.0,,,1/8000 sec,1/7.5 sec,42 x 129 x 23 mm,further detail,incorrect,,95.0,,https://theta360.com/uk/
Pentax XG-1 Digital Camera (07987) - Wex Photographic,image is incorrect,LB-060,related accessory,"15MB Internal, SD, SDHC",Black,,,12 Scene Modes,Yes,"JPG, DCF, DPOF, MOV AVC",,Built-in,1248.0,24.0,Yes,3200,100,5.6,2.8,16.0,1cm,1080p,specifications,52.0,,more image angles,compatibility information,4608 x 3456,"460,000",3.0,1 / 2.3 inch,CMOS,,,119 x 89 x 98mm,further detail,incorrect,Electronic Viewfinder,539.0,,Click here
Ricoh WG-4 GPS Digital Camera - Black (08541) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",Black,"USB2.0(Hi-Speed): USB/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, MPEG-4","Flash-on and Flash-off modes. ,Red-eye, compensation function employs a pre-discharge",Built-in,100.0,25.0,Yes,6400,125,4.9,2.0,16.0,1cm,1080p,specifications,4.0,Yes,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.3 inch,CMOS,1/4000 sec,4 sec,125.0 x 64.5 x 32.0 mm,further detail,incorrect,TFT colour LCD,209.0,1080p,
Fuji FinePix S8600 Digital Camera - Red (P10NC12690A) - Wex Photographic,image is incorrect,3 x AA type alkaline batteries or 3 x AA type Ni-MH rechargeable batteries or 3 x AA type lithium batteries,related accessory,"SD, SDHC, SDXC",Red,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,"Programmed AE, Shutter Priority AE, Manual exposure, 13 Scene Modes",Yes,"JPEG, AVI","Auto, Forced Flash, Suppressed Flash, Slow Synchro",Built-in (pop-up),900.0,25.0,Yes,6400,100,6.9,2.9,16.0,7 cm,AVI,specifications,36.0,Yes,more image angles,compatibility information,4608 Ã 3456,460000,3.0,,CCD,1/2000 sec,,121 x 81 x 65 mm,further detail,incorrect,,450.0,,
Nikon Coolpix P340 Digital Camera - Black (VNA490E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC",Black,"USB, Micro HDMI","+/- 2.0EV, 1/3EV step",26 Scene Modes,Yes,"JPEG, RAW, WAV, MOV",TTL auto flash with monitor preflashes,Bulit-in,120.0,24.0,Yes,25600,80,5.6,1.8,12.2,2cm,1080p,specifications,5.0,Yes,more image angles,compatibility information,4000 x 3000,921000,3.0,1/1.7 inch,CMOS,1/2000 sec,60 sec,103.0 x 58.3 x 32.0 mm,further detail,incorrect,TFT LCD,194.0,1080p,Click here
Olympus Stylus SH-1 Digital Camera - Black (V107080BE000) - Wex Photographic,image is incorrect,LI-92B,related accessory,"SD, SDHC, SDXC, 37MB Internal Memory",Black,"WiFi, USB (2.0), AV Output, HDMI",,16 Scene Modes,Yes,,,Built-in,600.0,25.0,Yes,6400,0,8.7,3.0,16.0,3cm,1080p,specifications,24.0,,more image angles,compatibility information,,460000,3.0,,BSI CMOS,,1/4 Sec,109 x 63 x 42 mm,further detail,incorrect,3 Inch LCD,271.0,1080p,Click here
Nikon Coolpix AW120 Digital Camera - Black (VNA590E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC",Black,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,Built in,120.0,24.0,Yes,6400,125,4.9,2.8,16.0,1cm,1080p Full HD,specifications,5.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/1500 sec,4 sec,110.0 x 66.0 x 25.8 mm,further detail,incorrect,3 Inch OLED Monitor,213.0,1080p,Click here
Nikon Coolpix S3600 Digital Camera - Silver (VNA550E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",Silver,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,200.0,25.0,Yes,3200,80,10.5,3.7,20.1,2 cm,720p HD,specifications,8.0,,more image angles,compatibility information,5152 x 3864,230000,2.7,1/1.23 Inch,CCD,1/1500 sec,4 sec,97 x 58 x 20 mm,further detail,incorrect,,125.0,720p,Click here
Pentax X-5 Black Digital Camera (12762 ) - Wex Photographic,image is incorrect,4 AA batteries,related accessory,"Internal (approx. 75.3 MB), SD/SDHC/SDXC",Black,"USB 2.0, HDMI, Wireless, Remote Control",? 2.0EV,19 Scene Modes,,"JPG, Motion JPEG",,Built-in,580.0,22.0,,6400,100,5.9,3.1,16.0,1 cm,1080p,specifications,26.0,,more image angles,compatibility information,4608 x 3456,460000,3.0,1/2.33 inch,CMOS,1/1500 sec,4 sec,119 x 86 x 107 mm,further detail,incorrect,EVF Tilting LCD screen,595.0,,
Nikon Coolpix P340 Digital Camera - White (VNA491E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHCE, SDXC",White,"USB, Micro HDMI","+/- 2.0EV, 1/3EV step",26 Scene Modes,Yes,"JPEG, RAW, WAV, MOV",TTL auto flash with monitor preflashes,Bulit-in,120.0,24.0,Yes,25600,80,5.6,1.8,12.2,2cm,1080p,specifications,5.0,Yes,more image angles,compatibility information,4000 x 3000,921000,3.0,1/1.7 inch,CMOS,1/2000 sec,60 sec,103.0 x 58.3 x 32.0 mm,further detail,incorrect,TFT LCD,194.0,1080p,Click here
Nikon Coolpix S6800 Digital Camera - White (VNA522E1) - Wex Photographic,image is incorrect,EN-EL19,related accessory,"25MB Internal, SD, SDHC, SDXC",White,Hi-Speed USB (USB2.0),Â±2.0EV 1/3EV step,18 Scene Modes,Yes,"JPEG, MOV, WAV",,Built in,300.0,25.0,Yes,6400,100,6.3,3.3,16.0,2 cm,1080p,specifications,23.0,,more image angles,compatibility information,4608 x 3456,4600000,3.0,1/1.23 Inch,CMOS,1/4000 sec,4 sec,97 x 58 x 23 mm,further detail,incorrect,3 Inch LCD,145.0,1080p,Click here
Ricoh WG-20 Digital Camera - White (08061) - Wex Photographic,image is incorrect,D-LI92,related accessory,"SD, SDHC, SDXC",White,"USB2.0(Hi-Speed): PC/AV terminal, HDMI terminal (Type D, Micro port)","+/- 2.0EV, 1/3EV step",29 Scene Modes,Yes,"JPEG, AVI, WAV","Flash-on and Flash-off modes.,Red-eye, compensation function employs a pre-discharge.",Built-in,140.0,28.0,Yes,6400,80,5.5,3.5,14.0,1cm,720p,specifications,5.0,Yes,more image angles,compatibility information,4288 x 3216,230000,2.7,1/2.3 inch,CCD,1/1500 sec,4 sec,115.5 x 58.5 x 28.5 mm,further detail,incorrect,TFT colour LCD,143.0,720p,
Nikon Coolpix AW120 Digital Camera - Orange (VNA592E1) - Wex Photographic,image is incorrect,EN-EL12,related accessory,"SD, SDHC, SDXC",Orange,"Hi-Speed USB 2.0, HDMI, WiFi",,Scene Modes,,JPEG,,Built in,120.0,24.0,Yes,6400,125,4.9,2.8,16.0,1cm,1080p Full HD,specifications,5.0,,more image angles,compatibility information,4608 x 3456,921000,3.0,1 / 2.3 inch,CMOS,1/1500 sec,4 sec,110.0 x 66.0 x 25.8 mm,further detail,incorrect,3 Inch OLED Monitor,213.0,1080p,Click here
Canon PowerShot N Digital Camera - Black (8230B012AA) - Wex Photographic,image is incorrect,NB-9L,related accessory,"microSD, microSDHC, microSDXC",Black,"Hi-Speed USB, dedicated connector (Mini-B compatible), A/V output, dedicated connector (PAL/NTSC),",,58 Scene Modes,,"JPEG, MOV",,Built-in,224.0,28.0,,6400,80,5.9,3.0,12.1,1cm,1080p,specifications,8.0,,more image angles,compatibility information,4000 x 3000,461000,2.8,1/2.3 inch,CMOS,1/2000 sec,1 sec,78.6 x 60.2 x 29.3 mm,further detail,incorrect,Touch screen LCD,195.0,,
