<page title>,brand,camera resolution,colour,hd video,lcd size,mpn,optical zoom range,variangle lcd,35mm equivalent,features,included lens,lens tele mm,lens wide mm,optical zoom,waterproof depth
Sony Cybershot RX10 Digital Camera (Black) | UK Digital Cameras,Sony,20.2 Megapixels,Black,Full HD (1080P),"3.0""",DSCRX10.CEH,8x to 11x,Yes,24-200mm,"Super-Zoom
Vari-Angle LCD",,200,24,8,
Sony Cybershot DSC-RX100 III Digital Camera (Black) | UK Digital Cameras,Sony,20.1 Megapixels,Black,Full HD (1080P),3.0'',DSCRX100M3.CEH,4x or less,Yes,28-100mm,"Raw Shooting
Semi-Pro
Wide-Angle",,100,28,3.6,
Sony Cybershot TX30 Digital Camera (Black) | UK Digital Cameras,Sony,18 Megapixels,Black,Full HD (1080P),3.0'',DSC-TX30/B,4x to 7x,,26-130mm,"3D Mode
Slimline
Wide-Angle",,130,26,5,
Sony Cybershot RX100 Digital Camera (Black) | UK Digital Cameras,Sony,20.2 Megapixels,Black,Full HD (1080P),3.0'',DSCRX100.CEH,4x or less,No,28-100mm,"Raw Shooting
Semi-Pro
Wide-Angle",,100,28,3.6,
Sony Cybershot TX30 Digital Camera (Orange) | UK Digital Cameras,Sony,18 Megapixels,Orange,Full HD (1080P),3.0'',DSCTX30D.CE3,4x to 7x,,26-130mm,"Wide-Angle
3D Mode
Slimline",,130,26,5,
Fuji Finepix S9200 Digital Camera (Red) | UK Digital Cameras,Fuji,16.2 Megapixels,Black,Full HD (1080P),"3.0""",P10NC12710A,18x and higher,,24-1200mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,1200,24,50,
Fuji Finepix S9200 Digital Camera (White) | UK Digital Cameras,Fuji,16.2 Megapixels,White,Full HD (1080P),3.0'',P10NC12720A,18x and higher,,24-1200mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,1200,24,50,
Nikon Coolpix S6400 Digital Camera (Silver) | UK Digital Cameras,Nikon,16.0 Megapixels,Silver,Full HD (1080p),"3.0""",VNA190E1,12x to 17x,,25-300mm,"Slimline
Wide-Angle",12x 17x,300,25,12,
Panasonic Lumix TZ55 Digital Camera (Red) | UK Digital Cameras,Panasonic,16 Megapixels,Red,Full HD (1080P),3.0'',DMC-TZ55EB-R,18x and higher,Yes,24-480mm,Compact Super-Zoom,,480,24,20,
Panasonic Lumix FT5 Digital Camera (Black) | UK Digital Cameras,Panasonic,16.1 Megapixels,Black,Full HD (1080P),"3.0""",DMC-FT5EB-K,4x to 7x,,28-128mm,"GPS
Waterproof",4x to 7x,128mm,28mm,4.6x,13m
Samsung WB350F Digital Camera (Brown) | UK Digital Cameras,Samsung,16 Megapixels,Brown,Full HD (1080P),"3.0""",EC-WB350FBPNE1,18x and higher,,23-483,"Compact Super-Zoom
Wide-Angle",,483,23,21,
Canon Powershot SX600 HS Digital Camera (White) | UK Digital Cameras,Canon,16 Megapixels,White,Full HD (1080p),"3.0""",9341B011,18x and higher,,25-450mm,Compact Super-Zoom,,450,25,18,
Nikon Coolpix S9600 Digital Camera (Red) | UK Digital Cameras,Nikon,16 Megapixels,Red,Full HD (1080P),3.0'',VNA502E1,18x and higher,,25-550mm,"Compact Super-Zoom
Wide-Angle",,550,25,22,
Fuji Finepix S1 Black (White Boxed) | UK Digital Cameras,Fuji,16.0 Megapixels,Black,Full HD (1080P),3.0'',P10NC12730A,18x and higher,18x and higher,24-1200mm,"Raw Shooting
Wide-Angle
Super-Zoom",18x and higher,1200,24,50x,
Fuji XQ1 Digital Camera (Black) | UK Digital Cameras,Fuji,12 Megapixels,Black,Full HD (1080P),"3.0""",P10NC11760A,,,25-100mm,"Raw Shooting
Wide-Angle",,100,25,4,
Fuji FinePix S4800 Digital Camera (White) | UK Digital Cameras,Fuji,16.0 Megapixels,White,Full HD (1080P),3.0'',P10NC09950A,18x and higher,,24-720mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,720,24,30,
Nikon Coolpix S6800 Digital Camera (White) | UK Digital Cameras,Nikon,16 Megapixels,White,Full HD (1080P),3.0'',VNA522E1,18x and higher,,25-300mm,Slimline,,300,25,23,
Nikon Coolpix AW120 Digital Camera (Camo) | UK Digital Cameras,Nikon,16 Megapixels,Camo,Full HD (1080P),"3.0""",VNA593E1,4x to 7x,No,24-110mm,"Compact
Waterproof",,120,24,5,18m
Nikon Coolpix S9700 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),3.0'',VNA650E1,18x and higher,,25-750mm,"Compact Super-Zoom
Wide-Angle
Wi-Fi",,750,25,30,
Canon Ixus 155 Digital Camera (Black) | UK Digital Cameras,Canon,20 Megapixels,Black,HD (720p),"2.7""",9357B006,8x to 11x,,24-240mm,Slimline,,120,24,10x,
Nikon Coolpix S3600 Digital Camera (Silver) | UK Digital Cameras,Nikon,20 Megapixels,Black,HD (720P),2.7'',VNA551E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Nikon Coolpix P600 Digital Camera (Red) | UK Digital Cameras,Nikon,16.1 Megapixels,Red,Full HD (1080P),3.0'',VNA481E1,18x and higher,,24-1440mm,Wi-Fi,,1440,24,60x,
Nikon Coolpix S6800 Digital Camera (Pink) | UK Digital Cameras,Nikon,16 Megapixels,Pink,Full HD (1080P),3.0'',VNA523E1,18x and higher,,25-300mm,Slimline,,300,25,23,
Nikon Coolpix S5300 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),3.0'',VNA291E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Panasonic Lumix TZ60 Digital Camera (Black) | UK Digital Cameras,Panasonic,18.1 Megapixels,Black,Full HD (1080P),3.0'',DMC-TZ60EB-K,18x and higher,,24-720mm,"Compact Super-Zoom
Wi-Fi",,720,24,30,
Panasonic Lumix DMC-LF1 Digital Camera (Black) | UK Digital Cameras,Panasonic,12.1 Megapixels,Black,Full HD (1080P),3.0'',DMC-LF1EB-K,4x to 7x,No,28-200mm,"Raw Shooting
Semi-Pro
Wide-Angle",,200,28,7.1,
Panasonic Lumix FT25 Digital Camera (Blue) | UK Digital Cameras,Panasonic,16.1 Megapixels,Blue,HD (720P),"3.0""",DMC-FT25EB-A,4x to 7x,,25-100mm,Waterproof,4x to 7x,100mm,25mm,4x,7m
Canon Ixus 265 HS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1080p),"3.0""",8207B008AA,12x to 17x,,25-300mm,Slimline,,120,25-300,12x,
Nikon Coolpix S9700 Digital Camera (White) | UK Digital Cameras,Nikon,16 Megapixels,White,Full HD (1080P),3.0'',VNA652E1,18x and higher,,25-750mm,"Compact Super-Zoom
Wi-Fi
Wide-Angle",,750,25,30,
Nikon Coolpix S02 Digital Camera (Blue) | UK Digital Cameras,Nikon,13 Megapixels,Blue,Full HD (1080P),2.7'',VNA453E1,4x or less,,25-550mm,,,90,30,3,
Panasonic Lumix LX100 Digital Camera (Silver) | UK Digital Cameras,Panasonic,12.8 Megapixels,Silver,4K HD,3.0'',DMC-LX100EBS,4x or less,No,24-120mm,"Raw Shooting
Semi-Pro
Wide-Angle",,120,24,3.1,
Samsung Galaxy 2 Digital Camera (Black) | UK Digital Cameras,Samsung,16 Megapixels,Black,,"4.8""",EK-GC200ZKABTU,18x and higher,,23-483,"Compact Super-Zoom
Wide-Angle",,483,23,21,
Fuji X-E2 Camera + 18-55mm Lens (Black) | UK Digital Cameras,Fuji,16.3 Megapixels,Black,Full HD (1080P),"3.0""",P10NC11740A,,,,"Raw Shooting
Wide-Angle",,,,,
Nikon D3200 Digital SLR + 18-55mm VR Lens Kit | UK Digital Cameras,Nikon,24.2 Megapixels,Black,Full HD (1080P),"3.0""",VBA330K001,,No,,,,,,,
Olympus SP-100EE Digital Camera (Black) | UK Digital Cameras,Olympus,16 Megapixels,Black,Full HD (1080p),"3.0""",V103070BE000,18x and higher,,24-1200mm,Macro Mode,,1200,24,50x,
Nikon Coolpix S9600 Digital Camera (White) | UK Digital Cameras,Nikon,16 Megapixels,White,Full HD (1080P),3.0'',VNA501E1,18x and higher,,25-550mm,"Compact Super-Zoom
Wide-Angle",,550,25,22,
Olympus TG-850 Tough Digital Camera (Silver) | UK Digital Cameras,Olympus,16 Megapixels,Silver,Full HD (1080P),3.0'',V104150BE000,4x to 7x,,21-105mm,"Compact
Waterproof",,105,21,5,10m
Samsung Galaxy GC100 Digital Camera (White) | UK Digital Cameras,Samsung,16 Megapixels,White,,"4.8""",EK-GC100ZWABTU,18x and higher,,23-481,"Compact Super-Zoom
GPS
Wide-Angle",,481,23,21,
Fuji XQ1 Digital Camera (Silver) | UK Digital Cameras,Fuji,12 Megapixels,Silver,Full HD (1080P),"3.0""",P10NC11770A,,,25-100mm,"Raw Shooting
Wide-Angle",,100,25,4,
Panasonic Lumix TZ55 Digital Camera (Black) | UK Digital Cameras,Panasonic,16 Megapixels,Black,Full HD (1080P),3.0'',DMC-TZ55EB-K,18x and higher,Yes,24-480mm,Compact Super-Zoom,,480,24,20,
Panasonic Lumix FZ200 Digital Camera (Black) | UK Digital Cameras,Panasonic,12.1 Megapixels,Black,Full HD (1080P),3.0'',DMC-FZ200EBK,18x and higher,Yes,25-600mm,"Manual Controls
Super-Zoom",,600,25,24,
Panasonic Lumix LX100 Digital Camera (Black) | UK Digital Cameras,Panasonic,12.8 Megapixels,Black,4K HD,3.0'',DMC-LX100EBK,4x or less,No,24-120mm,"Raw Shooting
Wide-Angle
Semi-Pro",,120,24,3.1,
Olympus SH-1 Digital Camera (White) | UK Digital Cameras,Olympus,16 Megapixels,White,Full HD (1080P),3.0'',V107080WE000,18x and higher,,25-600mm,Compact Super-Zoom,,600,25,24,
Pentax Optio X5 Digital Camera (Black) | UK Digital Cameras,Pentax,16 Megapixels,Black,Full HD (1080P),"3.0""",12762,18x and higher,Yes,22-580mm,Super-Zoom,,580,22,26,
Olympus TG-850 Tough Digital Camera (White) | UK Digital Cameras,Olympus,16 Megapixels,White,Full HD (1080P),3.0'',V104150WE000,4x to 7x,,21-105mm,"Compact
Waterproof",,105,21,5,10m
Panasonic Lumix FZ1000 4K Digital Camera (Black) | UK Digital Cameras,Panasonic,20.1 Megapixels,Black,4K HD,"3.0""",DMC-FZ1000EB,12x to 17x,,25-400mm,"Raw Shooting
Manual Controls
Semi-Pro
Super-Zoom",18x and higher,400,25,16,
Nikon Coolpix S3600 Digital Camera (Black) | UK Digital Cameras,Nikon,20 Megapixels,Black,HD (720P),2.7'',VNA551E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Nikon Coolpix S5300 Digital Camera (Plum) | UK Digital Cameras,Nikon,16 Megapixels,Plum,Full HD (1080P),3.0'',VNA542E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Canon Powershot SX600 HS Digital Camera (Red) | UK Digital Cameras,Canon,16 Megapixels,Red,Full HD (1080p),"3.0""",9342B011,18x and higher,,25-450mm,Compact Super-Zoom,,450,25,18,
Fuji Finepix S9200 Digital Camera (Black) | UK Digital Cameras,Fuji,16.2 Megapixels,Black,Full HD (1080P),"3.0""",P10NC12610A,18x and higher,,24-1200mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,1200,24,50,
Panasonic Lumix TZ55 Digital Camera (White) | UK Digital Cameras,Panasonic,16 Megapixels,White,Full HD (1080P),3.0'',DMC-TZ55EB-W,18x and higher,Yes,24-480mm,Compact Super-Zoom,,480,24,20,
Samsung Galaxy GC100 Digital Camera (Black) | UK Digital Cameras,Samsung,16 Megapixels,Black,,"4.8""",EK-GC100ZKABTU,18x and higher,,23-481,"Wide-Angle
Compact Super-Zoom
GPS",,481,23,21,
Nikon Coolpix S02 Digital Camera (Silver) | UK Digital Cameras,Nikon,13 Megapixels,Silver,Full HD (1080P),2.7'',VNA450E1,4x or less,,25-550mm,,,90,30,3,
Canon Ixus 150 Digital Camera (Red) | UK Digital Cameras,Canon,16 Megapixels,Red,HD (720p),"2.7""",9148B006,8x to 11x,,28-224mm,Slimline,,224,28,8x,
Nikon Coolpix S3600 Digital Camera (Pink) | UK Digital Cameras,Nikon,20 Megapixels,Pink,HD (720P),2.7'',VNA554E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Panasonic Lumix FZ72 + DMW-LT55E + DMW-LA8 Kit | UK Digital Cameras,Panasonic,16.1 Megapixels,Black,Full HD (1080P),"3.0""",DMC-FZ72LENSKIT,18x and higher,,20-1200mm,"Raw Shooting
Manual Controls
Semi-Pro
Super-Zoom",18x and higher,2040,20,102x,
Nikon Coolpix S02 Digital Camera (Pink) | UK Digital Cameras,Nikon,13 Megapixels,Pink,Full HD (1080P),2.7'',VNA452E1,4x or less,,25-550mm,,,90,30,3,
Canon Ixus 265 HS Digital Camera (Pink) | UK Digital Cameras,Canon,16 Megapixels,Pink,Full HD (1080p),"3.0""",9354B007AA,12x to 17x,,25-300mm,Slimline,,120,25-300,12x,
Canon Powershot SX520 HS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1080p),"3.0""",9544B002,18x and higher,,24-1008mm,Compact Super-Zoom,,1008,24,42,
Nikon Coolpix S6700 Digital Camera (Black) | UK Digital Cameras,Nikon,20 Megapixels,Black,HD (720P),3.0'',VNA660E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Panasonic Lumix FT5 Digital Camera (Orange) | UK Digital Cameras,Panasonic,16.1 Megapixels,Orange,Full HD (1080P),"3.0\\\""",DMC-FT5EB-D,4x to 7x,,28-128mm,"GPS
Waterproof",4x to 7x,128mm,28mm,4.6x,13m
Panasonic Lumix FT5 Digital Camera (Silver) | UK Digital Cameras,Panasonic,16.1 Megapixels,Silver,Full HD (1080P),3.0,DMC-FT5EB-S,4x to 7x,,28-128mm,"GPS
Waterproof",4x to 7x,128mm,28mm,4.6x,13m
Panasonic Lumix LZ40 Digital Camera (Black) | UK Digital Cameras,Panasonic,20 Megapixels,Black,HD (720P),3.0'',DMC-LZ40EB-K,18x and higher,,22-924mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,924,22,42x,
Canon Powershot G16 Digital Camera (Black) | UK Digital Cameras,Canon,12.1 Megapixels,Black,Full HD (1080P),"3.0""",8406B012AA,4x to 7x,,28-140mm,Semi-Pro,,140,28,5,
Panasonic Lumix FZ72 Digital Camera (Black) | UK Digital Cameras,Panasonic,16.1 Megapixels,Black,Full HD (1080P),"3.0""",,18x and higher,,20-1200mm,"Manual Controls
Raw Shooting
Semi-Pro
Super-Zoom",18x and higher,1200,20,60x,
Nikon Coolpix S6800 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),3.0'',VNA520E1,18x and higher,,25-300mm,Slimline,,300,25,23,
Ricoh GR Digital Camera (Black) | UK Digital Cameras,Ricoh,16 Megapixels,Black,Full HD (1080P),"3.0""",175749,,,,Semi-Pro,,,,,
Nikon Coolpix S9700 Digital Camera (Red) | UK Digital Cameras,Nikon,16 Megapixels,Red,Full HD (1080P),3.0'',VNA651E1,18x and higher,,25-750mm,"Compact Super-Zoom
Wi-Fi
Wide-Angle",,750,25,30,
Panasonic Lumix SZ8 Digital Camera (Black) | UK Digital Cameras,Panasonic,16 Megapixels,Black,HD (720P),3.0'',DMC-SZ8EB-K,12x to17x,,24-288mm,Slimline,,288,24,12,
Olympus SH-1 Digital Camera (Black) | UK Digital Cameras,Olympus,16 Megapixels,Black,Full HD (1080P),3.0'',V107080BE00,18x and higher,,25-600mm,Compact Super-Zoom,,600,25,24,
Olympus SH-1 Digital Camera (Silver) | UK Digital Cameras,Olympus,16 Megapixels,Silver,Full HD (1080P),3.0'',V107080SE00,18x and higher,,25-600mm,Compact Super-Zoom,,600,25,24,
Canon Powershot SX50 HS Digital Camera (Black) | UK Digital Cameras,Canon,12 Megapixels,Black,Full HD (1080P),"2.8""",6352B012AA,18x and higher,Yes,24-1200mm,"Semi-Pro
Super-Zoom
Wide-Angle",24-1200mm,1200,24,50,
Fuji X100T Digital Camera (Silver) | UK Digital Cameras,Fuji,16 Megapixels,Silver,Full HD (1080P),2.8'',P10NC13260A,,,23mm,"Raw Shooting
Wide-Angle",,23,23,,
Nikon Coolpix P600 Digital Camera (Black) | UK Digital Cameras,Nikon,16.1 Megapixels,Black,Full HD (1080P),3.0'',VNA480E1,18x and higher,,24-1440mm,Wi-Fi,,1440,24,60x,
Canon Ixus 265 HS Digital Camera (Purple) | UK Digital Cameras,Canon,16 Megapixels,Purple,Full HD (1080p),"3.0""",9351B007AA,12x to 17x,,25-300mm,Slimline,,120,25-300,12x,
Nikon Coolpix P340 (Black) | UK Digital Cameras,Nikon,12 Megapixels,Black,Full HD (1080P),3.0'',VNA490E1,4x to 7x,,24-120mm,"Compact
High-Speed Shooting
Wide-Angle",,100,24,5,
Canon Ixus 265 HS Digital Camera (Silver) | UK Digital Cameras,Canon,16 Megapixels,Silver,Full HD (1080p),"3.0""",9348B007AA,12x to 17x,,25-300mm,Slimline,,120,25-300,12x,
Canon Powershot S120 Digital Camera (Black) | UK Digital Cameras,Canon,12 Megapixels,Black,Full HD (1080P),"3.0\""",8407B012AA,,No,24-120mm,"Manual Controls
Semi-Pro
Wide-Angle",,120,24,5,
Sony Cybershot DSC-WX350 Digital Camera (Black) | UK Digital Cameras,Sony,18.2 Megapixels,Black,Full HD (1080P),3.0'',DSCWX350B.CEH,18x and higher,,,Slimline,,,,20,
Canon Powershot SX400 IS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1280 x 720p),3.0'',9545B002,18x and higher,,24-720mm,Compact Super-Zoom,,720,24,30,
Nikon Coolpix P530 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),3.0'',VNA640E1,18x and higher,,24-1000mm,"Super-Zoom
Wide-Angle",,1000,24,42,
Canon Powershot SX600 HS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1080p),"3.0""",9340B011,18x and higher,,25-450mm,Compact Super-Zoom,,450,25,18,
Nikon Coolpix AW120 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),"3.0""",VNA311E1,4x to 7x,No,24-110mm,"Compact
Waterproof",,120,24,5,18m
Olympus TG-850 Tough Digital Camera (Black) | UK Digital Cameras,Olympus,16 Megapixels,Black,Full HD (1080P),3.0'',V104150SE00,4x to 7x,,21-105mm,"Compact
Waterproof",,105,21,5,10m
Fuji X100S Digital Camera (Silver) | UK Digital Cameras,Fuji,16 Megapixels,Black,Full HD (1080P),2.8'',P10NC09330A,,,23mm,"Raw Shooting
Wide-Angle",,23,23,,
Nikon Coolpix S3600 Digital Camera (Blue) | UK Digital Cameras,Nikon,20 Megapixels,Black,HD (720P),2.7'',VNA551E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Fuji Finepix XP70 Digital Camera (Blue) | UK Digital Cameras,Fuji,16.4 Megapixels,Blue,Full HD (1080P),2.7'',P10NC12630A,4x to 7x,,28-140mm,"Compact
Wifi
Waterproof",,140,28,5,6m
Nikon Coolpix P340 (White) | UK Digital Cameras,Nikon,12 Megapixels,White,Full HD (1080P),3.0'',VNA491E1,4x to 7x,,24-120mm,"Compact
High-Speed Shooting
Wide-Angle",,100,24,5,
Canon Powershot SX60 HS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1080P),"3.0""",9543B009AA,18x and higher,Yes,21-1365mm,"Semi-Pro
Super-Zoom
Wide-Angle",21-1365mm,1365,21,65,
Pentax XG-1 Digital Camera (Black) | UK Digital Cameras,Pentax,16 Megapixels,Black,Full HD (1080P),"3.0""",07987,18x and higher,No,24-1248mm,Super-Zoom,,1248,24,52,
Nikon Coolpix P7800 Digital Camera (Black) | UK Digital Cameras,Nikon,12.2 Megapixels,Black,Full HD (1080P),"3.0""",VNA670E1,4x to 7x,No,28-200mm,"Compact
Semi-Pro",,200,28,7.1,
Nikon Coolpix S6800 Digital Camera (Red) | UK Digital Cameras,Nikon,16 Megapixels,Red,Full HD (1080P),3.0'',VNA521E1,18x and higher,,25-300mm,Slimline,,300,25,23,
Nikon Coolpix S9600 Digital Camera (Black) | UK Digital Cameras,Nikon,16 Megapixels,Black,Full HD (1080P),3.0'',VNA500E1,18x and higher,,25-550mm,"Compact Super-Zoom
Wide-Angle",,550,25,22,
Nikon Coolpix S02 Digital Camera (White) | UK Digital Cameras,Nikon,13 Megapixels,White,Full HD (1080P),2.7'',VNA451E1,4x or less,,25-550mm,,,90,30,3,
Fuji Finepix S9200 Black (White Boxed) | UK Digital Cameras,Fuji,16.2 Megapixels,Black,Full HD (1080P),"3.0""",P10NC12610A,18x and higher,,24-1200mm,"Manual Controls
Semi-Pro
Super-Zoom",18x and higher,1200,24,50,
Nikon Coolpix AW120 Digital Camera (Orange) | UK Digital Cameras,Nikon,16 Megapixels,Orange,Full HD (1080P),"3.0""",VNA592E1,4x to 7x,No,24-110mm,"Compact
Waterproof",,120,24,5,18m
Ricoh WG-4 Digital Camera (Lime Yellow) | UK Digital Cameras,Ricoh,16 Megapixels,Yellow,Full HD (1080P),"3.0""",08586,4x to 7x,No,25-100mm,Waterproof,,100,25,4x,14m
Panasonic Lumix LX7 Digital Camera (Black) | UK Digital Cameras,Panasonic,10.1 Megapixels,Black,Full HD (1080P),3.0'',DMC-LX5EB-K,4x or less,No,24-90mm,"Raw Shooting
Semi-Pro
Wide-Angle",,90,24,3.8,
Nikon Coolpix S6700 Digital Camera (Red) | UK Digital Cameras,Nikon,20 Megapixels,Red,HD (720P),3.0'',VNA661E1,8x to 11x,,25-200mm,Slimline,,200,25,8,
Samsung Galaxy 2 Digital Camera (White) | UK Digital Cameras,Samsung,16 Megapixels,White,,"4.8""",EK-GC200ZWABTU,18x and higher,,23-483,"Compact Super-Zoom
Wide-Angle",,483,23,21,
Fuji FinePix X30 Digital Camera (Black) | UK Digital Cameras,Fuji,12 Megapixels,Black,Full HD (1080P),"3.0""",P10NC13270A,,,28-112mm,"Raw Shooting
Wide-Angle",,112,28,,
Canon Powershot SX700 HS Digital Camera (Black) | UK Digital Cameras,Canon,16 Megapixels,Black,Full HD (1080p),"3.0""",9338B014AA,18x and higher,,25-750mm,Compact Super-Zoom,,750,25,30,
Samsung WB350F Digital Camera (White) | UK Digital Cameras,Samsung,16 Megapixels,White,Full HD (1080P),"3.0""",EC-WB350FBPWE1,18x and higher,,23-483,"Compact Super-Zoom
Wide-Angle",,483,23,21,
Fuji X100T Digital Camera (Black) | UK Digital Cameras,Fuji,16 Megapixels,Black,Full HD (1080P),2.8'',P10NC13250A,,,23mm,"Raw Shooting
Wide-Angle",,23,23,,
Canon Ixus 140 HS Digital Camera (Red) | UK Digital Cameras,Canon,16 Megapixels,Red,HD (720P),"3.0""",8198B006AA,4x to 7x,,28-224mm,Slimline,,224,28,5x,
Canon Ixus 140 HS Digital Camera (Silver) | UK Digital Cameras,Canon,16 Megapixels,Silver,HD (720P),"3.0""",8195B010AA,4x to 7x,,28-224mm,Slimline,,224,28,5x,
Canon Powershot SX400 IS Digital Camera (Red) | UK Digital Cameras,Canon,16 Megapixels,Red,Full HD (1280 x 720p),3.0'',9769B002,18x and higher,,24-720mm,Compact Super-Zoom,,720,24,30,
Ricoh WG20 Digital Camera (White) | UK Digital Cameras,Ricoh,14 Megapixels,White,HD (720P),"2.7""",08061,4x to 7x,No,28-140mm,Waterproof,,140,28,5,10m
Samsung WB350F Digital Camera (Black) | UK Digital Cameras,Samsung,16 Megapixels,Black,Full HD (1080P),"3.0""",EC-WB350FBPBE1,18x and higher,,23-483,"Compact Super-Zoom
Wide-Angle",,483,23,21,
Olympus Stylus Tough TG-3 Digital Camera (Red) | UK Digital Cameras,Olympus,16 Megapixels,Red,Full HD (1080P),"3.0""",V104120RE000,4x to 7x,No,25-100mm,"Compact
Extreme Sports
Shockproof
Waterproof",4x to 7x,100mm,25mm,4,15m
Ricoh WG-4 GPS Digital Camera (Black) | UK Digital Cameras,Ricoh,16 Megapixels,Black,Full HD (1080P),"3.0""",08541,4x to 7x,No,25-100mm,"GPS
Waterproof",,100,25,4x,14m
Canon Ixus 150 Digital Camera (Grey) | UK Digital Cameras,Canon,16 Megapixels,Grey,HD (720p),"2.7""",9145B006,8x to 11x,,28-224mm,Slimline,,224,28,8x,
Ricoh WG-4 GPS Digital Camera (Blue) | UK Digital Cameras,Ricoh,16 Megapixels,Blue,Full HD (1080P),"3.0""",08556,4x to 7x,No,25-100mm,"GPS
Waterproof",,100,25,4x,14m
Canon Powershot SX700 HS Digital Camera (Red) | UK Digital Cameras,Canon,16 Megapixels,Red,Full HD (1080p),"3.0""",9339B014AA,18x and higher,,25-750mm,Compact Super-Zoom,,750,25,30,
Ricoh WG-4 Digital Camera (Silver) | UK Digital Cameras,Ricoh,16 Megapixels,Black,Full HD (1080P),"3.0""",08571,4x to 7x,No,25-100mm,Waterproof,,100,25,4x,14m
Nikon Coolpix S6400 Digital Camera (Purple) | UK Digital Cameras,Nikon,16.0 Megapixels,Purple,Full HD (1080p),"3.0""",VNA194E1,12x to 17x,,25-300mm,"Slimline
Wide-Angle",12x 17x,300,25,12,
