<page title>,ac power adapter,additional zoom,approx resolution,aspect ratio,battery,builtin flash,builtin memory,burst rate,camera type,canon pixma pro1 pro10 or pro100 printer,colour,connectivity,digital point and shoot camera,digital zoom,display screen type,effective pixels,exposure modes,external flash connection,file formats,flash modes,focus range,image stabilization,iso sensitivity,lens,memory card type,metering method,operatingstorage temperature,optical zoom,remote control,screen size,self timer,sensor typesize,shutter,viewfinder type,warranty,white balance modes,1 star,2 star,3 star,4 star,5 star,dustproof,shockproof,waterproofing,aperture,dimensions,exposure compensation,exposure control,flash,lcd monitor,shooting modes,shutter speed,weight,dimensions wxhxd,angle of view,aperture max min,audio recording,autofocus,camera mount type,diaphragm blades,dimensions dxl,file size,filter thread,focal length,format compatibility,groupselements,maximum closeup magnification,minimum focus distance,tripod collar,video recording,video resolution,maximum aperture
"SONY DSC-W830 SILVER 20.1MP 8X 2.7"" DSCW830",NA,NA,20MP,"4:3, 16:9",NP-BN,Yes,None,Up to 1 fps at 16.1 MP for up to 100 frames,Small & Easy,.,Silver,"AV Output, USB 2.0",.,32x,LCD Rear Screen,20.1MP,"iAuto, Program Auto",None,JPEG,Auto / Flash On / Slow Synchro / Flash Off / Advanced Flash,Wide: 5 cm - Infinity; Telephoto: 150 cm - Infinity,Yes,80-3200,"Carl Zeiss Vario-Tessar, 8 elements in 7 groups
5 Aspheric
35 mm equivalent: 25-200 mm
Aperture: f/3.3 - 6.3","Memory Stick Duo, Memory Stick Pro Duo, Memory Stick PRO HG-Duo, SD/SDHC/SDXC","Center-weighted, Multi, Spot",NA,8x,NA,"2.7 ""","2 Sec, 10 Sec","1/2.3"" HAD CCD","2"" - 1/1,600",LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push",,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT S120 HS 12.1MP 5X WIDE ANGLE 3"" WIFI 8407B005",CA-DC10,None,12 MP,"16:9, 3:2, 4:3, 1:1, 4:5",NB-6LH,Yes,N/A,Up to 12.1 fps for up to 6 frames; Up to 9.4 fps for 7 or more frames,Wi-Fi,.,Black,Mini-HDMI,.,4x,N/A,12.1MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock, Compensation: Still Images: +3 stops in 1/3-stop increments",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Normal: 2.0 in. (5cm) - infinity (W), 12 in. (30cm) - infinity (T); Auto/Manual: 1.2 in. (3cm) - infinity (W), 12 in. (30cm) - infinity (T); Macro AF: 1.2 in. - 1.6 ft. (3-50cm) (W), 12 in. - 1.6 ft. (30-50cm) (T); Quick: 4.9 - 66 ft. (1.5 - 20m) (W,T)",Yes,80-12800,5.2 (W) - 26.0 (T) mm (35mm film equivalent: 24-120mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0-40C (32-104F); Humidity: 10-90%,4x,None,"3.0""","2 Sec., 10 Sec.","1/1.7"" CMOS",1-1/2500 sec.,LCD Display,1 year warranty,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Underwater, Custom 1, Custom 2",,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIKON COOLPIX S3600 BLACK 20MP 8X 2.7"" 32184",EH-70P (Included); EH-62G (Sold Separately),None,20MP,NA,EN-EL19,Yes,25MB,1.1 fps,Small & Easy,.,Black,"AV Output, USB",.,4x,LCD Screen,20.1MP,Programmed auto,No,JPEG; AVI,TTL Auto,W: 50cm to infinity; T: 1.5m to infinity; Macro: 2cm to infinity,No,80-3200,4.5-36.0mm (35mm equivalent: 25�200 mm lens),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),8x,No,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",4 sec - 1/1500 sec,LCD Display,,"Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,"125g (
4.5 oz.)","97.1 x 57.9 x 19.9mm (3.9 x 2.3 x 0.8 in.)
(19.9 mm)",,,,,,,,,,,,,,,,,,
"CANON POWERSHOT N100 WHITE 12.1MP 5X 3"" WIDE ANGLE 9169B001",ACK-100,None,12MP,"1:1, 3:2, 4:3, 16:9",NB-12,Yes,None,NA,Wi-Fi,.,White,HDMI connector (D-type),.,4x,"Tilt, Touch Panel LCD",12.1MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,JPEG,"Auto, Flash On, Slow Synchro, Flash Off","Auto/Normal: 2.0 in. (5cm) - infinity (W), 12.0 in. (30cm) - infinity (T); Macro: 1.2 in. - 1.6 ft. (3-50cm) (W)",Yes,80-6400,5.2 (W) - 26.0 (T) mm (35mm film equivalent: 24-120mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),5x,NA,"3.0""","2 Sec, 10 Sec, Custom","1/1.7"" CMOS",15-1/2000 sec,LCD Display,,"Auto, Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Custom, Multi-area White Balance",,,,,,No,No,No,,,,,,,,,252g (8.89 oz.),104.5 x 67.5 x 35.8mm (4.11 x 2.66 x 1.41 in.),,,,,,,,,,,,,,,,,,
CANON XF200 A HIGH DEFINITION DIGITAL CAMCORDER 9593B002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(0),(0),(0),(1),(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LEICA C 12.1MP 7X 3"" DARK RED DIGITAL CAMERA 18489",ACA-DC11,None,12MP,3:2,BP-DC14,Yes,87MB,NA,Advanced,.,Dark Red,,.,4x,LCD,12.1MP,"Program, Aperture priority, Shutter speed priority, Manual setting",NA,Still: RAW/JPEG; Video: AVCHD with Dolby Digital/MP4 with AAC,"Auto , Auto /Red eye reduction, Slow sync./Red eye reduction, ON, OFF",P/A/S/M: 50 cm (20 in.) / 80 cm (31.5 in.) to infinity; Macro/Video: 3 cm (1.2 in.) / 80 cm (31.5 in.) to infinity,Optical,NA,NA,SD/SDHC/SDXC,"Multiple, Center-weighted, Spot",0-40C / 32 -104F,NA,NA,3.0 in.,no,MOS Sensor,"250 s to 1/4000 s; Starry Sky Mode: 15 s, 30 s, 60 s",LCD,,NA,,,,,,NA,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT SX60HS 16.1MP 65X 3"" CMOS 9543B001",ACK-DC80,None,16MP,"1:1, 3:2, 4:3, 4:5, 16:9",NB-10L,Yes,No,3.8 to 6.4 shots / sec.,Super Zoom,.,Black,"HDMI mini, Audio Out, 3.5mm stereo mini jack",.,4x,Vari-angle,16.1MP,"Manual Exposure, Program Shift, Safety Shift, AE Lock",None,"JPEG, RAW, MP4","Auto, Flash On, Slow Synchro, Flash Off","0.0 in (0 cm) - infinity (W), 5.9 ft. (1.8 m) - infinity (T); Macro 0.0 in. (0 cm) - 1.6 ft. (50 cm) (W)",Yes,100-3200,3.8 (W) - 247.0 (T) mm (35mm film equivalent: 21-1365mm),SD/SDHC/SDXC,"Evaluative, Center-weighted average, Spot",0 to 40C (32 to 104F),65x,NA,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",15-1/2000 sec,Electronic,,"Auto, Daylight, Shade, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Custom 1, Custom 2, Multi-area White Balance, White Balance Correction",(0),(0),(0),(0),(1),No,No,No,,,,,,,,,607 g (1.34 lb.),127.6 x 92.6 x 114.3 mm (5.02 x 3.65 x 4.50 in. ),,,,,,,,,,,,,,,,,,
"FUJIFILM AX660 BLACK 16MP 5X 2.7""LCD AA 600013331",NA,None,16MP,"3:2, 4:3, 16:9",2xAA type alkaline batteries (included) / 2xAA type Ni-MH rechargeable batteries (Sold Separately),Yes,No,NA,Small & Easy,.,Black,"USB 2.0, Video Output",.,7.2x,LCD Screen,16.0MP,Programmed AE,No,"JPEG, AVI","Face detection OFF: Auto, Forced Flash, Suppressed Flash, Slow Synchro.; Face detection ON: Red-eye Reduction Auto, Red-eye Reduction & Forced Flash, Suppressed Flash, Red-eye Reduction & Slow Synchro.","Normal: Wide : Approx. 45cm to infinity / 1.4ft. to infinity, Telephoto : Approx. 80cm to infinity / 2.6ft. to infinity; Macro: Wide : Approx. 10cm - 80cm / 0.3ft. - 2.6ft., Telephoto : Approx. 60cm - 1.0m / 1.9ft. - 3.2ft.",No,100-3200,"5.9-29.5mm, equivalent to 33-165mm on a 35mm format",SD/SDHC,TTL 256-zone metering,0 to 40C (32 to 104F),5x,No,"2.7""","2 Sec, 10 Sec","1/2.3"" CCD",8 sec-1/1400 sec,LCD Display,,"Auto Scene Recognition, Fine, Shade, Fluorescent, Incandescent",,,,,,No,No,No,,,,,,,,,119g /4.1oz.,93.0 x 60.2 x 27.8mm / 3.6 x 2.3 x 1.0 in. (Minimum depth: 22.0mm / 0.8in),,,,,,,,,,,,,,,,,,
"NIKON COOLPIX P600 RED 16MP 60X 3"" 32017",EH-71P (Included); EH-67A (Sold Separately),None,16MP,NA,EN-EL23,Yes,56MB,7 fps,Super Zoom,.,Red,"Micro USB; HDMI micro Connector (D), Wi-Fi",.,4x,LCD,16.1MP,"Programmed auto exposure, Aperture-priority auto, Exposure bracketing, Manual, Shutter priority auto",No,"JPEG, MOV",TTL Auto,"W: 50cm to infinity, T: 2m to infinity, Macro mode: 1cm",Yes,100-12800,4.3-258mm (35mm equivalent: 24-1440mm),SD/SDHC/SDXC,"Centre-weighted, Matrix, Spot",0 to 40C (32 to 104F),60x,via Wi-Fi,"3.0""","2 Sec, 10 Sec","1/2.3"" CMOS",15 sec - 1/4000 sec,LCD,,"Auto, Color Temperature, Cloudy, Daylight, Flash, Fluorescent, Incandescent, White Balance Preset",,,,,,No,No,No,,,,,,,,,565g (19.9 oz.),125.0 x 85.0 x 106.5mm (5.0 x 3.4 x 4.2 in.),,,,,,,,,,,,,,,,,,
"RICOH GR 16MP WIDE ANGLE 3""LCD 175743",AC-U1,None,16MP,"1:1, 3:2, 4:3",DB-65,Yes,54MB,Up to 4 fps at 16 MP,Advanced,.,Black,"AV Output, HDMI D, USB 2.0",.,None,LCD Rear Screen,16.2MP,"Modes: Aperture Priority, Auto, Bulb, Manual, Movie, My Settings, Programmed Auto, Shutter Priority, Shutter/Aperture Priority, Time
Metering Range: EV 1.8 - EV 17.7
Compensation: -4 EV to +4 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Auto/Red-eye Reduction
Flash On
Flash On w/ Red-eye Reduction
Manual
Slow Sync
Slow Sync./Red-eye Reduction","Normal: 11.76"" (29.87 cm) - Infinity
Macro: 3.9"" (9.91 cm) - Infinity",None,100-25600,"7 elements in 5 groups
2 Aspheric
EFL: 18.3 mm (35 mm equivalent: 28 mm)
Aperture: f/2.8 to f/16",SD/SDHC/SDXC,"Center-weighted, Multi, Spot",0 to 40C (32 to 104F),None,N/A,"3.0""",N/A,APS-C CMOS,"Type: Electronic & Mechanical
Speed: 30 - 1/4000 sec",LCD Display,1 year warranty,"Auto, Cloudy, Daylight, Incandescent, Manual, Shade",(0),(0),(0),(0),(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT A3500IS BLACK W/CS 5X WIDE ANGLE 3"" WIFI 8156B023",ACK-DC90 (Optional),None,16MP,N/A,NB-11L,Yes,N/A,N/A,Wi-Fi,.,Black,"AV Output, Mini-USB",.,4x,LCD Screen,16.0MP,"Modes: AE Lock
Compensation: -2 EV to +2 EV (in 1/3 EV steps)",N/A,JPEG,"Auto
Flash On
Off
Slow Sync",N/A,Yes,100-1600,"EFL: 5-25 mm (35 mm equivalent: 28-140 mm)
Aperture: f/2.8 (W) - 6.9 (T)",SD/SDHC/SDXC,"Center-weighted, Evaluative, Spot","0 to 40C (32 to 104F)
Humidity: 10-90%",5x,N/A,"3.0""","2 Sec, 10 Sec","1/2.3"" CCD",15-1/2000 sec,LCD Display,1 year warranty,"Auto, Cloudy, Custom, Daylight, Fluorescent, Fluorescent H, Tungsten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CANON POWERSHOT G1X 14.3MP CMOS 4X WIDE ANGLE 3"" 5249B005",CA-PS700 (Optional),None,14MP,"1:1, 3:2, 4:3, 4:5, 16:9",NB-10L,Yes,N/A,Up to 4.5 fps for up to 6 frames,Advanced,.,Black,"AV Output, Audio Out, HDMI C, USB 2.0",.,4x,LCD Rear Screen,14.3MP,"Modes: AE Lock
Compensation: -3 EV to +3 EV (in 1/3 EV steps)",Hot Shoe,"JPEG, RAW","Auto
Exposure Compensation
Flash On
Off
Slow Sync","Wide: 1.3' (0.40 m) - Infinity
Telephoto: 4.3' (1.31 m) - Infinity
Auto: 7.9"" (20.07 cm) - Infinity
Auto: 2.8' (0.85 m) - Infinity
Wide Macro: 7.9"" (20.07 cm) - 2.3' (0.70 m)
Tele Macro: 2.8' (0.85 m) - 5.2' (1.58 m)",Yes,100-12800,"EFL: 15.1-60.4 mm (35 mm equivalent: 28-112 mm)
Aperture: f/2.8 (W) - 5.8 (T)",SD/SDHC/SDXC,"Center-weighted, Evaluative, Spot","0 to 40C (32 to 104F)
Humidity: 10-90%",4x,N/A,"3.0""","2 Sec, 10 Sec","1.5"" CMOS",60-1/4000 sec,"Optical, LCD Display",1 year warranty,"Auto, Cloudy, Custom, Daylight, Flash, Fluorescent, Fluorescent H, Tungsten, Underwater",(0),(0),(0),(2),(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
