<page title>,additional features,brand,connectivity system req,dimension,display,flash,general features,images video,lens,media software,optical sensor resolution in megapixel,other features,other sellers,pixels,power source,see full specifications,sensor,sensor type,shopping experience,shutter speed,site usability,zoom,aperture range,audio video interface ntscpal,bangalore,bluetooth,color,continuous shots,digital zoom,external memory,face detection,gps,hdmi,image format,image stabilizer,iso rating,metering,optical sensor resolution in megapixel,optical zoom,red eye reduction,screen size,self timer,shooting modes,usb,video display resolution,video format,auto focus,built in flash,display type,flash modes,flash range,focal length,image display resolution,lens type,maximum shutter speed,memory card type,microphone,minimum shutter speed,sensor size,sensor type,white balancing,color filter,gadgetsguru,macro mode exposure mode,supplied battery,sync terminal,announced,brand,dimensions,status,viewfinder,weight,ac adaptor,dust reduction,other resolution,other zoom type,amazon,manual focus,audio formats,delete function,exposure compensation,inbuilt memory,supported aspect ratio,supported languages,upgradeable memory,usb charge,additional display features,flipkart,external flash,infibeam,pictbridge,picture angle,kaunsa,ebay,snapdeal,indiatimes,shopclues,wifi,maniacstore,seventymm,bitfang,naaptol
"Canon EOS 550D DSLR Kit EF-S18-135mm IS II Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Connector (Type C)
Bluetooth
No","Weight
475 gms","Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD)
ViewFinder
Pentamirror","Flash Modes
Auto Pop-up, Retractable Flash
Built in Flash
Yes","Brand
Canon","Image Format
JPEG
Video Format
MOV","Focal Length
17 mm (Equivalent to 27 mm in 135 mm )",,18 MP,"ISO Rating
ISO 100-6400
Self Timer
10 sec
Face Detection
Yes
Metering
Center-Weighted Average , TTL full Aperture with 63 Zone SPC (1) Evaluative (linkable to all AF points) (2) Partial ( 9% of viewfinder at center) (3) Spot
Continuous Shots
Yes
White Balancing
Auto, Cloudy, Custom, Daylight, Flash, Light, Shade, Tungsten, White Fluorescent
Sync Terminal
1/200 Sec
Dust Reduction
Auto, Manual, Dust Delete Data Appending",(6 ),"Optical Sensor Resolution (in MegaPixel)
18 MP","Supplied Battery
1 x LP-E8 Battery
AC Adaptor
AC Adaptor Kit ACK-E8",»,"Sensor Type
CMOS Sensor",CMOS Sensor,(4.2 ) (5 ) (4.6 ) (3.2 ) (2.2 ) (3 ),"Maximum Shutter Speed
1/4000sec - 30 sec, X-sync at 1/200 sec",(3 ) (4.8 ) (5 ) (4.6 ) (3.4 ) (3 ),"Digital Zoom
10x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikon Coolpix S9500 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black
External Memory
Yes",Nikon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Micro Connector (Type D)
GPS
No","Dimensions
4.33 x 2.37 x 1.21 Inches
Weight
205 gms","Display Type
OLED Monitor
Screen Size
3 Inches
Image Display Resolution
614000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
Additional Display Features
Anti-reflection Coating, Wide Viewing Angle","Flash Range
Wide : 0.5 - 6.0m, Telephoto : 1.5 - 3.5m
Built in Flash
Yes","Brand
Nikon
Status
Available","Image Format
JPEG (MPO, DCF, EXIF 2.3, DPOF, MPF)
Audio Formats
AAC, WAV
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Nikkor Lens
Auto Focus
Contrast Detection AF
Focal Length
4.5 - 99 mm (35 mm Equivalent to 25 - 550 mm)
Manual Focus
Yes","Inbuilt Memory
23 MB
Memory Card Type
SD, SDHC, SDXC",18 MP,"ISO Rating
ISO 125-1600 / ISO 3200 (Auto Mode)
Self Timer
2 sec, 10 sec
Face Detection
No
Shooting Modes
Auto, Scene, Scene Auto Selector
Metering
Center-Weighted, Matrix, Spot
Exposure Compensation
2 EV in increments of 1/3 EV
Picture Angle
25 mm Wide Angle
Continuous Shots
Up to 5 Shots at 7.5 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual
Aperture Range
f/3.4 - f/6.3 (W)
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
100% Vertical), 12 Elements in 10 Groups (1 ED Lens Element), 18.91 Total MP, 320 x 240 at 24 fps, 3D Photography), 5 Level Brightness Adjustment, 640 x 480 at 120 fps, 98% Vertical), Beach, Black and White Copy, Center, Close-up, Digital Zoom Magnification (2200 mm Lens in 35 mm (135) Format), Dusk / Dawn, Easy Panorama, Exposure Compensation), Exposure Control (Programmed Auto Exposure, Exposure Modes (Programmed Auto), Fireworks Show, Focus Lock, Focus-area Selection (Face Priority, Food, HS: 1280 x 720 at 60 fps, Landscape, Manual with 99 Focus Areas, Min Focus Range: 50 cm (W) - 1.5 m (T), Motion Blur Reduction (Motion Detection (Still Pictures)), Museum, Party / Indoor, Pet Portrait, Playback Mode Monitor Frame Coverage (100% Horizontal, Recording Reslution (HD: 1280 x 720p at 30 fps, Scene Modes (Portrait, Shooting Mode Monitor Frame Coverage (98% Horizontal, Snow, Sports, Subject Tracking, Sunset, Target Finding AF), Voice Memo Function, iFrame: 960 x 540 at 30 fps)",(5 ),"Optical Sensor Resolution (in MegaPixel)
18 MP","Supplied Battery
Rechargeable Li-ion Battery",»,"Sensor Type
CMOS Sensor
Sensor Size
1/2.3 Inches",CMOS Sensor,(4.2 ) (3.2 ) (3.2 ) (4.6 ) (2.2 ),"Maximum Shutter Speed
1/1500 sec
Minimum Shutter Speed
1 sec",(4.8 ) (3.2 ) (3.4 ) (4.6 ) (3 ),"Optical Zoom
22x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canon IXUS 500 HS Point & Shoot Digital Camera Silver Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Silver",Canon,"USB
USB Hi-Speed
HDMI
Yes","Weight
135 gms","Screen Size
3 Inches
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 24 fps","Built in Flash
Yes","Brand
Canon
Status
Available",,"Focal Length
4 - 48 mm (35 mm Equivalent to 28 - 336 mm)",,10.1 MP,"Face Detection
Yes
Metering
Center-Weighted Average, Evaluative, Spot",,"Optical Sensor Resolution (in MegaPixel)
10.1 MP",,»,"Sensor Type
CMOS Sensor",CMOS Sensor,,,,"Optical Zoom
12x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic Lumix DMC-TZ20 Point & Shoot Digital Camera Black Price in India with Offers & Full Specifications | PriceDekho.com,"Color
Black
External Memory
Yes",Panasonic,"USB
Yes
Bluetooth
No","Weight
219 gms","Screen Size
3 Inches
Image Display Resolution
460000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 30 fps","Built in Flash
Yes","Brand
Panasonic","Image Format
JPEG
Video Format
AVCHD, QuickTime Motion JPEG","Lens Type
Leica DC Vario-Elmar
Auto Focus
Yes
Focal Length
4.3 - 68.8 mm (35 mm Equivalent to 24 - 384 mm)
Color Filter
Primary Color",,14.1 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600, High Sensitivity Mode (ISO 1600-6400)
Face Detection
Yes; Photo & Movie
Image Stabilizer
Optical
Metering
Multi
Macro Mode (Exposure Mode)
Yes
Picture Angle
24 mm Ultra Wide Angle
White Balancing
Auto, Daylight, Cloudy, Shade, Incandescent, White Set (Selectable at Portrait, Soft Skin, Transform, Self-Portrait, Panorama Assist, Sports, Baby, Pet, High Sensitivity, Pinhole, Photo Frame, High Dynamic, High Speed Movie)
Microphone
Stereo Microphone
Audio Video Interface (NTSC/PAL)
A/V Output",(7 ),"Optical Sensor Resolution (in MegaPixel)
14.1 MP","Supplied Battery
3.6v, Minimum : 895 mAh, Battery",»,"Sensor Type
MOS Sensor
Sensor Size
1/2.33 Inches",MOS Sensor,(4.2 ) (0 ) (3.2 ) (5 ) (2 ) (2.2 ) (3 ),"Maximum Shutter Speed
1/4000 sec
Minimum Shutter Speed
60 sec",(4.8 ) (0 ) (3.4 ) (5 ) (3 ) (3 ) (3 ),"Optical Zoom
16x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-HX10V Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","External Memory
Yes
Color
Black",Sony,"USB
Yes
HDMI
Yes
GPS
No
Bluetooth
No","Dimensions
4.12 x 2.35 x 1.33 Inches
Weight
204 gms","Display Type
XtraFine LCD
Screen Size
3 Inches
Image Display Resolution
921600 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)
Supported Aspect Ratio
16:9, 4:3","Flash Modes
Auto, Slow Sync Flash
Flash Range
(ISO) : Wide : 0.25 - 5.3m, Telephoto : 1.2 - 2.9m, (ISO 3200) : Wide : 8m
Built in Flash
Yes","Brand
Sony","Image Format
JPEG (DCF, DPOF)
Audio Formats
AC3
Video Format
AVC, AVCHD, MP4","Lens Type
Sony G Lens
Auto Focus
Contrast Detection AF
Focal Length
4.28 - 68.48 mm (35 mm Equivalent to 24 - 384 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Inbuilt Memory
58 MB
Memory Card Type
Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO HG Duo, Memory Stick micro, Memory Stick micro (Mark2), SD, SDHC, SDXC, microSD, microSDHC",18.2 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
3D, Background Defocus, Easy Shooting, Intelligent Auto, Intelligent Sweep Panorama, Manual Exposure, Movie Mode, Panorama, Picture Effect, Program Auto, Scene Selection, Superior Auto
Delete Function
Yes
Metering
Center-Weighted, Multi Pattern, Spot
Macro Mode (Exposure Mode)
5 cm (W), 120 cm (T), Minimum iAuto AF : 5 cm (W), 120 cm (T)
Red Eye Reduction
Yes
Picture Angle
24 mm Wide Angle
Continuous Shots
Up to 10 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set
Supported Languages
19 Languages
Microphone
Stereo Microphone
Additional Features
1/3 EC Step, 32x Clear Image Zoom, 3D Still Image, 3D Sweep Multi Angle, Adult Priority, Advanced Sports Shooting, Anti Motion Blur, Auto Focus Illuminator, Auto Macro, Backlight Correction HDR, Battery Life: 340 Shot, Beach, Bionz Image Processor, Blur Free Photos, Center Weighted AF, Child Priority, Compass, Face Detection: Auto, Face Tracking Focus), Fierworks, Flash Mode: Auto, Flash Off, Flash On, Flexible Spot AF(Tracking Focus, Focus Mode: Multi Point AF, Full HD Movies, GPS Log Function, Gourmet, Handheld Twilight, High Speed Auto Focus, Illustration, LCD Brightness Setting, Landscape, Maximum 8 Number Detectable Faces, Miniature, Night Portrait, Night Scene, Off, Patial Colour, Pet, Photo Creativity(9 Picture Effects Included), Picture Effect: HDR Painting, Pop Colour, Rich-tone Monochrome, Scene Mode: High Sensitivity, Slow Synchro, Snow, Soft Hight Key, Soft Skin, Soft Snap, Spot AF, Standard Dynamic Range Optimiser, Steadyshot Inside Camera, Top Camera, Water Colour",(6 ),"Optical Sensor Resolution (in MegaPixel)
18.2 MP","Supplied Battery
Rechargeable Li-ion Battery (NP-BG1)
AC Adaptor
AC Adaptor Supported",»,"Sensor Type
Exmor R CMOS Sensor
Sensor Size
1/2.3 Inches",Exmor R CMOS Sensor,(0 ) (3.2 ) (3.6 ) (5 ) (3 ) (4.2 ),"Maximum Shutter Speed
1/1600 sec
Minimum Shutter Speed
30 sec",(4.8 ) (0 ) (3.4 ) (3.4 ) (5 ) (3 ),"Optical Zoom
16x
Digital Zoom
40x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony Cyber-shot DSC-WX50 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Sony,"USB
USB 2.0 Hi-Speed
HDMI
Yes; HDMI Mini Connector
GPS
No
Bluetooth
No","Dimensions
148.2 x 110.7 x 73.5 mm
Weight
101 gms","Display Type
Clear Photo TFT LCD
Screen Size
2.7 Inches
Image Display Resolution
460800 dots
Video Display Resolution
1920 x 1080 pixels (Full HD)
Supported Aspect Ratio
16:9, 4:3","Flash Modes
Auto, Slow Sync Flash
Flash Range
(ISO Auto) : Wide : 0.2 - 5.3m, Telephoto : 1.0 - 2.2m, (ISO 3200) : Wide : 7.5m, Telephoto : 3.2m
Built in Flash
Yes","Brand
Sony
Status
Available","Image Format
JPEG (EXIF 2.3, DCF 2.0, DPOF, MPO (3D), MPF (3D))
Audio Formats
AAC-LC
Video Format
AVC, AVCHD 2.0, H.264, MPEG-4","Auto Focus
Contrast Detection AF
Focal Length
4.5 - 22.5 mm (35 mm Equivalent to 25 - 125 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Inbuilt Memory
19 MB
Memory Card Type
Memory Stick Duo, Memory Stick PRO Duo, Memory Stick PRO Duo (High Speed), Memory Stick PRO HG Duo, Memory Stick micro, Memory Stick micro (Mark2), SD, SDHC, SDXC, microSD, microSDHC",16.2 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
3D, Background Defocus, Easy Shooting, Intelligent Auto, Intelligent Sweep Panorama, Movie Mode, Panorama, Picture Effect, Program Auto, Scene Selection, Superior Auto, Underwater Sweep Panorama
Delete Function
Yes
Image Stabilizer
Optical
Metering
Center-Weighted, Multi Pattern, Spot
Macro Mode (Exposure Mode)
5 cm
Red Eye Reduction
Yes
Picture Angle
25 mm Wide Angle
Continuous Shots
Up to 10 fps
White Balancing
Auto, Cloudy, Daylight, Flash, Fluorescent, Incandescent, One Push, One Push Set
Supported Languages
19 Languages
Aperture Range
f/2.6 - f/6.3
Microphone
Stereo Microphone",(4 ),"Optical Sensor Resolution (in MegaPixel)
16.2 MP","Supplied Battery
Rechargeable Li-ion Battery (NP-BN)
AC Adaptor
AC Adaptor Supported",»,"Sensor Type
Exmor R CMOS Sensor
Sensor Size
1/2.3 Inches",Exmor R CMOS Sensor,(3.2 ) (3.6 ) (4.2 ) (2 ),"Maximum Shutter Speed
1/ 1600 sec
Minimum Shutter Speed
4 sec",(3.2 ) (3.4 ) (4.8 ) (3 ),"Optical Zoom
5x
Digital Zoom
20x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon EOS 700D DSLR Kit EF-S18-55mm IS STM Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black
External Memory
Yes",Canon,"USB
USB Hi-Speed
HDMI
Yes; HDMI Mini Connector","Weight
525 gms","Display Type
Liquid Crystal TFT
Screen Size
3 Inches
Image Display Resolution
1040000 dots
Video Display Resolution
1920 x 1080 pixels (Full HD) @ 30 fps
ViewFinder
Eye-level Pentamirror","Flash Modes
Auto, Manual Flash
Built in Flash
Yes","Brand
Canon","Image Format
JPEG (RAW, DCF 2.0, DPOF 1.1, EXIF 2.3)
Video Format
AVC, H.264, MOV, MPEG-4","Lens Type
Canon EF (Including EF-S Lens)
Focal Length
18 - 55 mm
Color Filter
Primary (RGB) Color Filter","Memory Card Type
SD, SDHC, SDXC (UHS-I)",18 MP,"ISO Rating
Auto / ISO 100-6400 / ISO 100-12800
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Aperture Priority, Close-Up, Creative Auto, Handheld Night Scene, HDR Backlight Control, Landscape, Manual (Stills & Movie), Night Portrait, No Flash, Portrait, Program, Scene Intelligent Auto, Shutter Priority, Sports
Metering
63-zone TTL Full Aperture, Center-Weighted, Evaluative, Partial, Spot
Continuous Shots
Up to 5 fps
White Balancing
Auto, Cloudy, Custom, Daylight, Flash, Shade, Tungsten, White Fluorescent
Supported Languages
25 Languages
Microphone
Stereo Microphone
Sync Terminal
1/200 Sec
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)
Additional Features
0.85x Magnification, 18.5 MP Total Pixels, 19 mm Eyepoint, AF Assist Beam, AF Lock, AF Modes, AF Point Selection (Automatic Selection, AF System / Points: 9 Cross-type AF Points (f/2.8 at Centre), AF Working Range: EV -0.5 -18 (23 C and ISO100), AI Focus, AI Servo, Built-in and Fixed Low-pass Filter, Coating Solid , Coverage (Vertical / Horizontal): 95%, DIGIC 5 Image Processor, Depth of Field Preview, Dioptre Correction: -3 to +1 m-1, Electronically-controlled Focal-plane Shutter, Exposure Compensation: +/-5 EV in increments of 1/3 or 1/2, Eyepiece Shutter), Focusing Screen: Fixed Mirror Quick-return Half Mirror, LCD Monitor (100% Coverage, Lens Mount EF / EF-S, Manual Selection), Metering Range EV 1 - 20 (23 C with 50 mm f/1.4 Lens ISO100), One Shot, Predictive AF upto 10 m, Selected AF Point Display (Superimposed in Viewfinder and Indicated on LCD Monitor), Sensor Cleaning EOS Integrated Cleaning System, Viewfinder (Pentamirror, Viewing Angle (Horizontally / Vertically) 170",,"Optical Sensor Resolution (in MegaPixel)
18 MP","Supplied Battery
Rechargeable Li-ion Battery
AC Adaptor
AC Adaptor Kit ACK-E8",»,"Sensor Type
CMOS Sensor
Sensor Size
22.3 x 14.9 mm",CMOS Sensor,,"Maximum Shutter Speed
1/4000 sec
Minimum Shutter Speed
30 sec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon ELPH 150 IS Blue Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB 2.0
HDMI
No","Dimensions
3.74 x 2.24 x 0.94 Inches
Weight
142 gms","Screen Size
2.7 Inches
ViewFinder
Pentamirror, Built-in diopter adjustment (-3 to +1 m-)",,"Brand
Canon
Announced
2014, February
Status
Coming Soon",,"Auto Focus
Yes
Focal Length
28 - 224 mm",,20 MP,"Self Timer
2 sec, 5 sec, 10 sec, 20 sec
Face Detection
Yes
White Balancing
Auto 1, Auto 2, Cloudy, Daylight, Flash, Fluorescent, Incandescent, Manual
Dust Reduction
Yes",,"Optical Sensor Resolution (in MegaPixel)
20 MP","Supplied Battery
Li-ion Battery (NB-11L)
AC Adaptor
AC Adaptor EH-5B",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,,"Maximum Shutter Speed
1/8000 Sec
Minimum Shutter Speed
30 sec",,"Optical Zoom
10x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung ST200F Point & Shoot Price in India with Offers & Full Specifications | PriceDekho.com,"External Memory
Yes
Color
Black",Samsung,"USB
USB 2.0 Hi-Speed
Bluetooth
No","Weight
142.3 gms","Screen Size
3 Inches","Flash Modes
Auto, Fill-in, Slow Sync Flash
Flash Range
(ISO Auto) : Wide : 0.3 - 3.6m, Telephoto : 0.5 - 2m
Built in Flash
Yes","Brand
Samsung","Image Format
JPEG
Video Format
AVC, MPEG-4",,,16.1 MP,"ISO Rating
Auto / 80 / 100 / 200 / 400 / 800 / 1600 / 3200
Face Detection
Yes
Image Stabilizer
Optical
Metering
Centre Weighted, Face Detection AE, Multi, Spot
Red Eye Reduction
Yes
White Balancing
Auto, Cloudy, Custom, Daylight, Fluorescent-H, Fluorescent-L, Tungsten
Aperture Range
f/3.1 (W) - f/5.6 (T)
Microphone
Monaural Microphone",(7 ),"Optical Sensor Resolution (in MegaPixel)
16.1 MP","Supplied Battery
Rechargeable 850 mAh Battery (BP-85A)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(3 ) (4.2 ) (0 ) (5 ) (3.2 ) (3.2 ) (2.2 ),,(3 ) (4.8 ) (0 ) (5 ) (3.2 ) (3.4 ) (3 ),"Optical Zoom
10x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canon PowerShot A2400 IS Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black",Canon,"USB
USB 2.0 Hi-Speed
HDMI
No
Bluetooth
No
GPS
No","Dimensions
108.7 x 62.3 x 30.6 mm
Weight
110 gms","Screen Size
2.7 Inches
Image Display Resolution
230000 dots
Video Display Resolution
1280 x 720 pixels (HD) @ 24 fps
Supported Aspect Ratio
04:03","Flash Modes
Auto, Slow Sync Flash
Flash Range
Wide : 0.5 - 3.0m, Telephoto : 1.0 - 2.0m
Built in Flash
Yes
External Flash
Yes","Brand
Canon
Status
Available","Image Format
JPEG (EXIF 2.3, DCF, DPOF 1.1)
Video Format
H.264, MOV","Auto Focus
TTL Auto Focus
Focal Length
5 - 25 mm (35 mm Equivalent to 28 - 140 mm)
Color Filter
Primary (RGB) Color Filter","Upgradeable Memory
Yes
Memory Card Type
SD, SDHC, SDXC",16 MP,"ISO Rating
Auto / 100 / 200 / 400 / 800 / 1600
Self Timer
2 sec, 10 sec
Face Detection
Yes
Shooting Modes
Program, Smart Auto (32 Scenes Detected)
Delete Function
Yes
Image Stabilizer
Lens Shift Type
Metering
Center-Weighted Average, Evaluative, Spot
Macro Mode (Exposure Mode)
3 - 60 cm (W)
Red Eye Reduction
Yes
Picture Angle
28 mm Wide Angle
Continuous Shots
Up to 0.8 fps (Program Mode), 2.8 fps (Low Light Mode)
White Balancing
Auto, Cloudy, Custom, Day Light, Fluorescent, Fluorescent-H, Tungsten
Supported Languages
29 Languages
Aperture Range
f/2.8 - f/6.9
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
Analog Video Output (NTSC or Pal)",(8 ),"Optical Sensor Resolution (in MegaPixel)
16 MP","Supplied Battery
Rechargeable Li-ion Battery (NB-11L)
AC Adaptor
Power Adaptor CA-DC 10 (Included with AC Adaptor Kit ACK-DC90)",»,"Sensor Type
CCD Sensor
Sensor Size
1/2.3 Inches",CCD Sensor,(4.2 ) (3.2 ) (5 ) (4.6 ) (3 ) (0 ) (3.6 ) (2.2 ),"Maximum Shutter Speed
1/2000 sec
Minimum Shutter Speed
15 sec",(4.8 ) (3.4 ) (5 ) (4.6 ) (3 ) (0 ) (3.4 ) (3 ),"Optical Zoom
5x
Digital Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olympus XZ-1 Point & Shoot Digital Camera Black Price in India with Offers, Reviews & Full Specifications | PriceDekho.com","Color
Black
External Memory
Yes",Olympus,"USB
USB 2.0
HDMI
Yes; HDMI Micro Connector (Type D)
Bluetooth
No","Weight
275 gms","Screen Size
3 Inches
Supported Aspect Ratio
16:9, 3:2, 4:3, 6:6","Flash Modes
Pop-Up Flash
Flash Range
(ISO 800) : Wide : 0.5 - 8.6m, Telephoto : 0.3 - 6.2m
Built in Flash
Yes","Brand
Olympus","Image Format
JPEG (RAW)
Video Format
AVI Motion JPEG","Auto Focus
Yes
Focal Length
6 - 24 mm (35 mm Equivalent to 28 - 112 mm)",,10.0,"ISO Rating
Auto: (ISO (100-800), Manual: ISO (100-6400)
Self Timer
2 sec, 12 sec
Face Detection
Yes
Image Stabilizer
Digital
Metering
Centre-Weighted , ESP Light, Spot
Exposure Compensation
1/3 EV Steps, +/-2.0 EV
Red Eye Reduction
Yes
Continuous Shots
Up to 2 fps in Sequential 7 fps in High-Speed1 15fps in High-Speed2
White Balancing
Flash, Fluorescent-1, Fluorescent-2, Overcast, Shade, Sunlight, Tungsten, Under Water Auto
Supported Languages
39 Lanuages (Arabic, Bulgarian, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Lithuanian, Malay, Norwegian, Persian, Polish, Portuguese (BR + PT), Romanian, Russian, Serbian, Simple Chinese, Slovak, Slovenian, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese)
Aperture Range
f/1.8 - 2.5
Microphone
Monaural Microphone
Audio Video Interface (NTSC/PAL)
A/V Output (NTSC or PAL)",(10 ),"Optical Sensor Resolution (in MegaPixel)
10.0","Supplied Battery
Li-ion Battery (LI-50B)
AC Adaptor
AC Adaptor Supported (Optional)",»,"Sensor Type
CCD Sensor
Sensor Size
1/1.63 Inches",CCD Sensor,(3.2 ) (0 ) (0 ) (5 ) (4.2 ) (4.6 ) (3 ) (2.2 ) (3.6 ) (3.2 ),,(3.4 ) (0 ) (0 ) (5 ) (4.8 ) (4.6 ) (3 ) (3 ) (3.4 ) (3.2 ),"Optical Zoom
4x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
