id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated
14208985,a5ae4115-4a3c-3591-9cbc-7214e02048bd,14591262,1288726,9,9,Номерок,420346,193400,0,2013-02-14 11:40:11.875616+01
14208986,8ae5f666-3ad9-3e81-8e28-0efb28089b60,14591263,1288726,10,10,"Ре, ля",420346,230800,0,2013-02-14 11:40:11.875616+01
14208988,a105aee8-10e2-38a9-a977-630ff628eeb7,14591265,1288726,12,12,Другу,420346,231080,0,2013-02-14 11:40:11.875616+01
13262114,c791bfde-4701-32c8-bb3b-8c3247991323,829408,1223843,15,15,Pure Morning,1965,,0,2013-08-25 11:02:56.01172+02
13277695,4e490854-fa3b-328f-b4a0-0cd97008c8ee,8342031,921774,5,5,Gemeinsam,69475,339493,0,2013-09-26 19:01:02.100452+02
1671421,d29cbb78-1add-35d9-b781-7ba26f57bd85,1975921,462796,1,1,Rosen,632902,234666,0,2011-05-16 18:08:20.288158+02
1671425,32b9c4ca-e571-3af8-89a8-82958c8156a2,1975925,462796,5,5,Om du ännu kan känna,632902,270400,0,2011-05-16 18:08:20.288158+02
1671435,9a5e1d15-d18c-38ef-bff5-be9592ce15c7,1975935,462796,15,15,Vad får ett hjärta att slå?,632902,178093,0,2011-05-16 18:08:20.288158+02
4075987,0a24090e-c900-3a74-b086-46743d05c298,4981524,971720,1,1,Canon,32474,299840,0,2011-05-16 18:08:20.288158+02
4075997,b9b319ff-478f-3187-9a15-886f5d5920e6,4981534,971720,11,11,"Symphony No. 41 in C major, K. 551 ""Jupiter""",11285,497040,0,2011-05-16 18:08:20.288158+02
5821885,33b6d2a5-efcf-30e3-9b0d-1c370b29bbcb,7032615,279680,3,3,Le cimetière des eléphants,346598,287213,0,2011-05-16 18:08:20.288158+02
6765225,3cd64291-01d5-365d-906c-0d9ff0acbd7a,8049280,394442,2,2,Taboodub,126976,345000,0,2011-05-16 18:08:20.288158+02
7314632,c5772a63-0d12-3f85-806e-4343f6c0d90c,8637608,461588,1,1,ときめきましょう,570716,313000,0,2011-05-16 18:08:20.288158+02
7314635,7bc94f1c-8213-3d89-adc8-e397e41d9424,8637611,461588,4,4,夢たちのシンフォニー,570716,361000,0,2011-05-16 18:08:20.288158+02
7314638,989584c8-0fd5-376b-b8b5-221ea0a9753e,8637614,461588,7,7,Psychokinesis,570716,390000,0,2011-05-16 18:08:20.288158+02
7314641,fb23778c-e572-36ba-b2b7-a6f1ed096f9e,8637617,461588,10,10,晩夏,570716,294000,0,2011-05-16 18:08:20.288158+02
8014437,a4000a57-4fad-35e4-a8c9-0842fa2052cb,9391386,543345,3,3,Girl From the North Country,620257,198000,0,2011-05-16 18:08:20.288158+02
8014438,20eba54b-498f-3a3b-be17-3008f81036ce,9391387,543345,4,4,Worst Country Ever,620257,160000,0,2011-05-16 18:08:20.288158+02
13260803,bfed3abb-4bdb-3492-a986-8f10ba087f54,13994834,1223842,5,5,Cat Scratch Fever,21724,,0,2012-09-17 14:40:41.08718+02
13260805,c2305c6a-64db-38a5-bec3-ed9c3c368038,13994836,1223842,7,7,Keep Your Hands to Yourself,95306,,0,2012-09-17 14:40:41.08718+02
13260806,01f86a67-552d-3b1c-81e6-4c2ba6270e20,13994837,1223842,8,8,Let's Stick Together,310,,0,2012-09-17 14:40:41.08718+02
13260809,7aee9202-493c-3306-ac58-e1932f766d64,13994840,1223842,11,11,Hot Blooded,1436,,0,2012-09-17 14:40:41.08718+02
13260813,e572e995-d288-3bc4-a736-b677bd9969c2,13994844,1223842,15,15,Who Can It Be Now?,2632,,0,2012-09-17 14:40:41.08718+02
13260815,029f9b01-a889-3795-8252-945f7706ff5b,13994846,1223842,17,17,Dreams of Ordinary Men,56851,,0,2012-09-17 14:40:41.08718+02
13262113,0e4000ee-952e-3b0e-aa07-4871b70580e8,13994863,1223843,14,14,Cult of Personality,1120,,0,2012-09-17 19:07:28.674076+02
13262116,c18e9742-a368-3916-96bc-ac4f068d8a50,13994866,1223843,17,17,Blue on Black,189237,,0,2012-09-17 19:07:28.674076+02
13277697,5e0ce7dc-78fe-3580-9d94-2e3b9f865312,2858672,921774,7,7,Ich hab Deine Liebe überlebt,69475,237000,0,2012-09-20 10:00:09.596283+02
13277703,039c312b-264e-3bbc-9477-aa64297e9b1e,2858678,921774,13,13,Bis ans Ende der Welt (Lange Version),69475,371000,0,2012-09-20 10:00:09.596283+02
14208978,b0777e7c-564b-3e01-a069-3d1c4a4b1be0,14591255,1288726,2,2,Принцесса,420346,251680,0,2013-02-14 11:40:11.875616+01
14208981,6dbe8468-3e03-3749-b7f5-3b4ea2d9d819,14591258,1288726,5,5,Больно,420346,273373,0,2013-02-14 11:40:11.875616+01
14208983,2bcce0e0-fb85-32b0-8aa5-264e8c2cfc81,14591260,1288726,7,7,Ехал ко мне друг,420346,243093,0,2013-02-14 11:40:11.875616+01
14208987,48c22ca3-f552-3b2c-9c84-5395f5e6d28c,14591264,1288726,11,11,Виски,420346,299333,0,2013-02-14 11:40:11.875616+01
14208989,d1747366-ea0d-3010-a584-c1ddc1e68c1f,14591266,1288726,13,13,Ленточка,420346,221693,0,2013-02-14 11:40:11.875616+01
1671423,dbd5e708-1f3a-360d-98b3-9e23b43f507b,1975923,462796,3,3,Kärleken förde oss samman,632902,225760,0,2011-05-16 18:08:20.288158+02
1671427,a78d81e1-2371-3abc-a911-3f7eda5e0ff5,1975927,462796,7,7,Himmelen så hög,632902,242533,0,2011-05-16 18:08:20.288158+02
1671429,a9efa4e2-aaaa-3181-936c-8022116e513d,1975929,462796,9,9,Var kommer barnen in,632902,282333,0,2011-05-16 18:08:20.288158+02
1671433,58bd50b4-0f13-381e-8dc4-ad892c2f26d0,1975933,462796,13,13,Flickan och kråkan,632902,311506,0,2011-05-16 18:08:20.288158+02
1671437,0976380b-981e-35b4-a43a-1f569da99ec0,1975937,462796,17,17,The end,632902,275800,0,2011-05-16 18:08:20.288158+02
2998199,0ef42d6d-dc89-38ca-b5a7-374c3909d441,3610240,905582,5,5,This Life,218850,255440,0,2011-05-16 18:08:20.288158+02
2998200,d0aae2c2-26e4-37bc-a711-55f45fbe935a,3610241,905582,6,6,TV Killed Me,218850,236066,0,2011-05-16 18:08:20.288158+02
4075991,573dcd04-1007-3616-a1ea-7e1538c37127,4981528,971720,5,5,Pavane,10342,376946,0,2011-05-16 18:08:20.288158+02
4075993,fb0a0b39-982f-33ce-bb76-76f44ec4d57e,3276622,971720,7,7,Minuet,44563,235266,0,2013-03-29 19:00:21.611635+01
4075994,41ae6148-7450-3c8e-ac41-230c37387d43,4981531,971720,8,8,"Jesu, Joy of Man's Desiring",2327,314213,0,2011-05-16 18:08:20.288158+02
4075995,755f3c03-c604-367d-a240-6bd162387998,4981532,971720,9,9,Adagio in G Minor,24245,465440,0,2011-05-16 18:08:20.288158+02
5821886,84a89e29-976c-3602-a401-e6161c0e4fea,7032616,279680,4,4,Ev.Panic (Venetian Snares 3rd X Thru 3v3rything remix),346598,202786,0,2011-05-16 18:08:20.288158+02
6765224,d2fe8be7-2962-35af-a521-b3b36efbf11c,8049279,394442,1,1,Taboos,126976,345000,0,2011-05-16 18:08:20.288158+02
7314642,f137f30b-5f1a-31b2-96a3-a9c702169a0f,8637618,461588,11,11,Naked,570716,376000,0,2011-05-16 18:08:20.288158+02
8014436,c66bca6d-60a9-3e91-9a0f-1c10d64e0dc2,9391385,543345,2,2,"Hey Father, Yes Son",620257,200000,0,2011-05-16 18:08:20.288158+02
13260808,09b7cc03-e6fa-3a67-99dc-81f181605a80,13994839,1223842,10,10,Just What I Needed,1434,,0,2012-09-17 14:40:41.08718+02
13260810,62b62baa-d415-3d97-881e-960bb9e6d874,13994841,1223842,12,12,I See Red (live),9061,,0,2012-09-17 14:40:41.08718+02
13260817,9f2bf95f-c275-3487-bcdb-64211f378213,13994848,1223842,19,19,Dogs Are Talking,35460,,0,2012-09-17 14:40:41.08718+02
13262100,7e771247-f97f-317a-8f07-8687d26f0667,13994850,1223843,1,1,When You Were Young,146720,,0,2012-09-17 19:07:28.674076+02
13262103,1b8bab6a-151d-3b1a-bd95-1116a9bcc707,13994853,1223843,4,4,Runnin' Wild,438599,,0,2012-09-17 19:07:28.674076+02
13262104,35b49ae0-b086-3652-abbc-82f5b560285b,13994854,1223843,5,5,White Noise,9235,,0,2012-09-17 19:07:28.674076+02
13262105,53a75049-bedd-3683-9931-c26277f363f0,13994855,1223843,6,6,"Black Fingernails, Red Wine",38831,,0,2012-09-17 19:07:28.674076+02
13262108,d722c9c5-595e-3cd3-ae36-119a2818eed2,13994858,1223843,9,9,Renegade Fighter,57154,,0,2012-09-17 19:07:28.674076+02
13262118,e16c325e-13a5-33b5-80e4-85a615172be1,13994868,1223843,19,19,Say It Ain't So,446,,0,2012-09-17 19:07:28.674076+02
13277699,c85b6f22-2ee2-3966-ba41-6bc2fbf4afc8,2858674,921774,9,9,Vermißt,69475,218306,0,2012-09-20 10:00:09.596283+02
13277700,65cfb31a-d61c-3e46-9bf6-2493a953a239,2858675,921774,10,10,Auf Deinem Weg,69475,274626,0,2012-09-20 10:00:09.596283+02
14208977,1e5672cb-cdac-37f3-9a2b-f969d60fde7c,14591254,1288726,1,1,Где была,420346,171187,0,2013-02-14 11:40:11.875616+01
14208982,4ee7a6df-ae6b-3a58-b217-eb10991879e7,14591259,1288726,6,6,По моей щеке,420346,157333,0,2013-02-14 11:40:11.875616+01
1671422,a4a2fa93-40fb-3754-8b7d-09d9c0649dcd,1975922,462796,2,2,Tidvatten,632902,226200,0,2011-05-16 18:08:20.288158+02
1671431,e8f7daba-00d1-32e4-9fcb-8635bc5895cb,1975931,462796,11,11,Vargarnas vår,632902,300640,0,2011-05-16 18:08:20.288158+02
1671432,90d1f3b5-ef28-3337-9797-941a637dd654,1975932,462796,12,12,Man av sten,632902,213226,0,2011-05-16 18:08:20.288158+02
2998196,2d4e7a92-2a05-3f5e-8b33-cd2d7f66383d,3610237,905582,2,2,When I Leave You,218850,164346,0,2011-05-16 18:08:20.288158+02
2998197,0f6d1035-0295-3386-aba7-67ba60c6b08a,3610238,905582,3,3,Down In It,218850,251973,0,2011-05-16 18:08:20.288158+02
2998198,7cf50a08-ad5e-30ad-8aaa-59138bcc204e,3610239,905582,4,4,Drown,218850,230120,0,2011-05-16 18:08:20.288158+02
2998202,ac8a7291-e937-30cb-814b-67b1dc53efa4,3610243,905582,8,8,"Seconds, Minutes, Hours",218850,264000,0,2011-05-16 18:08:20.288158+02
4075988,5a244e2f-ccb9-3bae-afad-906505ee1e54,4981525,971720,2,2,"Eine kleine Nachtmusik, K. 525",11285,346946,0,2011-05-16 18:08:20.288158+02
4075989,d4c7541c-4fe3-3941-9e2e-b8267990a87c,4981526,971720,3,3,Air on the G String,2327,210040,0,2011-05-16 18:08:20.288158+02
4075990,f5fe76a0-a202-3ee6-ad5b-95ecf7363359,4981527,971720,4,4,Andante Cantabile,122653,376973,0,2011-05-16 18:08:20.288158+02
4075992,25e2b554-8f57-3b65-858a-b0d132e62bff,4981529,971720,6,6,Air (From Water Music),73502,435120,0,2011-05-16 18:08:20.288158+02
5821883,6aa4d84c-50d3-3fd0-882f-5d10c3acaf9a,7032613,279680,1,1,Ev.Panic,346598,234560,0,2011-05-16 18:08:20.288158+02
5821887,cdcdf90e-ccc6-3153-b696-c7040aae79b7,7032617,279680,5,5,Mother Slug,346598,220666,0,2011-05-16 18:08:20.288158+02
5821888,d95cf908-05c1-3f27-a224-d8857f2c8498,7032618,279680,6,6,Ev.Panic (Ev.Terror edit),346598,254000,0,2011-05-16 18:08:20.288158+02
7314633,98f088b1-a696-3e10-a291-ca2ddefb73f5,8637609,461588,2,2,未来はきっと眩しいワ,570716,254000,0,2011-05-16 18:08:20.288158+02
7314634,0d1c5b10-a598-3ceb-99e8-bced8a644267,8637610,461588,3,3,曖昧な太陽,570716,229000,0,2011-05-16 18:08:20.288158+02
7314636,04f386b9-0a7d-3791-9b11-e5f11364bf5d,8637612,461588,5,5,luv computer,570716,330000,0,2011-05-16 18:08:20.288158+02
7314640,917fbb74-8e89-370f-9e1b-6c6f9808a1fb,8637616,461588,9,9,ジェラスの海,570716,312000,0,2011-05-16 18:08:20.288158+02
8014440,a94643d4-e807-3117-a2a9-be809e05f827,9391389,543345,6,6,Fire Water,620257,310000,0,2011-05-16 18:08:20.288158+02
13260800,15a4a211-79c7-3139-98d7-8f1fb9dc7bef,13994831,1223842,2,2,I'm Eighteen,182,,0,2012-09-17 14:40:41.08718+02
13260802,9ad453d2-737d-3d62-ac34-36cf449466fe,13994833,1223842,4,4,Tush,2735,,0,2012-09-17 14:40:41.08718+02
13260804,104edb43-3f3b-3219-aec2-dc6922caccba,13994835,1223842,6,6,Devil Gate Drive,31429,,0,2012-09-17 14:40:41.08718+02
13260816,34c54207-8920-3d69-8a60-def972deada5,13994847,1223842,18,18,Lay Down Your Guns,31044,,0,2012-09-17 14:40:41.08718+02
13262101,429893d4-2a94-34bd-91c1-c0534640b228,13994851,1223843,2,2,Life Is Beautiful,455460,,0,2012-09-17 19:07:28.674076+02
13262106,da67623e-94b1-38a4-9afe-2ad960f892da,13994856,1223843,7,7,How Is the Air Up There?,1052069,,0,2012-09-17 19:07:28.674076+02
13262107,df201845-1bde-3e13-a070-61fa85b05e6c,13994857,1223843,8,8,Sweet December,363984,,0,2012-09-17 19:07:28.674076+02
13262110,800878ef-8584-3db5-8d03-91d8c32c5436,13994860,1223843,11,11,No One Knows,11783,,0,2012-09-17 19:07:28.674076+02
13262111,8fcb23aa-44b2-33f8-9a87-d25c55a467e3,13994861,1223843,12,12,Spoonman,1111,,0,2012-09-17 19:07:28.674076+02
13262119,6ef02ee6-f0b0-3993-82ae-c2b4fc68f495,13994869,1223843,20,20,He's a Rocker,37430,,0,2012-09-17 19:07:28.674076+02
13277691,5f0fe5a7-866c-3dbd-9d54-436e622d6b1d,2858666,921774,1,1,Alles ein Traum,69475,266000,0,2012-09-20 10:00:09.596283+02
13277692,6f407b74-b21b-3de2-99b0-9422dbc5e059,2858667,921774,2,2,Bis ans Ende der Welt,69475,288000,0,2012-09-20 10:00:09.596283+02
13277701,c7f69b8f-fd1e-3028-96b8-d818ce699126,2858676,921774,11,11,Solche Tage,69475,259733,0,2012-09-20 10:00:09.596283+02
14208990,dd9eeac3-2916-33f2-a171-e57a47fbb676,14591267,1288726,14,14,Мамочка,420346,201707,0,2013-02-14 11:40:11.875616+01
