id,artist,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
128462,32474,ヨハン・パッヘルベル,ja_JP,0,2013-01-17 16:00:17.651516+01,1,ヨハン・パッヘルベル,,,,,,,t,f
17911,1,Various Celtic Artists,en,0,2013-09-18 22:03:10.347486+02,,Various Celtic Artists,,,,,,,f,f
26718,1,Varoius Artists,,0,2012-07-03 00:24:18.27098+02,3,Varoius Artists,,,,,,,f,f
4888,1,VariousArtist,,0,2012-07-03 00:24:58.846018+02,3,VariousArtist,,,,,,,f,f
10904,1,Various Composers,en,0,2013-09-18 22:03:10.347486+02,,Various Composers,,,,,,,f,f
128455,10342,ガブリエル・フォーレ,ja_JP,0,2013-01-17 15:00:11.296503+01,1,ガブリエル・フォーレ,,,,,,,t,f
4916,1,Variuos,,0,2012-07-03 00:25:01.772655+02,3,Variuos,,,,,,,f,f
26752,1,Variuos Artists,,0,2012-07-03 00:25:06.010763+02,3,Variuos Artists,,,,,,,f,f
17772,1,Varius,,0,2012-07-03 00:25:09.494158+02,3,Varius,,,,,,,f,f
4122,1,Varius Artists,,0,2012-07-03 00:25:14.371911+02,3,Varius Artists,,,,,,,f,f
72033,1,群星,zh,0,2012-10-07 13:42:00.751879+02,,群星,,,,,,,t,f
1522,1,Varoius,,0,2012-07-03 00:25:16.926051+02,3,Varoius,,,,,,,f,f
15327,1,Verious,,0,2012-07-03 00:25:21.616292+02,3,Verious,,,,,,,f,f
121557,1,合輯,zh_Hant,0,2012-07-10 10:12:56.432573+02,,合輯,,,,,,,f,f
15617,1,Various Arists,,0,2012-07-03 00:25:51.332273+02,3,Various Arists,,,,,,,f,f
122229,44563,Luigi Boccerini,,0,2012-07-23 20:10:07.203418+02,,Luigi Boccerini,,,,,,,f,f
134341,1,VV AA,,0,2013-05-28 21:49:40.432856+02,3,VV AA,,,,,,,f,f
105049,122653,Piotr Czajkowski,pl,0,2013-07-30 18:31:47.299405+02,1,"Czajkowski, Piotr",,,,,,,t,f
77822,122653,Pjotr Iljitsch Tschaikowski,de,0,2012-06-19 16:05:48.859691+02,1,"Tschaikowski, Pjotr Iljitsch",,,,,,,t,f
119635,56851,Hunter,,0,2012-05-22 08:09:58.160492+02,,Hunter,,,,,,,f,f
132540,73502,Georg-Friedrich Händel,,0,2013-04-16 00:03:51.927845+02,,Georg-Friedrich Händel,,,,,,,f,f
132538,11285,Wolfgang Anadeus Mozart,,0,2013-04-16 00:03:26.978518+02,,Wolfgang Anadeus Mozart,,,,,,,f,f
132647,37472,CW Gluck,,0,2013-04-19 21:01:49.736209+02,,CW Gluck,,,,,,,f,f
132648,73502,GF Haendel,,0,2013-04-19 21:01:51.785798+02,,GF Haendel,,,,,,,f,f
132685,189237,Kenny Wayne Brobst,,0,2013-04-28 01:00:20.345459+02,,"Brobst, Kenny Wayne",,,,,,,f,f
130402,44563,Ridolfo Luigi Boccherini,en,0,2013-02-24 07:00:35.29149+01,2,"Boccherini, Ridolfo Luigi",,,,,,,f,f
131573,2327,バッハ,,0,2013-03-19 16:00:19.09962+01,,バッハ,,,,,,,f,f
101965,11285,Volfgangs Amadejs Mocarts,lv,0,2013-04-01 15:25:23.107879+02,1,"Mocarts, Volfgangs Amadejs",,,,,,,t,f
9726,11285,W.A. Mozart,,0,2013-04-01 15:22:30.638199+02,3,W.A. Mozart,,,,,,,f,f
15223,11285,W A Mozart,,0,2013-04-01 15:23:55.139438+02,3,W A Mozart,,,,,,,f,f
132225,2327,Bach,,0,2013-05-06 17:54:09.800829+02,1,Bach,,,,,,,f,f
11534,11285,Wolfgang Amedeus Mozart,,0,2013-04-01 15:27:41.528227+02,3,Wolfgang Amedeus Mozart,,,,,,,f,f
132084,11285,Wolfgang Amadeus Mozart,de,0,2013-04-01 15:27:51.017219+02,1,"Mozart, Wolfgang Amadeus",,,,,,,t,f
2442,2327,JS Bach,,0,2013-05-06 17:56:14.215352+02,3,JS Bach,,,,,,,f,f
15536,11285,Wolfgang Amadeaus Mozart,,0,2013-04-01 15:27:42.605683+02,3,Wolfgang Amadeaus Mozart,,,,,,,f,f
132085,11285,Wolfgang Amadeus Mozart,en,0,2013-04-01 15:27:56.777121+02,1,"Mozart, Wolfgang Amadeus",,,,,,,t,f
9212,1,Various Compiled By,,0,2013-06-13 09:28:07.769798+02,3,Various Compiled By,,,,,,,f,f
73005,1,Hợp ca,vi,0,2013-09-18 22:03:10.347486+02,,Hợp ca,,,,,,,f,f
129018,1,various aritsts,,0,2013-06-13 09:29:21.693049+02,3,various aritsts,,,,,,,f,f
127431,1,Various Speakers,en,0,2013-09-18 22:03:10.347486+02,,Various Speakers,,,,,,,f,f
19864,1,Miscellaneous,en,0,2013-09-18 22:03:10.347486+02,,Miscellaneous,,,,,,,f,f
4178,2327,J S Bach,,0,2013-03-31 20:00:16.159059+02,3,J S Bach,,,,,,,f,f
4890,1,VA,en,0,2013-09-18 22:03:10.347486+02,,VA,,,,,,,f,f
1523,1,V.A.,en,0,2013-09-18 22:03:10.347486+02,,V.A.,,,,,,,f,f
9919,1,Compilation,fr,0,2013-06-19 01:00:54.006197+02,,Compilation,,,,,,,f,f
135027,1,Various Military Bands,,0,2013-06-19 01:00:54.006197+02,,Various Military Bands,,,,,,,f,f
135028,1,Various DJ's,,0,2013-06-19 01:00:54.006197+02,,Various DJ's,,,,,,,f,f
96603,1,Multi-artistes,fr,0,2013-06-20 10:00:19.915202+02,,Multi-artistes,,,,,,,f,f
8485,2327,Johann Savastian Bach,,0,2013-03-31 19:49:55.340855+02,3,Johann Savastian Bach,,,,,,,f,f
1408,73502,George Frideric Handel,en,0,2013-07-04 14:43:21.20737+02,2,"Handel, George Frideric",1727,1,22,,,,f,f
134876,1,Collectif,fr,0,2013-06-20 10:00:21.094813+02,,Collectif,,,,,,,f,f
13739,2327,Johann Sebastuan Bach,,0,2013-03-31 19:49:58.207298+02,3,Johann Sebastuan Bach,,,,,,,f,f
9559,2327,Johann-sebastian Bach,,0,2013-03-31 19:50:01.74968+02,3,Johann-sebastian Bach,,,,,,,f,f
135224,1,various,,0,2013-06-24 01:02:33.933238+02,,various,,,,,,,f,f
1485,2327,J.S. Bach,,0,2013-03-31 20:00:13.546039+02,3,J.S. Bach,,,,,,,f,f
13189,2327,J.S Bach,,0,2013-03-31 20:00:14.330278+02,3,J.S Bach,,,,,,,f,f
135572,35364,Billy Idol & Generation X,,0,2013-07-04 02:00:12.281116+02,,Billy Idol & Generation X,,,,,,,f,f
135576,1,Mini Disco Hits 2013,,0,2013-07-04 12:01:05.648247+02,,various,,,,,,,f,f
135577,1,val,,0,2013-07-04 12:01:05.648247+02,,Various Artists,,,,,,,f,f
17026,122653,Chaikovsky,,0,2013-07-29 20:15:14.447923+02,3,Chaikovsky,,,,,,,f,f
15013,122653,Tchaikovshy,,0,2013-07-29 21:29:32.260289+02,3,Tchaikovshy,,,,,,,f,f
126229,122653,Пётр Ильич Чайковский,ru,0,2013-07-30 18:33:18.814032+02,1,"Чайковский, Пётр Ильич",,,,,,,t,f
136314,122653,بيتر إليتش تشايكوفسكي,ar,0,2013-07-30 18:58:20.187093+02,1,بيتر إليتش تشايكوفسكي,,,,,,,t,f
20057,122653,Ciaikosvsky,,0,2013-07-29 20:16:05.452793+02,3,Ciaikosvsky,,,,,,,f,f
110838,122653,Pjotr Iljitj Tjajkovskij,da,0,2013-07-29 23:16:46.997057+02,1,"Tjajkovskij, Pjotr Iljitj",,,,,,,t,f
56446,122653,彼得·伊里奇·柴科夫斯基,zh,0,2013-09-13 20:01:09.740265+02,1,彼得·伊里奇·柴科夫斯基,,,,,,,f,f
4242,122653,Tschaikovsky,,0,2013-07-29 21:44:37.615879+02,3,Tschaikovsky,,,,,,,f,f
10501,122653,Tchiakovsky,,0,2013-07-29 23:21:53.940705+02,3,Tchiakovsky,,,,,,,f,f
136379,1,Varius Artist,,0,2013-08-01 05:00:51.865872+02,,Varius Artist,,,,,,,f,f
21276,122653,Tchaikovskij,,0,2013-07-29 20:19:17.62159+02,3,Tchaikovskij,,,,,,,f,f
124135,122653,Txhaikovsky,,0,2013-07-29 21:47:19.752054+02,3,Txhaikovsky,,,,,,,f,f
9820,122653,Tchaikovsky,,0,2013-07-29 20:19:47.533703+02,3,Tchaikovsky,,,,,,,f,f
27876,122653,Il'yich,,0,2013-07-29 21:47:49.705865+02,3,Il'yich,,,,,,,f,f
56447,122653,Tjakovski,,0,2013-07-29 23:23:34.996743+02,3,Tjakovski,,,,,,,f,f
47312,122653,Tchaikovsky,,0,2013-07-29 20:20:58.181447+02,3,Tchaikovsky,,,,,,,f,f
76868,122653,Hich,,0,2013-07-29 20:21:57.343907+02,3,Hich,,,,,,,f,f
12752,122653,Ciaikovsky,,0,2013-07-29 21:48:19.437079+02,3,Ciaikovsky,,,,,,,f,f
56448,122653,Tjakovsky,,0,2013-07-29 23:26:02.751374+02,3,Tjakovsky,,,,,,,f,f
125048,122653,Čajkovski,,0,2013-07-29 20:21:28.855419+02,3,Čajkovski,,,,,,,f,f
12047,122653,Tchaïkovsky,,0,2013-07-29 21:52:15.033209+02,3,Tchaïkovsky,,,,,,,f,f
127898,122653,Tschaikowski,,0,2013-07-29 23:26:35.435314+02,3,Tschaikowski,,,,,,,f,f
136297,122653,Pëtr Il'ič Čajkovskij,it,0,2013-07-29 23:29:16.660868+02,1,"Čajkovskij, Pëtr Il'ič",,,,,,,t,f
6180,122653,Ilich,,0,2013-07-29 20:33:10.49534+02,3,Ilich,,,,,,,f,f
136298,122653,Pjotr Tsjaikofski,af,0,2013-07-30 19:01:34.241477+02,1,"Tsjaikofski, Pjotr",,,,,,,t,f
20354,122653,Pyotor,,0,2013-07-29 22:16:16.962308+02,3,Pyotor,,,,,,,f,f
11677,122653,Tsjajkovskij,,0,2013-07-29 23:33:28.75039+02,3,Tsjajkovskij,,,,,,,f,f
4808,122653,II'yich,,0,2013-07-29 22:17:04.05554+02,3,II'yich,,,,,,,f,f
95332,122653,Pyotr İlyiç Çaykovski,tr,0,2013-07-29 22:21:27.495031+02,1,Pyotr İlyiç Çaykovski,,,,,,,t,f
137100,122653,Peter Tchaikovsky,en,0,2013-09-02 04:00:12.263841+02,1,"Tchaikovsky, Peter",,,,,,,t,f
102948,122653,Pjotr Tjajkovskij,sv,0,2013-07-30 18:33:54.436503+02,1,"Tjajkovskij, Pjotr",,,,,,,t,f
28388,122653,Tchaikoskvy,,0,2013-07-29 22:53:58.613772+02,3,Tchaikoskvy,,,,,,,f,f
137809,122653,彼得·伊里奇·柴可夫斯基,zh,0,2013-09-13 20:01:09.740265+02,1,彼得·伊里奇·柴可夫斯基,,,,,,,t,f
138012,1,versch. Künstler,,0,2013-09-18 22:03:10.347486+02,,versch. Künstler,,,,,,,f,f
138934,11285,Wolfang Amadeus Mozart,,0,2013-10-12 20:01:32.387222+02,,"Mozart, Wolfgang Amadeus",,,,,,,f,f
41629,182,Vincent Damon Furnier,,0,2012-05-15 20:57:13.252186+02,,Vincent Damon Furnier,,,,,,,f,f
2081,31429,Suzi Quattro,,0,2012-05-15 20:57:13.252186+02,,Suzi Quattro,,,,,,,f,f
2379,1,Various Artist,,0,2013-06-13 09:22:36.106849+02,3,Various Artist,,,,,,,f,f
41378,122653,Tsjaikovsky,,0,2013-07-29 23:32:59.641553+02,3,Tsjaikovsky,,,,,,,f,f
12214,73502,hendel,,0,2012-05-15 20:57:13.252186+02,,hendel,,,,,,,f,f
57108,189237,Kenny Wayne Shepherd Band,,0,2012-05-15 20:57:13.252186+02,,Kenny Wayne Shepherd Band,,,,,,,f,f
10588,1,Various Artists [DIY],,0,2013-06-13 09:25:18.588127+02,3,Various Artists [DIY],,,,,,,f,f
1215,1,Varios,es,0,2013-09-18 22:03:10.347486+02,,Varios,,,,,,,f,f
3861,1434,"Cars, the",,0,2012-05-15 20:57:13.252186+02,,"Cars, the",,,,,,,f,f
12902,11285,Wolfang A. Mozart,,0,2013-04-01 15:27:27.48128+02,3,Wolfang A. Mozart,,,,,,,f,f
15602,37472,Christoph Willibald von Gluck,,0,2012-05-15 20:57:13.252186+02,,Christoph Willibald von Gluck,,,,,,,f,f
2863,1965,placeo,,0,2012-05-15 20:57:13.252186+02,,placeo,,,,,,,f,f
39153,1,Intérpretes Diversos,,0,2012-05-15 20:57:13.252186+02,,Intérpretes Diversos,,,,,,,f,f
12466,24245,Tomasso Albinoni,,0,2012-05-15 20:57:13.252186+02,,Tomasso Albinoni,,,,,,,f,f
94253,122653,Tschaikowskij,,0,2013-07-29 20:54:56.145376+02,3,Tschaikowskij,,,,,,,f,f
11335,122653,Tsjaikovski,,0,2013-07-29 23:32:37.924003+02,3,Tsjaikovski,,,,,,,f,f
28952,35460,The Angels From Angel City,,0,2012-05-15 20:57:13.252186+02,,The Angels From Angel City,,,,,,,f,f
69801,24245,アルビノーニ,,0,2012-05-15 20:57:13.252186+02,,アルビノーニ,,,,,,,f,f
25151,218850,Magna Fi,,0,2012-05-15 20:57:13.252186+02,,Magna Fi,,,,,,,f,f
96434,122653,Ilic,,0,2013-07-29 21:48:56.157693+02,3,Ilic,,,,,,,f,f
64477,73502,헨델,,0,2012-05-15 20:57:13.252186+02,,헨델,,,,,,,f,f
73822,570716,F.S.B.,,0,2012-05-15 20:57:13.252186+02,,F.S.B.,,,,,,,f,f
26029,37472,Christoph Willibald Gluk,,0,2012-05-15 20:57:13.252186+02,,Christoph Willibald Gluk,,,,,,,f,f
1484,2327,J. S. Bach,,0,2013-05-06 17:55:25.000649+02,1,"Bach, J. S.",,,,,,,f,f
28058,122653,Tchaikovskyes,,0,2013-07-29 23:18:26.178786+02,3,Tchaikovskyes,,,,,,,f,f
16696,2327,Jean-Sébastien Bach,,0,2012-05-15 20:57:13.252186+02,,Jean-Sébastien Bach,,,,,,,f,f
54726,2327,Jan Sebastian Bach,,0,2012-05-15 20:57:13.252186+02,,Jan Sebastian Bach,,,,,,,f,f
9822,73502,George Fredrick Handel,,0,2012-05-15 20:57:13.252186+02,,George Fredrick Handel,,,,,,,f,f
15112,2327,Johan Sebastian Bach,,0,2013-03-31 19:45:27.377944+02,3,Johan Sebastian Bach,,,,,,,f,f
9823,73502,George Friedric Handel,,0,2012-05-15 20:57:13.252186+02,,George Friedric Handel,,,,,,,f,f
34640,37472,Christoph Willibald Ritter von Gluck,,0,2012-05-15 20:57:13.252186+02,,Christoph Willibald Ritter von Gluck,,,,,,,f,f
1486,2327,J.S.Bach,,0,2013-03-31 20:00:13.361092+02,3,J.S.Bach,,,,,,,f,f
105735,1,Coletanea,,0,2012-05-15 20:57:13.252186+02,,Coletanea,,,,,,,f,f
10573,1,Assorted Christian Artists,en,0,2013-09-18 22:03:10.347486+02,,Assorted Christian Artists,,,,,,,f,f
19719,122653,Tchaïkovki,,0,2013-07-29 22:59:53.889162+02,3,Tchaïkovki,,,,,,,f,f
1483,11285,Mozart,,0,2013-04-03 05:18:56.457191+02,,Mozart,,,,,,,f,f
12126,73502,George Frederich Handel,,0,2012-05-15 20:57:13.252186+02,,George Frederich Handel,,,,,,,f,f
4803,24245,Albinoni,,0,2012-05-15 20:57:13.252186+02,,Albinoni,,,,,,,f,f
18335,73502,George F. Handel,,0,2012-05-15 20:57:13.252186+02,,George F. Handel,,,,,,,f,f
48590,189237,Kenny Wayne Sheperd,,0,2012-05-15 20:57:13.252186+02,,Kenny Wayne Sheperd,,,,,,,f,f
14819,2735,ZZTop,,0,2012-05-15 20:57:13.252186+02,,ZZTop,,,,,,,f,f
84833,1,Tốp ca nam,vi,0,2013-09-18 22:03:10.347486+02,,Tốp ca nam,,,,,,,f,f
26336,122653,Tchaikowski,,0,2013-07-29 23:19:39.709357+02,3,Tchaikowski,,,,,,,f,f
9233,11285,Wolfgan Amadeus Mozart,,0,2013-04-01 15:27:43.208855+02,3,Wolfgan Amadeus Mozart,,,,,,,f,f
24550,1,V. A.,en,0,2013-09-18 22:03:10.347486+02,,V. A.,,,,,,,f,f
7828,1,(various),en,0,2013-09-18 22:03:10.347486+02,,(various),,,,,,,f,f
48557,32474,Johan Pachelbel,,0,2012-05-15 20:57:13.252186+02,,Johan Pachelbel,,,,,,,f,f
4366,10342,Gabriel Faure,,0,2012-05-15 20:57:13.252186+02,,Gabriel Faure,,,,,,,f,f
6309,10342,Fauré,,0,2012-05-15 20:57:13.252186+02,,Fauré,,,,,,,f,f
54262,73502,Georg F. Händel,,0,2012-05-15 20:57:13.252186+02,,Georg F. Händel,,,,,,,f,f
112205,1,Hairspray (Karaoke) Various Artists,en,0,2013-09-18 22:03:10.347486+02,,Hairspray (Karaoke) Various Artists,,,,,,,f,f
110839,122653,Pjotr Tšaikovski,fi,0,2013-07-29 23:07:12.54995+02,1,"Tšaikovski, Pjotr",,,,,,,t,f
38423,11285,Вольфганг Амадей Моцарт,ru,0,2013-04-01 15:24:53.109094+02,1,"Моцарт, Вольфганг Амадей",,,,,,,t,f
1314,1120,Living Color,,0,2012-05-15 20:57:13.252186+02,,Living Color,,,,,,,f,f
1169,2017,"Benatar, Pat",,0,2012-05-15 20:57:13.252186+02,,"Benatar, Pat",,,,,,,f,f
5524,73502,Händel,,0,2012-05-15 20:57:13.252186+02,,Händel,,,,,,,f,f
15014,122653,Tchaikovsly,,0,2013-07-29 22:25:44.07499+02,3,Tchaikovsly,,,,,,,f,f
26027,10342,Gabriel Urbain Fauré,,0,2012-05-15 20:57:13.252186+02,,Gabriel Urbain Fauré,,,,,,,f,f
25834,122653,Tchaikovisky,,0,2013-07-29 22:56:41.096894+02,3,Tchaikovisky,,,,,,,f,f
1858,32474,Pachelbel,,0,2012-05-15 20:57:13.252186+02,,Pachelbel,,,,,,,f,f
10082,73502,"Handel, George Frideric (1685-1759)",,0,2012-05-15 20:57:13.252186+02,,"Handel, George Frideric (1685-1759)",,,,,,,f,f
473,1763,Three Doors Down,,0,2012-05-15 20:57:13.252186+02,,Three Doors Down,,,,,,,f,f
39622,73502,George Friederic Haendel,,0,2012-05-15 20:57:13.252186+02,,George Friederic Haendel,,,,,,,f,f
10809,1,Various (original artists),en,0,2013-09-18 22:03:10.347486+02,,Various (original artists),,,,,,,f,f
24291,122653,Iljitsch,,0,2013-07-29 20:47:59.121352+02,3,Iljitsch,,,,,,,f,f
64515,44563,보리케니,,0,2012-05-15 20:57:13.252186+02,,보리케니,,,,,,,f,f
10865,1,Assorted Artists,en,0,2013-09-18 22:03:10.347486+02,,Assorted Artists,,,,,,,f,f
14399,1,オムニバス,ja,0,2012-10-07 10:03:25.264581+02,,オムニバス,,,,,,,t,f
17017,2327,바흐,,0,2012-05-15 20:57:13.252186+02,,바흐,,,,,,,f,f
12393,985,Bily Idol,,0,2012-05-15 20:57:13.252186+02,,Bily Idol,,,,,,,f,f
86389,1,Time Life Music: Various Artists,en,0,2013-09-18 22:03:10.347486+02,,Time Life Music: Various Artists,,,,,,,f,f
81711,37472,グルック,,0,2012-05-15 20:57:13.252186+02,,グルック,,,,,,,f,f
92145,1587,ディープパープル,,0,2012-05-15 20:57:13.252186+02,,ディープパープル,,,,,,,f,f
2989,122653,Tschaikowsky,,0,2013-07-29 20:30:32.966063+02,3,Tschaikowsky,,,,,,,f,f
81710,32474,パッヘルベル,,0,2012-05-15 20:57:13.252186+02,,パッヘルベル,,,,,,,f,f
3907,44563,Boccherini,,0,2012-05-15 20:57:13.252186+02,,Boccherini,,,,,,,f,f
1553,189237,Kenny Wayne Sheppard,,0,2012-05-15 20:57:13.252186+02,,Kenny Wayne Sheppard,,,,,,,f,f
4238,122653,Tchaikovski,,0,2013-07-29 21:30:14.628689+02,3,Tchaikovski,,,,,,,f,f
34728,1111,Sound Garden,,0,2012-05-15 20:57:13.252186+02,,Sound Garden,,,,,,,f,f
4151,95306,George Satellites,,0,2012-05-15 20:57:13.252186+02,,George Satellites,,,,,,,f,f
15323,122653,Ilych,,0,2013-07-29 21:27:37.207537+02,3,Ilych,,,,,,,f,f
81726,10342,フォーレ,,0,2012-05-15 20:57:13.252186+02,,フォーレ,,,,,,,f,f
7551,73502,George Handel,,0,2012-05-15 20:57:13.252186+02,,George Handel,,,,,,,f,f
85457,44563,ボッケリーニ,,0,2012-05-15 20:57:13.252186+02,,ボッケリーニ,,,,,,,f,f
15716,11783,Queen Of Stoneage,,0,2012-05-15 20:57:13.252186+02,,Queen Of Stoneage,,,,,,,f,f
9510,73502,Georg Friedrich Handel,,0,2012-05-15 20:57:13.252186+02,,Georg Friedrich Handel,,,,,,,f,f
29237,122653,Piotr Iljič Čajkovskij,sk,0,2013-07-29 22:22:18.03232+02,1,Piotr Iljič Čajkovskij,,,,,,,t,f
24650,44563,Luigi Bocheccherini,,0,2012-05-15 20:57:13.252186+02,,Luigi Bocheccherini,,,,,,,f,f
87735,21724,Ted Nugget,,0,2012-05-15 20:57:13.252186+02,,Ted Nugget,,,,,,,f,f
84832,1,Tốp ca,vi,0,2013-09-18 22:03:10.347486+02,,Tốp ca,,,,,,,f,f
26002,10342,"Faure, Gabriel (1845-1924)",,0,2012-05-15 20:57:13.252186+02,,"Faure, Gabriel (1845-1924)",,,,,,,f,f
16801,9061,Split Endz,,0,2012-05-15 20:57:13.252186+02,,Split Endz,,,,,,,f,f
23184,24245,Thomaso Albinoni,,0,2012-05-15 20:57:13.252186+02,,Thomaso Albinoni,,,,,,,f,f
19658,1,Varies,,0,2012-05-15 20:57:13.252186+02,,Varies,,,,,,,f,f
113977,1,various artiste,,0,2013-06-13 09:27:35.473472+02,3,various artiste,,,,,,,f,f
92144,1587,ジープ・パープル,,0,2012-05-15 20:57:13.252186+02,,ジープ・パープル,,,,,,,f,f
101966,73502,Georgs Frīdrihs Hendelis,,0,2012-05-15 20:57:13.252186+02,,Georgs Frīdrihs Hendelis,,,,,,,f,f
6624,1,Vari,,0,2012-05-15 20:57:13.252186+02,,Vari,,,,,,,f,f
1834,1,Various Artistes,,0,2013-06-13 09:20:55.067661+02,3,Various Artistes,,,,,,,f,f
9935,11285,W. A. Mozart,,0,2013-04-01 15:22:33.560714+02,3,W. A. Mozart,,,,,,,f,f
